proID	geneName	Rep1_t=0	Rep1_t=1	Rep1_t=2	Rep1_t=4	Rep1_t=8	Rep1_t=16	Rep1_t=32	Rep2_t=0	Rep2_t=1	Rep2_t=2	Rep2_t=4	Rep2_t=8	Rep2_t=16	Rep2_t=32	Median_4	Median_8	c1_k10	c2_k10	c2_k20	c2_k12	#dataPts	c1_AICp	c1_RSS	c2_AICp	c2_RSS	AIC.recommendation	c1_aveLife	c1_thalf	c2_aveLife	c2_thalf.pulse.	c2_thalf.ss.	X.deg.fr.comp1.2comp.	X.deg.fr.comp2.2comp.	ss..comp1.2comp.	ss..comp2.2comp.	Median_deltascore	def
Q9UJ70	NAGK	1	0.861339427	0.983385696	0.97942232	1.211212908	0.893480474	0.809285072	1	1.215636443	1.348677505	1.303438029	1.253995594	1.223963365	1.19940055	1.141430174	1.232604251	9.92E-07	6.47E-05	7.92E-07	3.97914283	14	0.95405964	0.005929776	0.04594036	0.005929859	1	1007711.862	1453820.906	1262793.003	4000	177.6	1.63E-05	0.999983747	1.99E-07	0.999999801	-0.027717411	ED
P32119	PRDX2	1	NA	NA	0.878914587	1.184556991	1.148714269	1.283833461	1	0.929121251	1.073489124	1.320703943	1.21452212	1.182076619	1.115791556	1.099809265	1.199539556	1.47E-06	2.54E-06	1.07E-08	3.704157871	12	0.964408395	0.004599235	0.035591605	0.004598323	1	678840.6999	979360.1113	93669297.15	NA	190.9	6.86E-07	0.999999314	2.88E-09	0.999999997	-0.004167879	ED
Q96G03	PGM2	1	1.011404468	0.966720904	0.948102017	1.17722254	1.04244964	1.289471301	1	1.08355639	1.089173432	NA	NA	NA	NA	0.948102017	1.17722254	2.91E-06	0.000511074	2.11E-06	3.570127179	10	0.977035941	0.002091555	0.022964059	0.002092051	1	343961.234	496231.1665	473961.0118	4000	198	0.000143133	0.999856867	5.91E-07	0.999999409	0.134872112	ED
Q8NBF2	NHLRC2	1	NA	NA	NA	NA	1.264395296	1.775211748	1	NA	NA	1.062811889	1.172518453	1.178736865	1.882167417	1.062811889	1.172518453	2.01E-06	3.86E-05	1.14E-07	3.591849314	8	0.990680396	0.019819508	0.009319604	0.019815595	1	496964.257	716967.8691	8758456.295	4000	196.8	1.07E-05	0.999989257	3.18E-08	0.999999968	0.018658858	ED
P06703	S100A6	1	0.918902982	1.202982941	0.990925747	1.317805768	1.213139005	1.935341618	1	1.016680397	0.968125827	1.047687092	0.998285381	1.134995331	1.211913441	1.01930642	1.158045574	5.77E-06	4.36E-05	1.53E-07	3.669033134	14	0.953966641	0.008726361	0.046033359	0.0087212	1	173322.2335	250051.1268	6543759.974	4000	192.7	1.19E-05	0.99998813	4.17E-08	0.999999958	0.054244451	ED
Q14019	COTL1	1	0.834193542	0.978288958	1.089295956	1.219369301	0.917130978	1.100921908	1	0.832564676	1.011035456	1.100093083	1.081515131	0.966714182	1.168219626	1.094694519	1.150442216	3.09E-06	0.001373808	2.43E-06	3.778089273	14	0.954084588	0.002304312	0.045915412	0.002304719	1	323259.9278	466365.4947	411753.6908	4000	187	0.000363493	0.999636507	6.43E-07	0.999999357	-0.020402144	ED
P62314	SNRPD1	1	0.804332734	0.656344756	0.778536985	0.591324955	0.711042339	0.491277722	1	1.656486286	1.386515125	1.736339323	1.707977016	1.97677797	1.754826357	1.257438154	1.149650986	5.15E-08	0.000418734	1.03E-05	3.673262048	14	0.954061898	0.039312892	0.045938102	0.039314019	1	19428557.43	28029483.45	97213.20797	4000	192.4	0.000113982	0.999886018	2.80E-06	0.9999972	-0.159347237	ED
P00568	AK1	1	0.932776254	1.030173747	1.03693678	1.12889028	0.76746444	0.91742892	1	0.887775401	0.979624739	1.03255767	1.109316037	0.917181123	1.019625982	1.034747225	1.119103158	0.002143191	0.134279237	0.001895623	4.878572706	14	0.953835472	0.001628906	0.046164528	0.001626556	1	466.593961	673.1527937	513.599679	362.8	141	0.026786994	0.973213006	0.00038841	0.99961159	0.022106637	ED
P42330	AKR1C3	1	1.006116545	1.452698936	1.018929804	1.116011539	0.781519123	0.716639703	NA	NA	NA	NA	NA	NA	NA	1.018929804	1.116011539	0.009450654	8.46E-07	0.016558701	0.090607425	7	0.995554913	0.005436027	0.004445087	0.004880924	1	105.8127785	152.6555709	71.42716778	53.4	43.8	9.34E-06	0.999990659	0.154514317	0.845485683	0.036127737	ED
Q9P1F3	ABRACL	1	NA	NA	0.981179748	1.092005022	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.981179748	1.092005022	9.37E-08	0.000863999	6.79E-06	3.705636764	3	1	0.000509744	NA	0.000510802	1	10677138.92	15403855.37	147332.5572	4000	190.7	0.000233104	0.999766896	1.83E-06	0.999998169	0.063007345	ED
