Rep1_t=0	Rep1_t=1	Rep1_t=2	Rep1_t=4	Rep1_t=8	Rep1_t=16	Rep1_t=32	Rep2_t=0	Rep2_t=1	Rep2_t=2	Rep2_t=4	Rep2_t=8	Rep2_t=16	Rep2_t=32	Rep3_t=0	Rep3_t=1	Rep3_t=2	Rep3_t=4	Rep3_t=8	Rep3_t=16	Rep3_t=32	Rep4_t=0	Rep4_t=1	Rep4_t=2	Rep4_t=4	Rep4_t=8	Rep4_t=16	Rep4_t=32	Median_4	Median_8	c1_k10	c2_k10	c2_k20	c2_k12	#dataPts	c1_AICp	c1_RSS	c2_AICp	c2_RSS	AIC.recommendation	c1_aveLife	c1_thalf	c2_aveLife	c2_thalf.pulse.	c2_thalf.ss.	X.deg.fr.comp1.2comp.	X.deg.fr.comp2.2comp.	ss..comp1.2comp.	ss..comp2.2comp.	Median_deltascore	Rel. abund	def	proID	geneName
1	NaN	NaN	NaN	NaN	1.015757	0.796939	1	1.150449	1.478727	1.076511	1.398379	0.7802808	0.9066166	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.076511	1.398379	0.003864009	0.001339808	0.003897641	1.763093	10	0.9768632	0.007053626	0.02313681	0.007033683	1	258.7986	373.3674	256.9374	178	177.8	0.000759342	0.9992406	0.002205808	0.9977942	0.09393122	0.1378112	ED	P21981	Tgm2
1	1.110212	1.272267	NaN	NaN	1.484688	2.261455	1	0.9529366	1.104499	1.040973	1.328889	1.202899	2.083176	1	0.8744349	0.854037	NaN	NaN	1.230951	1.928384	1	NaN	NaN	NaN	NaN	1.017923	1.183077	1.040973	1.328889	1.28E-06	0.000165622	5.99E-06	0.7887334	20	0.9335991	0.01984652	0.06640089	0.01986418	1	779635.5	1124776	166826.8	4000	899.7	0.000209941	0.9997901	7.60E-06	0.9999924	0.1020153	8.595462	ED	P62274	Rps29
1	NaN	NaN	1.1331	1.266769	1.324601	1.833091	1	0.907387	1.040378	1.1393	1.280716	0.9354505	1.189665	1	0.9953856	1.155819	1.097901	1.360108	1.100641	1.436354	1	0.9131247	1.016073	1.151452	1.019031	0.9567673	0.9794068	1.1362	1.273743	1.46E-05	0.01028651	1.07E-07	4.96152	26	0.9218518	0.006810677	0.07814826	0.006816605	1	68301.45	98538.17	9354813	4000	142.1	0.002068969	0.997931	2.15E-08	1	-0.006710013	2.160255	ED	Q61792	Lasp1
1	0.738101	0.7255629	1.028997	1.256268	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.028997	1.256268	3.79E-07	2.699363	8.97E-06	4.113102	5	0.999998	0.009355293	1.94E-06	0.008083159	1	2635742	3802571	67337.31	4000	103.6	0.3962387	0.6037613	2.18E-06	0.9999978	0.08548798	0.005054845	ED	Q80WQ6	Rhbdf2
1	NaN	NaN	1.329869	1.332717	NaN	NaN	1	1.00538	1.085287	1.050623	1.25584	1.423732	1.483085	1	0.9920113	0.5850615	0.5482294	0.4534504	0.5279331	0.5182312	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.050623	1.25584	0.00611215	0.1935477	0.000538123	0.9484909	17	0.9346393	0.02789544	0.06536075	0.02705824	1	163.6086	236.0373	1544.25	1075.3	621.7	0.1694756	0.8305244	0.000567024	0.999433	0.06451882	2.530873	ED	D3YZ09	Gar1
1	NaN	NaN	NaN	NaN	1.486022	1.848346	1	1.092396	1.113254	1.047602	1.24465	1.694659	2.197298	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.047602	1.24465	8.62E-07	2.11E-06	2.49E-08	3.684844	10	0.9770188	0.02832387	0.02298121	0.02832193	1	1160601	1674394	4.01E+07	4000	191.9	5.72E-07	0.9999994	6.77E-09	1	0.06292358	0.04727923	ED	Q8BZW8	Nhlrc2
1	NaN	NaN	NaN	NaN	1.205649	0.7178687	1	1.062422	0.9481602	1.22717	1.221156	1.150781	0.9157283	1	1.289426	1.02358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.22717	1.221156	0.002080255	9.81E-07	0.018643	0.01865932	13	0.9443802	0.004560608	0.05561982	0.004133565	1	480.7102	693.5182	107.2263	89.5	61.5	5.26E-05	0.9999474	0.4997813	0.5002187	-0.1048119	0.1620809	ED	Q9CPV4	Glod4
1	0.9636244	1.094694	0.8200983	1.030852	0.7835716	0.6928739	1	1.18214	1.227221	1.612536	1.364083	1.048033	1.097105	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.216317	1.197467	0.002696519	3.19E-05	0.01870311	0.01863506	14	0.9490032	0.008480553	0.0509968	0.008218908	1	370.8485	535.0213	106.9464	89.2	61.3	0.001707593	0.9982924	0.5009112	0.4990888	-0.1057231	0.1656282	ED	P51125-3	Cast
1	1.099444	1.139229	1.23315	1.193258	0.8875452	0.8776813	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.23315	1.193258	0.002546919	5.91E-07	0.01849482	0.01856284	7	0.9957212	0.003328143	0.004278858	0.003054376	1	392.6313	566.4471	107.9368	90.1	61.9	3.18E-05	0.9999682	0.4990823	0.5009177	-0.1212286	0.0199178	ED	P58801	Ripk2
1	NaN	NaN	1.080996	1.472154	1.314294	1.963632	1	0.9125288	1.004652	NaN	NaN	0.9867647	1.541433	1	NaN	NaN	0.9529064	0.8836215	1.095075	1.217411	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.016951	1.177888	5.33E-06	2.29E-06	4.29E-09	3.954855	15	0.9495486	0.01190261	0.05045138	0.01189599	1	187708.9	270806.7	2.33E+08	NaN	178.7	5.80E-07	0.9999994	1.09E-09	1	0.06505217	0.1309081	ED	Q8BJH1	Zc2hc1a
