proID	geneName	Rep1_t=0	Rep1_t=1	Rep1_t=2	Rep1_t=4	Rep1_t=8	Rep1_t=16	Rep1_t=32	Rep2_t=0	Rep2_t=1	Rep2_t=2	Rep2_t=4	Rep2_t=8	Rep2_t=16	Rep2_t=32	Rep3_t=0	Rep3_t=1	Rep3_t=2	Rep3_t=4	Rep3_t=8	Rep3_t=16	Rep3_t=32	Rep4_t=0	Rep4_t=1	Rep4_t=2	Rep4_t=4	Rep4_t=8	Rep4_t=16	Rep4_t=32	Median_4	Median_8	c1_k10	c2_k10	c2_k20	c2_k12	dataPts	c1_AICp	c1_RSS	c2_AICp	c2_RSS	AIC.recommendation	c1_aveLife	c1_thalf	c2_aveLife	c2_thalf.pulse.	c2_thalf.ss.	X.deg.fr.comp1.2comp.	X.deg.fr.comp2.2comp.	ss..comp1.2comp.	ss..comp2.2comp.	Median_deltascore	def
P21981	Tgm2	1	NA	NA	NA	NA	1.01575659	0.79693898	1	1.15044941	1.478727299	1.076511241	1.398378569	0.780280854	0.906616591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.076511241	1.398378569	0.003864009	0.001339808	0.003897641	1.763092606	10	0.976863191	0.007053626	0.023136809	0.007033683	1	258.7985538	373.3673902	256.9373786	178	177.8	0.000759342	0.999240658	0.002205808	0.997794192	0.09393122	ED
P62274	Rps29	1	1.110212062	1.272267261	NA	NA	1.484687948	2.261454478	1	0.952936672	1.104498521	1.040973436	1.328888732	1.202899221	2.083175616	1	0.874434873	0.854036987	NA	NA	1.230950791	1.928384167	1	NA	NA	NA	NA	1.017923401	1.183077176	1.040973436	1.328888732	1.28E-06	0.000165622	5.99E-06	0.788733412	20	0.933599108	0.01984652	0.066400892	0.019864182	1	779635.5125	1124776.288	166826.8266	4000	899.7	0.000209941	0.999790059	7.60E-06	0.999992402	0.102015255	ED
Q61792	Lasp1	1	NA	NA	1.133100447	1.266768909	1.324600727	1.833090551	1	0.907386994	1.040378072	1.13930049	1.280716354	0.935450471	1.189665032	1	0.995385616	1.155819089	1.097901345	1.360107807	1.100640485	1.436354161	1	0.913124702	1.016073203	1.151452453	1.019031201	0.956767294	0.979406813	1.136200469	1.273742632	1.46E-05	0.010286513	1.07E-07	4.961519483	26	0.921851743	0.006810677	0.078148257	0.006816605	1	68301.45466	98538.16993	9354812.783	4000	142.1	0.002068969	0.997931031	2.15E-08	0.999999978	-0.006710013	ED
Q80WQ6	Rhbdf2	1	0.738100991	0.725562865	1.028997304	1.256268281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.028997304	1.256268281	3.79E-07	2.699362449	8.97E-06	4.113102297	5	0.999998056	0.009355293	1.94E-06	0.008083159	1	2635741.39	3802571.032	67337.3114	4000	103.6	0.39623874	0.60376126	2.18E-06	0.99999782	0.085487986	ED
D3YZ09	Gar1	1	NA	NA	1.329868787	1.332716552	NA	NA	1	1.005379575	1.085287184	1.050623393	1.25584044	1.423731522	1.483084714	1	0.992011295	0.585061505	0.548229389	0.453450381	0.527933128	0.51823121	NA	NA	NA	NA	NA	NA	NA	1.050623393	1.25584044	0.00611215	0.193547693	0.000538123	0.948490941	17	0.934639254	0.027895438	0.065360746	0.027058236	1	163.6085574	236.0372544	1544.249596	1075.3	621.7	0.169475609	0.830524391	0.000567024	0.999432976	0.064518815	ED
Q8BZW8	Nhlrc2	1	NA	NA	NA	NA	1.486022278	1.848345855	1	1.092395572	1.113253941	1.047601817	1.244649909	1.694658844	2.197297607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.047601817	1.244649909	8.62E-07	2.11E-06	2.49E-08	3.684843843	10	0.977018789	0.028323872	0.022981211	0.028321934	1	1160601.179	1674393.565	40097534.09	4000	191.9	5.72E-07	0.999999428	6.77E-09	0.999999993	0.062923578	ED
Q9CPV4	Glod4	1	NA	NA	NA	NA	1.205648966	0.717868759	1	1.062422029	0.948160191	1.227170146	1.221155838	1.150780703	0.915728315	1	1.289426242	1.023579977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.227170146	1.221155838	0.002080255	9.81E-07	0.018642997	0.018659316	13	0.944380179	0.004560608	0.055619821	0.004133565	1	480.7102032	693.5182262	107.2263383	89.5	61.5	5.26E-05	0.999947416	0.49978126	0.50021874	-0.104811915	ED
P51125-3	Cast	1	0.963624417	1.094693984	0.820098339	1.030852177	0.783571591	0.692873897	1	1.182139926	1.227221362	1.612535829	1.364082523	1.048033503	1.097104913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.216317084	1.19746735	0.002696519	3.19E-05	0.018703113	0.018635065	14	0.9490032	0.008480553	0.0509968	0.008218908	1	370.8485042	535.0212979	106.9463784	89.2	61.3	0.001707593	0.998292407	0.500911236	0.499088764	-0.105723117	ED
P58801	Ripk2	1	1.099444263	1.139229123	1.233150405	1.193257705	0.887545234	0.877681334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.233150405	1.193257705	0.002546919	5.91E-07	0.018494822	0.01856284	7	0.995721142	0.003328143	0.004278858	0.003054376	1	392.6312501	566.4471575	107.9368197	90.1	61.9	3.18E-05	0.999968177	0.499082281	0.500917719	-0.121228633	ED
Q8BJH1	Zc2hc1a	1	NA	NA	1.0809964	1.472154423	1.314293557	1.963632034	1	0.912528767	1.004651793	NA	NA	0.986764647	1.541432859	1	NA	NA	0.952906362	0.883621464	1.095074946	1.217410931	NA	NA	NA	NA	NA	NA	NA	1.016951381	1.177887944	5.33E-06	2.29E-06	4.29E-09	3.954854615	15	0.949548624	0.011902605	0.050451376	0.011895985	1	187708.9145	270806.7201	232929845.4	NA	178.7	5.80E-07	0.99999942	1.09E-09	0.999999999	0.065052169	ED
Q61107	Gbp4	1	1.384167027	1.152735031	1.116484775	1.160839981	1.028270875	0.8908056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.116484775	1.160839981	0.000741591	2.09E-06	0.014136848	0.014101185	7	0.99604939	0.004679605	0.00395061	0.004495927	1	1348.451886	1945.404848	141.6321436	118.4	81.2	0.000148331	0.999851669	0.50063147	0.49936853	-0.035613224	ED
Q8VBV7	Cops8	1	NA	NA	1.081671104	1.155742999	1.004561831	1.146819623	1	1.127457775	1.184390449	NA	NA	NA	NA	1	1.277488777	1.248638132	NA	NA	1.125209237	1.044099154	NA	NA	NA	NA	NA	NA	NA	1.081671104	1.155742999	4.03E-08	0.005541903	5.06E-05	3.607554302	13	0.960200196	0.003104742	0.039799804	0.003135236	1	24842811.54	35840601.01	19733.71264	4000	195.7	0.001533838	0.998466162	1.40E-05	0.999985975	-0.006135451	ED
Q5F2E7	Nufip2	1	1.094344505	1.331012371	1.266762038	1.536450529	1.717910229	2.669914787	1	0.968694174	1.021412639	1.162634668	1.173384237	1.128998286	1.616080121	1	0.845383455	0.9683092	0.936121248	1.133088829	1.567360901	2.471511328	1	0.875842971	0.564293518	0.717468402	0.500912182	0.749286738	0.764313657	1.049377958	1.153236533	2.51E-06	8.42E-05	6.08E-08	4.535927156	28	0.918522098	0.027222742	0.081477902	0.027220243	1	397949.3117	574119.4986	16454913.59	4000	155.8	1.86E-05	0.999981433	1.34E-08	0.999999987	0.023088615	ED
Q61171	Prdx2	1	NA	NA	0.991085433	1.174770136	1.158392731	1.728808339	1	NA	NA	1.15531069	1.138059578	1.15533149	1.733677299	1	0.938288786	0.94789685	NA	NA	1.00529339	1.336039908	1	0.979698083	0.787083434	1.20647976	0.926992224	NA	NA	1.15531069	1.138059578	4.94E-06	2.92E-06	2.08E-08	3.261491431	20	0.933147633	0.008474538	0.066852367	0.008469773	1	202588.7951	292273.85	48180191.27	NA	216.9	8.97E-07	0.999999103	6.36E-09	0.999999994	-0.07970696	ED
F6XC25	Cc2d1b	1	0.862676566	0.930098274	0.981373909	1.133054013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.981373909	1.133054013	9.37E-08	0.567971985	1.60E-05	4.150978873	5	0.999998219	0.001623148	1.78E-06	0.001504046	1	10676684.14	15403199.26	54854.88036	4000	149.7	0.120359801	0.879640199	3.86E-06	0.999996137	0.081260068	ED
Q9R062	Gyg1;Gyg	1	NA	NA	0.917145107	1.102201185	0.955557013	0.856517732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.917145107	1.102201185	0.003861363	0.0009847	0.003888834	1.670133176	5	0.999998374	0.000857416	1.63E-06	0.000854759	1	258.9759396	373.6233037	257.5933374	178.5	178.2	0.000589246	0.999410754	0.002323049	0.997676951	0.135144207	ED
Q9DBF1-2	Aldh7a1	1	0.944042412	0.981839979	1.338923339	1.495561231	1.18097738	0.982198569	1	0.935795327	0.802979227	0.84892354	0.692375802	0.836122373	0.712259516	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.093923439	1.093968517	0.004191729	0.16268225	0.00389237	4.846823285	14	0.953991114	0.007983203	0.046008886	0.007979752	1	238.5650319	344.1765884	248.7693108	176.4	141.1	0.032474712	0.967525288	0.000802432	0.999197568	-0.044864756	ED
