prot	BRAIN	COLON	ESOPHAGUS	FEMALE_GONAD	GALL_BLADDER	HEART	KIDNEY	LIVER	LUNG	PANCREAS	PLACENTA	PLASMA	PLATELET	PROSTATE_GLAND	RECTUM	SALIVA	SKIN	TESTIS	URINE	WHOLE_ORGANISM	tcount	def
Q9UJ70	89.0	292.0	482.0	254.0	166.0	122.0	129.0	52.3	502.0	349.0	335.0	0.074	46.8	216.0	210.0	165.0	354.0	220.0	17.7	117.0	20	ED
P32119	4478.0	1105.0	2115.0	1394.0	1554.0	2937.0	3227.0	2288.0	1236.0	2121.0	3454.0	261.0	548.0	1121.0	1760.0	739.0	4687.0	1485.0	1701.0	838.0	20	ED
Q96G03	12.5	220.0	249.0	205.0	262.0	46.5	100.0	70.7	49.7	157.0	168.0	0.13	182.0	183.0	277.0	50.4	156.0	229.0	43.5	81.8	20	ED
Q8NBF2	6.3	146.0	177.0	122.0	45.2	184.0	41.3	14.7	11.7	95.2	24.8	NA	248.0	222.0	135.0	NA	119.0	74.1	1.37	20.0	18	ED
P06703	70.9	3296.0	1397.0	1417.0	533.0	510.0	1337.0	278.0	164.0	1306.0	660.0	24.7	576.0	1617.0	4188.0	384.0	1594.0	552.0	898.0	347.0	20	ED
Q14019	98.7	290.0	208.0	491.0	188.0	119.0	1025.0	163.0	101.0	496.0	287.0	11.9	3083.0	454.0	456.0	125.0	56.7	466.0	383.0	315.0	20	ED
P62314	104.0	308.0	79.5	460.0	169.0	26.5	192.0	254.0	101.0	339.0	354.0	1.73	18.3	230.0	197.0	39.1	94.6	406.0	48.5	543.0	20	ED
P00568	1249.0	630.0	729.0	835.0	516.0	2556.0	356.0	146.0	86.5	510.0	274.0	15.9	601.0	780.0	771.0	NA	674.0	787.0	25.8	144.0	19	ED
P42330	15.8	193.0	94.8	164.0	377.0	46.5	421.0	603.0	81.9	228.0	1.25	0.607	NA	101.0	256.0	3.4	111.0	85.0	16.2	60.6	19	ED
Q9P1F3	17.0	335.0	50.8	181.0	269.0	2.17	284.0	34.8	38.8	242.0	70.4	12.6	10302.0	117.0	159.0	NA	80.1	494.0	135.0	157.0	19	ED
P62312	35.4	353.0	199.0	457.0	172.0	103.0	140.0	24.4	34.6	242.0	112.0	NA	35.8	266.0	177.0	71.8	284.0	313.0	NA	45.2	18	ED
Q53FA7	12.7	190.0	164.0	60.5	26.0	66.2	83.1	12.4	10.1	229.0	97.3	0.194	19.2	51.1	133.0	NA	115.0	199.0	36.4	25.5	19	ED
P04080	735.0	707.0	3541.0	788.0	629.0	859.0	588.0	658.0	202.0	836.0	336.0	32.7	169.0	1127.0	895.0	7961.0	1259.0	676.0	2900.0	359.0	20	ED
P30086	4195.0	1316.0	1011.0	3088.0	5619.0	2479.0	5169.0	13338.0	1672.0	3137.0	849.0	72.2	439.0	2126.0	1867.0	547.0	3149.0	3501.0	2503.0	515.0	20	ED
P62942	502.0	1052.0	417.0	1403.0	580.0	963.0	369.0	93.0	108.0	699.0	247.0	8.86	1728.0	1262.0	912.0	223.0	631.0	490.0	6.43	496.0	20	ED
P30043	1039.0	993.0	1429.0	1026.0	1851.0	626.0	1439.0	2399.0	844.0	1684.0	2306.0	102.0	225.0	950.0	784.0	165.0	1832.0	952.0	652.0	273.0	20	ED
P15121	292.0	257.0	442.0	1081.0	126.0	659.0	444.0	48.7	1698.0	605.0	605.0	3.84	101.0	336.0	283.0	13.6	141.0	621.0	294.0	186.0	20	ED
P21266	576.0	382.0	416.0	1177.0	336.0	333.0	513.0	39.1	625.0	413.0	92.0	0.018	90.0	882.0	341.0	NA	462.0	1309.0	501.0	80.9	19	ED
O43813	275.0	172.0	156.0	243.0	66.1	106.0	82.9	18.5	24.7	74.5	81.0	NA	47.4	178.0	168.0	NA	53.1	204.0	26.9	76.3	18	ED
