prot	B-lymphocyte	adipocyte	adrenal gland	brain	colon	colonic epithelial cell	colorectal cancer cell	cytotoxic T-lymphocyte	esophagus	gall bladder	gut	heart	helper T-lymphocyte	ileum epithelial cell	liver	lung	lymph node	monocyte	myometrium	natural killer cell	ovary	pancreas	pancreatic islet	placenta	prostate gland	rectum	retina	stomach	testis	thyroid gland	salivary gland	spinal cord	spleen	tonsil	urinary bladder	uterine cervix	uterus	tcount	def
Q9UJ70	6.171084206133179	5.640522362366075	5.616516589604853	5.810944157973754	5.526705546670851	5.224444465036156	5.759412938181608	5.857197925696106	5.621782596846059	5.285020998563868	5.433282285450385	5.099636060488092	5.730307795703673	5.318666490408278	5.36697537421573	6.080358559619446	6.361254749031258	6.272397172320183	5.783233591995453	5.650595592882243	5.916638480567875	5.960612746484389	5.710929262556999	5.424290502216977	5.476071487007517	5.363519774660011	5.565799796643882	5.729589172585844	5.490155062359827	5.345135812034908	6.032695337701972	5.401590495227322	6.351852303859407	5.236375056542435	5.537592064521635	5.599785315280106	5.662888875485265	37	ED
P32119	6.478237935796311	7.1945682530942	7.123626190274609	7.092325483027786	6.586923730202958	6.793850373009539	6.366204113006484	6.827217765277194	6.87611405394195	7.116984046848369	6.90366140225079	6.966675819859395	6.998486209090567	6.739793069280324	7.058066127527928	7.390195860907559	7.209007533219697	5.935900425410667	6.462286740082471	6.448890737209957	6.906691955893962	7.048618368436186	6.750098438992137	6.530015728639031	6.747202582186681	6.729148013296541	7.047357147431665	6.768865770235825	6.97546002174532	6.898621720708741	6.866564213900032	6.926073515071789	7.169734912939671	7.344320792897026	6.688491313956732	6.60825141792487	6.89771774046668	37	ED
Q96G03	6.041128860370211	5.514670939924575	5.447387336836891	5.236782447078044	5.2158502022121	5.530462318938342	5.790280830889936	6.139473136104808	5.804948497415126	5.765606342908824	5.51091317538283	4.677374907235857	6.036275985842996	5.596934195195885	5.403069287292613	5.612014514400173	6.276844294832923	5.822114760290377	6.148442015777913	6.145897207689267	5.776812417218141	5.6206865455567	5.084654332650133	4.916038501568836	5.465202517555883	5.420285057776141	6.45923481936118	5.893995832232559	5.781610689775045	5.129121859732489	5.542679375801741	4.723853689856954	5.905613255677443	5.124697151476028	5.335602102652874	5.680186394629801	6.398102527436619	37	ED
Q8NBF2	4.1519991399638	4.992016323007498	4.95738878218749	4.560536912779869	5.239877999078993	4.8353573822797	3.955347849112317	4.02826565744415	5.448087418207126	4.695541220658465	4.303085757986153	4.822094840463033	3.929110740781361	4.246752504236057	4.643583889007665	4.827716986050049	5.175938486318674	4.019553578548929	5.028357619145548	3.602259145804225	5.138385576828742	4.813280174667963	5.100206102590048	4.650012939742929	5.03592011263177	4.614112599789082	4.697156305922926	5.067557627879566	4.846997226264596	4.401139785510388	5.140952596965266	4.159594847150314	5.091481565557001	4.945486164111169	4.85847534960183	5.010095816862437	5.66502877798383	37	ED
P06703	6.700581444471358	6.688593642803561	5.796198502927175	4.964935833851032	7.223247723642613	6.93447695902664	6.929191105752864	6.62725390357105	6.804005809452817	6.933459574122979	6.240719575332466	6.391617587100216	6.739680480535585	6.495811680006282	5.96167971857569	7.167006529316649	5.986230049670002	7.218171505145799	7.207089883514042	6.590167770191314	7.13290093483845	7.021097331680952	5.083304402984326	5.458121216737601	7.146081207297714	7.403628736462119	5.095020993580865	7.266674411170477	6.820402674290797	5.142042852622332	6.904652790660011	6.5444936381487	6.643038023842837	7.114173897120365	6.957571561414479	3.542850119217839	7.121654791109346	37	ED
Q14019	6.985301953313049	5.162495247453474	5.399601534610699	6.377191184103653	5.724921198066379	5.493501347156022	6.14102775533261	6.510958246926526	5.662612397039898	5.257462820599797	6.030974268645773	5.474482965511897	6.822546313534046	6.215345932864494	5.556490026210933	6.434119037022254	5.298986230179611	7.039946562561287	6.304426803266132	6.53815310653222	6.523490742895033	5.780745062747236	5.39249025403531	5.422669675004108	5.996141397680666	6.273947409577881	6.231298571997264	5.038348674674143	6.206447633424217	4.807782148463321	5.447548401633708	5.95871329375318	6.637862321139704	5.054881192942504	5.982648357817373	5.012100500944362	6.186124257039971	37	ED
P62314	6.256501364751202	4.969724151212552	5.221567384762869	6.400800407079586	5.99123517049918	5.752579469013279	5.884998238414401	6.462785281492277	5.414825765217584	3.419884772589793	6.527300153749572	6.152839047763653	6.333683084889586	5.533705557689998	5.85376541566701	5.735388988636319	5.126967561879634	5.332144220007302	5.472285396336339	6.444886925637323	6.299456703512538	6.311235766417589	6.56950312494391	6.284153915382754	5.823020312145135	5.739586464958584	6.364559719500317	5.663156981058575	6.309755168028754	5.183861755311639	4.849476269045215	5.221886421348614	5.032248725268341	NA	5.633381464820539	4.617316085453194	5.182509883606767	36	ED
P00568	NA	6.24585714977972	6.013370829679513	6.201966798890628	6.384042491768259	5.460347112103514	6.010465617617129	NA	6.119499132594099	6.061579848914719	5.478686715263883	6.33158632043299	NA	5.18015985573826	5.676404642358426	6.509927100889574	5.011644142798507	5.077590656921236	6.495379710753625	3.095953843494977	7.120181979389338	5.885879913304128	6.02933247349108	4.730167770904454	5.959258518572962	5.931514084865835	6.460229391994027	5.832863767911623	6.503321147112159	5.999528873660339	6.373777929706309	5.974009131594664	6.568327643695054	7.200475902987057	6.198432901301909	5.705645023956174	6.034109094325896	34	ED
P42330	NA	6.849596329235331	5.77825070062741	NA	6.111225454829452	6.396569840415101	5.699326416406048	5.346362287729597	4.465736034055477	6.419424341153183	NA	NA	NA	7.009837833944157	6.634980324979805	5.963887301732098	4.658735333851071	NA	5.757061813822273	6.086056024847525	5.83165024954311	5.455164945715727	6.376833692338238	NA	4.498938052330386	5.732555087757672	5.753756954338545	6.362635066530238	5.613540733339037	4.969172423300461	5.107977463251506	5.467504110274951	NA	5.115836537852076	5.912873327739731	5.259364414062174	5.059307354572933	29	ED
Q9P1F3	6.689839109435884	4.983596721708047	3.790258521619302	5.738317940045611	5.7373514068969	5.628056137681471	5.878378695419487	6.390800633703071	4.303207165544108	5.852215496593507	6.510234960162124	5.12741680948647	6.93354485504091	4.762488346851208	5.531432010127089	6.057792595667339	NA	6.261975664246557	5.756847780465265	6.633684986805013	5.963385714826641	5.639770526021789	6.022189687415692	4.708090902881836	5.269171870614413	5.794736844533434	4.818943095678826	6.063719110738013	6.163288324174067	NA	6.392711748654177	5.424758980195026	6.46828127626707	4.94325993441421	5.236551224598435	5.123526088783076	NA	34	ED
P62312	5.402637926757222	4.424649119821995	NA	5.677112001269802	5.485569492014251	4.451766001733218	5.575311606598525	5.973505502842526	5.092143507285081	5.077692200686578	5.722465555015852	5.273715093499675	5.865291418803692	5.760779857353828	4.932824437594282	5.781879612263754	5.722613308944158	5.756149100250342	5.607733898806215	5.641448422561199	5.882489953220168	5.920315665127685	5.417629365714293	5.137598637214587	5.327477032204945	5.163636851559398	5.75270981756812	5.612194346687829	5.544113905282614	NA	5.262831469837682	4.570774961169005	5.95384554463331	4.97858522923869	4.892143782148987	NA	5.92391752932364	34	ED
Q53FA7	3.279631086723163	4.955027678600307	5.203286293739245	5.227813362372271	6.425125241466089	5.36180591263817	5.443462316269011	NA	5.188861986516934	3.938111109662963	5.299081374181216	5.179951519733934	NA	5.613395956569391	4.798458559127145	5.639846287490481	5.096459125471041	4.197436571661898	5.772581333206697	NA	5.014668616319458	5.327501341685789	5.436995839804861	4.000734578662786	4.800783198504412	4.929185018550814	4.575015408848624	5.466670796579794	5.606442372787073	4.984920770069964	5.117219613076991	4.113493423315757	4.41638541446011	5.381345963585638	4.098380724380566	4.8849278223727	5.28258483239731	34	ED
F5GYC4	5.420791706440185	3.194735045332006	4.74001106715808	4.24095851907551	4.748844015548239	5.603019782169728	5.542616681505733	5.654010289037533	4.700510540804854	3.746911287404693	4.460452442400204	4.639109152782314	5.622295076778284	5.551285512731907	5.292188633306166	5.5588621571209	5.744170961711467	5.062366161516525	5.228927609830266	5.6841728628155	4.881831148977488	4.83132731576126	5.251616990588397	4.547941118854474	4.576994117230005	4.624674286735686	4.589494643952523	4.985045023645919	5.331372449832116	3.354069190331377	4.603339649753991	3.310449277588549	4.906797783557683	4.774065915576015	4.7950810796257	3.407728148355638	4.910643158539187	37	ED
C9JDU5	5.526077789559849	4.730749665866191	4.78425085793888	5.05751040148695	4.626775319431279	4.910696613647451	5.662720366619566	5.519734675386765	4.428551806992921	NA	5.090950951535798	4.714719986302015	5.472266752912825	4.46392491605205	5.224059512079516	4.613408079172736	4.866646884220274	4.196981326698759	4.584923369528173	5.044084618620476	5.427690305825012	4.991806637706835	4.947334940521876	4.467461124102454	4.410813711736717	4.809527846262464	5.38962889886704	4.983274206564639	5.362093610127353	4.900284026941472	5.020054558712122	5.151986656318578	4.609008237721246	4.385468421047129	4.423663876169985	4.501836847336405	5.098874026312579	36	ED
P04080	6.340551244548149	6.625498170653192	7.062114548605815	6.462413724947909	6.53236908535937	6.446634615611833	5.975043197018664	6.458464028690193	7.771158534586007	6.28578298642077	6.409516719817999	6.278508138783236	6.931254893493964	6.343051857239736	6.288762434464383	7.010420384931468	4.372165351740205	6.835706938642319	7.06896899936006	6.412460649609707	6.807405393188541	6.724151418330369	7.24412011485258	5.841695910392423	6.534341245893218	6.474210883187022	6.374333149944913	6.73289231701821	6.055714288580885	6.696852672308781	6.764905078655604	6.584867476899983	6.209191375879524	6.674280292404051	6.255034615664218	6.652043652111366	6.750027574071533	37	ED
P30086	6.624496718715864	7.049300138960762	7.707440375055591	6.825034817240632	6.882616468803008	6.599255314450094	6.000154099912544	6.692466529548776	6.843024159144124	7.525886295036665	6.545541003566273	6.815656962174405	7.042507547122787	6.69251223166082	7.408590060703417	6.83215598383767	6.833837992935062	6.291974528513839	6.603949655283332	6.549868221159143	7.624569249630975	7.105160590876892	7.08679423163152	5.570803577764553	7.01102395970359	6.725569508559456	7.365255346392447	6.616809047107534	7.319606157803102	7.099737109499674	6.990445662418546	7.214984043695655	7.104200641619225	6.678272121445161	7.081172771527983	6.58284551657201	6.918679188499786	37	ED
P07108	6.120245722853473	6.922376940316521	4.769619334911205	6.170804489890829	6.781460154729715	7.135261169458496	6.421126001250361	5.182066444595288	6.533394450914753	7.425727186522355	6.434259961489674	5.552423103302175	6.504114704650158	6.051724897327122	7.434708874974422	6.960523293191764	5.391772812338727	6.660385218819918	6.437915708659443	7.069783869518519	6.73660599245412	6.607804618075644	6.587543237584017	5.182019569757675	6.306263879618816	6.032870554426992	5.817772334533723	6.446911059624167	6.629474670554168	NA	6.936469387558581	6.612762018288652	6.733205978114001	6.652788316714572	4.646338582248697	5.766191252314202	6.254994885331258	36	ED
P62942	5.89996265147608	6.515321349194282	6.339814703543959	6.341143340806956	6.718135841664612	6.212780460831123	NA	6.678631663476152	6.513852168380033	6.123557478181054	6.37001497228627	6.592489801588281	6.709526685820176	6.237343142123319	6.471996224286363	6.853080211683648	5.135602071829306	6.752054606620138	7.086875754792164	6.134657544705152	6.959900477482968	6.676230305392977	6.393054599918908	5.803821931839015	6.612054565324419	6.84810742760666	5.796777353719285	5.999059814042593	6.816302306890503	5.71020467467947	6.438148012650414	5.911309928873748	6.923094723119243	6.321487707219213	6.467709711506618	6.565246033692461	6.948690652025267	36	ED
P30043	5.512423747656812	6.553083818750423	6.463875856625466	5.752108908212195	6.11983776011206	6.131294542957146	6.261848203947892	5.650761020581696	6.407757127087776	6.736975475188524	6.141803752261803	6.221942183837516	5.790824331161113	5.842872052470499	6.791063867767908	7.028466875447215	6.397309507545844	6.528386662774464	6.094231708651985	5.747611485468139	6.56474815225917	6.563339909612779	6.316570728317995	5.861912590284065	6.337433053165652	6.397409899328265	5.825357090683583	6.533344545730786	5.995776005986281	6.416967005473238	6.4715585645441	6.298748313258645	7.096184779811468	6.099484730675542	6.338026109703426	6.134863187689345	6.3993642408167	37	ED
P15121	5.913593490578251	6.358464448681419	7.819998568708232	6.041175249079359	5.734902067105672	5.23380559025014	5.926520279256781	6.136436949294822	6.138373742937024	5.758257920746143	6.094578526768603	6.081390826230615	6.0446932975848	5.667675911530263	5.443050589402419	6.020489382130942	6.270755161571794	5.738872309199491	5.958931475546036	6.029996098417949	7.010058347539244	6.255567772858143	6.26298199355295	5.624623135948499	5.911159078442713	5.994207497573009	6.249743360305425	5.990238800026528	6.109709707142272	5.774882447909945	5.789770645557891	6.211732492846592	6.406989393604975	6.60622252631897	6.246971494732367	5.820538225412195	6.102350333057245	37	ED
