prot	B-lymphocyte	Unknown	adipocyte	adrenal gland	amniocyte	arachnoid cyst	blood platelet	bone	bone marrow stromal cell	brain	breast	breast cancer cell	cardia	cerebral cortex	cervical epithelium	cervical mucosa	chronic lymphocytic leukemia cell	colon	colon muscle	colonic epithelial cell	colorectal cancer cell	cytotoxic T-lymphocyte	esophagus	gall bladder	gut	hair follicle	heart	helper T-lymphocyte	ileum epithelial cell	kidney	liver	lung	lymph node	mesenchymal stem cell	monocyte	myometrium	nasopharynx	natural killer cell	oral epithelium	osteosarcoma cell	ovary	pancreas	pancreatic islet	placenta	prefrontal cortex	prostate gland	rectum	renal cell carcinoma cell	retina	salivary gland	seminal vesicle	skin	spermatozoon	spinal cord	spleen	stomach	testis	thyroid gland	tonsil	urinary bladder	uterine cervix	uterus	vitreous humor	tcount	def
Q9UJ70	6.171084206133179	NA	5.640522362366075	5.616516589604853	5.415491769177554	NA	4.971234133808744	4.547438179037533	5.549531242034943	5.810944157973754	6.125859188937895	5.592941916980257	5.69274791702288	4.334743144528675	6.358220616464026	NA	NA	5.526705546670851	5.095418369730863	5.224444465036156	5.759412938181608	5.857197925696106	5.621782596846059	5.285020998563868	5.433282285450385	5.591013558132342	5.099636060488092	5.730307795703673	5.318666490408278	5.339026541371618	5.36697537421573	6.080358559619446	6.361254749031258	4.001611322461928	6.272397172320183	5.783233591995453	4.689626685107928	5.650595592882243	5.767315079181977	5.596827903651633	5.916638480567875	5.960612746484389	5.710929262556999	5.424290502216977	5.166743326200778	5.476071487007517	5.363519774660011	NA	5.565799796643882	6.032695337701972	4.399145275741345	6.359644679555428	5.260757829059942	5.401590495227322	6.351852303859407	5.729589172585844	5.490155062359827	5.345135812034908	5.236375056542435	5.537592064521635	5.599785315280106	5.662888875485265	NA	57	ED
P32119	6.478237935796311	NA	7.1945682530942	7.123626190274609	6.334086835195201	4.676816528059952	5.74469140901768	NA	6.072794046599742	7.092325483027786	6.83325224340906	6.156665949256661	7.046416974603497	6.813253065378942	6.8320651741237	6.249979932751966	NA	6.586923730202958	6.792640745389736	6.793850373009539	6.366204113006484	6.827217765277194	6.87611405394195	7.116984046848369	6.90366140225079	6.828071948256785	6.966675819859395	6.998486209090567	6.739793069280324	6.79833369535749	7.058066127527928	7.390195860907559	7.209007533219697	5.253851112651647	5.935900425410667	6.462286740082471	6.778289956063627	6.448890737209957	6.750945962108523	6.795611094159724	6.906691955893962	7.048618368436186	6.750098438992137	6.530015728639031	6.570313339871412	6.747202582186681	6.729148013296541	NA	7.047357147431665	6.866564213900032	7.091072747590142	7.005638196872427	5.384731816812816	6.926073515071789	7.169734912939671	6.768865770235825	6.97546002174532	6.898621720708741	7.344320792897026	6.688491313956732	6.60825141792487	6.89771774046668	5.50029619643579	59	ED
Q96G03	6.041128860370211	NA	5.514670939924575	5.447387336836891	5.190025655308591	NA	5.511401277332606	NA	4.88336838510912	5.236782447078044	4.726686316709655	5.206976318903149	5.016416241670952	5.741881305678411	5.765607821931583	NA	NA	5.2158502022121	4.613175267482518	5.530462318938342	5.790280830889936	6.139473136104808	5.804948497415126	5.765606342908824	5.51091317538283	4.970560917599165	4.677374907235857	6.036275985842996	5.596934195195885	4.846302271978187	5.403069287292613	5.612014514400173	6.276844294832923	NA	5.822114760290377	6.148442015777913	4.654600465170317	6.145897207689267	6.026117321213709	4.853456134182065	5.776812417218141	5.6206865455567	5.084654332650133	4.916038501568836	4.884214281228843	5.465202517555883	5.420285057776141	NA	6.45923481936118	5.542679375801741	4.806276145760677	4.932254132685595	NA	4.723853689856954	5.905613255677443	5.893995832232559	5.781610689775045	5.129121859732489	5.124697151476028	5.335602102652874	5.680186394629801	6.398102527436619	NA	54	ED
Q8NBF2	4.1519991399638	NA	4.992016323007498	4.95738878218749	NA	NA	4.368850178889424	NA	NA	4.560536912779869	4.589437243492831	5.082933519237262	4.676766859024683	4.364846476854952	NA	NA	NA	5.239877999078993	4.190312993446577	4.8353573822797	3.955347849112317	4.02826565744415	5.448087418207126	4.695541220658465	4.303085757986153	NA	4.822094840463033	3.929110740781361	4.246752504236057	4.662267754398806	4.643583889007665	4.827716986050049	5.175938486318674	NA	4.019553578548929	5.028357619145548	3.883695199615845	3.602259145804225	4.800138982345408	4.08410575691692	5.138385576828742	4.813280174667963	5.100206102590048	4.650012939742929	4.13725089141677	5.03592011263177	4.614112599789082	NA	4.697156305922926	5.140952596965266	4.424388480427788	4.949011087963069	NA	4.159594847150314	5.091481565557001	5.067557627879566	4.846997226264596	4.401139785510388	4.945486164111169	4.85847534960183	5.010095816862437	5.66502877798383	NA	50	ED
P06703	6.700581444471358	NA	6.688593642803561	5.796198502927175	6.73596291959733	NA	6.130592925846267	7.699058257352748	6.328796263927254	4.964935833851032	7.728513978752862	NA	5.88634603147332	4.56713377284	6.986101300027313	7.581544751188814	NA	7.223247723642613	7.012523714452871	6.93447695902664	6.929191105752864	6.62725390357105	6.804005809452817	6.933459574122979	6.240719575332466	7.178983449340201	6.391617587100216	6.739680480535585	6.495811680006282	6.560374863510356	5.96167971857569	7.167006529316649	5.986230049670002	6.204911356902329	7.218171505145799	7.207089883514042	6.843371743063981	6.590167770191314	7.022085713312959	6.588046206690409	7.13290093483845	7.021097331680952	5.083304402984326	5.458121216737601	5.800908193270709	7.146081207297714	7.403628736462119	8.06356473076585	5.095020993580865	6.904652790660011	6.833657664408688	6.444939261453639	5.524905799785849	6.5444936381487	6.643038023842837	7.266674411170477	6.820402674290797	5.142042852622332	7.114173897120365	6.957571561414479	3.542850119217839	7.121654791109346	NA	58	ED
Q14019	6.985301953313049	NA	5.162495247453474	5.399601534610699	6.85002784830886	7.001674492958776	6.361901856509128	NA	5.207838028989134	6.377191184103653	5.60453803940432	5.570660014388279	5.383976655494793	5.801437517475952	6.561106485130743	NA	NA	5.724921198066379	5.504597579063972	5.493501347156022	6.14102775533261	6.510958246926526	5.662612397039898	5.257462820599797	6.030974268645773	NA	5.474482965511897	6.822546313534046	6.215345932864494	6.532789388586552	5.556490026210933	6.434119037022254	5.298986230179611	5.300211175335319	7.039946562561287	6.304426803266132	5.595776403678091	6.53815310653222	6.671865746655024	5.27578358302998	6.523490742895033	5.780745062747236	5.39249025403531	5.422669675004108	5.725350735198973	5.996141397680666	6.273947409577881	5.827166441447678	6.231298571997264	5.447548401633708	5.366931262487169	5.155734534466007	4.222441418353908	5.95871329375318	6.637862321139704	5.038348674674143	6.206447633424217	4.807782148463321	5.054881192942504	5.982648357817373	5.012100500944362	6.186124257039971	6.208188746422978	58	ED
P62314	6.256501364751202	NA	4.969724151212552	5.221567384762869	NA	NA	NA	4.423866604434254	5.561278816494903	6.400800407079586	5.930393191273289	5.662580405053093	5.39487418281163	3.783621078053657	NA	NA	NA	5.99123517049918	5.130099382817979	5.752579469013279	5.884998238414401	6.462785281492277	5.414825765217584	3.419884772589793	6.527300153749572	5.914921250821854	6.152839047763653	6.333683084889586	5.533705557689998	5.688693267921469	5.85376541566701	5.735388988636319	5.126967561879634	NA	5.332144220007302	5.472285396336339	NA	6.444886925637323	4.245665916961648	4.223082171433876	6.299456703512538	6.311235766417589	6.56950312494391	6.284153915382754	5.757638994577753	5.823020312145135	5.739586464958584	6.670127582327328	6.364559719500317	4.849476269045215	5.094564516190423	4.834440849064858	NA	5.221886421348614	5.032248725268341	5.663156981058575	6.309755168028754	5.183861755311639	NA	5.633381464820539	4.617316085453194	5.182509883606767	NA	51	ED
P00568	NA	NA	6.24585714977972	6.013370829679513	4.615071393817603	NA	6.070312284393848	NA	6.375529989249438	6.201966798890628	6.00583531215603	5.800708750112122	6.255972244350264	6.341508282181635	6.280071112196274	NA	NA	6.384042491768259	6.068509857287923	5.460347112103514	6.010465617617129	NA	6.119499132594099	6.061579848914719	5.478686715263883	NA	6.33158632043299	NA	5.18015985573826	5.659518782015624	5.676404642358426	6.509927100889574	5.011644142798507	5.726708794462933	5.077590656921236	6.495379710753625	5.587932865983909	3.095953843494977	6.471460649836179	6.591656468495674	7.120181979389338	5.885879913304128	6.02933247349108	4.730167770904454	6.13310561348214	5.959258518572962	5.931514084865835	NA	6.460229391994027	6.373777929706309	5.307926091404768	6.670880921699816	5.871819666697849	5.974009131594664	6.568327643695054	5.832863767911623	6.503321147112159	5.999528873660339	7.200475902987057	6.198432901301909	5.705645023956174	6.034109094325896	NA	52	ED
P42330	NA	NA	6.849596329235331	5.77825070062741	NA	NA	NA	NA	5.952854303789886	NA	4.489502490205873	4.999563389186135	5.98659527189849	4.244128061839545	NA	NA	NA	6.111225454829452	NA	6.396569840415101	5.699326416406048	5.346362287729597	4.465736034055477	6.419424341153183	NA	NA	NA	NA	7.009837833944157	6.417535125942258	6.634980324979805	5.963887301732098	4.658735333851071	NA	NA	5.757061813822273	5.959985881432256	6.086056024847525	5.107873495738893	NA	5.83165024954311	5.455164945715727	6.376833692338238	NA	4.902161641523715	4.498938052330386	5.732555087757672	6.727991474476223	5.753756954338545	5.107977463251506	NA	4.932140810396905	NA	5.467504110274951	NA	6.362635066530238	5.613540733339037	4.969172423300461	5.115836537852076	5.912873327739731	5.259364414062174	5.059307354572933	NA	40	ED
Q9P1F3	6.689839109435884	NA	4.983596721708047	3.790258521619302	6.515771919223122	NA	6.097635795384472	NA	4.168895198684445	5.738317940045611	5.832580262023138	5.79077922865936	5.149979061069355	4.289729147509776	NA	NA	NA	5.7373514068969	5.329644845591411	5.628056137681471	5.878378695419487	6.390800633703071	4.303207165544108	5.852215496593507	6.510234960162124	NA	5.12741680948647	6.93354485504091	4.762488346851208	6.052202741016137	5.531432010127089	6.057792595667339	NA	NA	6.261975664246557	5.756847780465265	NA	6.633684986805013	6.556271272889496	6.078889015135602	5.963385714826641	5.639770526021789	6.022189687415692	4.708090902881836	5.598520898187875	5.269171870614413	5.794736844533434	NA	4.818943095678826	6.392711748654177	4.932351096879846	5.074552406175861	NA	5.424758980195026	6.46828127626707	6.063719110738013	6.163288324174067	NA	4.94325993441421	5.236551224598435	5.123526088783076	NA	NA	48	ED
