prot	BRAIN	BROWN_ADIPOSE_TISSUE	HEART	KIDNEY	LIVER	LUNG	PANCREAS	SPLEEN	WHOLE_ORGANISM	tcount	def
P21981	0.468	221.0	696.0	181.0	167.0	794.0	29.3	418.0	199.0	9	ED
P62274	20.7	NA	NA	NA	135.0	45.4	NA	NA	153.0	4	ED
Q61792	523.0	40.3	11.8	100.0	96.6	303.0	34.2	112.0	162.0	9	ED
Q80WQ6	NA	NA	NA	NA	NA	19.4	NA	NA	0.227	2	ED
D3YZ09	8.65	0.93	0.062	49.5	12.3	26.1	NA	2.51	64.3	8	ED
Q8BZW8	4.12	25.7	7.83	48.8	8.97	155.0	74.0	89.0	2.64	9	ED
Q9CPV4	1148.0	362.0	167.0	302.0	51.5	328.0	80.1	269.0	133.0	9	ED
P51125-3	0.323	118.0	535.0	0.187	5.67	189.0	45.5	83.7	74.0	9	ED
P58801	0.031	0.354	NA	NA	NA	NA	0.289	0.409	0.584	5	ED
Q8BJH1	218.0	NA	NA	NA	NA	279.0	NA	NA	21.1	3	ED
Q61107	0.096	4.68	1.24	7.93	0.055	3.75	7.1	15.3	0.839	9	ED
Q8VBV7	21.9	36.7	6.45	42.4	2.82	39.0	92.8	47.4	12.0	9	ED
Q61171	1192.0	875.0	985.0	587.0	397.0	1092.0	474.0	1192.0	723.0	9	ED
F6XC25	1.73	4.95	2.68	1.18	0.534	23.5	31.9	19.6	19.5	9	ED
Q9DBF1-2	23.1	67.7	12.3	174.0	1198.0	69.1	655.0	24.5	178.0	9	ED
P55264-2	260.0	177.0	956.0	252.0	206.0	423.0	2829.0	168.0	61.2	9	ED
Q62012	NA	NA	NA	NA	NA	NA	NA	NA	0.466	1	ED
Q91Z53	529.0	239.0	79.7	402.0	202.0	62.1	217.0	62.6	117.0	9	ED
O35215	70.4	189.0	26.0	245.0	24.5	53.7	496.0	28.4	85.0	9	ED
Q9D819	470.0	1289.0	235.0	214.0	234.0	263.0	1038.0	243.0	343.0	9	ED
P47199	57.0	237.0	69.5	1330.0	53.2	93.2	69.8	35.6	132.0	9	ED
Q6NZM9	10.0	NA	NA	NA	NA	1.7	NA	0.081	6.47	4	ED
Q99LT0	677.0	4.51	37.6	84.9	32.5	32.9	2.62	1.93	473.0	9	ED
Q9WUL7	114.0	40.9	4.9	52.9	1.54	55.7	134.0	26.1	80.6	9	ED
P17742	3317.0	857.0	244.0	467.0	827.0	1339.0	791.0	3030.0	3318.0	9	ED
Q8BH93	NA	0.24	NA	NA	NA	NA	NA	NA	822.0	2	ED
O70251	133.0	298.0	156.0	118.0	536.0	274.0	1748.0	132.0	631.0	9	ED
P09411	1775.0	607.0	3701.0	1903.0	1401.0	537.0	2496.0	2836.0	533.0	9	ED
D3Z637	24.2	14.9	11.5	59.3	3.61	58.9	401.0	103.0	309.0	9	ED
Q9JII6	284.0	236.0	35.2	2747.0	1064.0	459.0	212.0	294.0	342.0	9	ED
Q3UIA2	0.915	11.3	0.437	0.591	0.388	23.2	5.6	47.4	12.6	9	ED
O35295	359.0	104.0	21.2	34.2	12.7	104.0	126.0	73.1	62.5	9	ED
P45376	151.0	527.0	612.0	396.0	19.8	806.0	336.0	3258.0	286.0	9	ED
Q6ZWN5	42.3	526.0	47.4	240.0	3830.0	308.0	1784.0	722.0	303.0	9	ED
Q9D1P4	191.0	50.6	126.0	179.0	115.0	255.0	158.0	137.0	171.0	9	ED
F6ZFU0	148.0	187.0	169.0	74.4	65.3	213.0	971.0	293.0	311.0	9	ED
Q9R059	NA	NA	0.756	30.2	0.006	13.5	NA	1.07	99.1	6	ED
Q61553	892.0	58.9	21.7	8.3	0.232	77.3	3.98	16.3	54.9	9	ED
P97315	254.0	105.0	142.0	248.0	34.0	1237.0	294.0	558.0	266.0	9	ED
Q9JLQ0	0.191	18.5	3.26	138.0	12.9	83.7	212.0	81.8	26.3	9	ED
D3Z3A0	10.6	19.4	8.01	0.266	0.141	38.5	5.67	19.8	18.6	9	ED
E9Q6U4	28.4	1.86	5.8	14.9	2.32	9.23	71.8	10.4	22.4	9	ED
Q8VI36-2	0.594	17.1	5.38	2.05	0.526	66.6	2.03	19.3	42.3	9	ED
Q9JKN1	NA	NA	NA	0.573	0.117	7.92	32.0	2.21	1.22	6	ED
P16045	27.2	625.0	196.0	226.0	10.8	444.0	2819.0	230.0	566.0	9	ED
Q60902-2	28.0	32.6	16.2	2.09	1.93	64.4	7.75	45.4	29.6	9	ED
