comp	usubs	uniprot	avgcoex	def	species
1001	12	Q04750	0.120654545455	UN	mouse
1001	12	O35654	0.360009090909	NA	mouse
1001	12	P33609	0.431418181818	NED	mouse
1001	12	P20664	0.473490909091	NED	mouse
1001	12	Q01320	0.449090909091	UN	mouse
1001	12	P37913	0.4722	UN	mouse
1001	12	P33610	0.423054545455	NED	mouse
1001	12	Q9EQ28	0.329572727273	NA	mouse
1001	12	Q9CWP8	-0.00620909090909	NA	mouse
1001	12	P17918	0.430218181818	NED	mouse
1001	12	P52431	0.429718181818	NED	mouse
1001	12	P33611	0.396709090909	NED	mouse
1002	2	O70589	0.1819	NA	mouse
1002	2	Q811D0	0.1819	NA	mouse
101	2	Q91YE5	0.206	NA	mouse
101	2	Q91ZW3	0.206	NED	mouse
1014	2	Q91XZ0	NA	NA	mouse
1014	2	O88689	NA	NA	mouse
1015	2	Q91XX7	NA	NA	mouse
1015	2	O88689	NA	NA	mouse
1016	2	Q91XY5	NA	NA	mouse
1016	2	O88689	NA	NA	mouse
1017	2	O88689	NA	NA	mouse
1017	2	Q91XX6	NA	NA	mouse
1018	2	Q91Y13	NA	NA	mouse
1018	2	Q91XX6	NA	NA	mouse
1019	2	Q91XY5	NA	NA	mouse
1019	2	Q91Y13	NA	NA	mouse
102	4	P70281	0.137166666667	NA	mouse
102	4	Q8C5S7	0.0763333333333	NA	mouse
102	4	Q920F6	0.174	NA	mouse
102	4	Q9CW03	0.0199	UN	mouse
1020	2	Q91XX7	NA	NA	mouse
1020	2	Q91Y13	NA	NA	mouse
1021	2	Q91XZ0	NA	NA	mouse
1021	2	Q91Y13	NA	NA	mouse
1022	3	P14234	0.0244	NA	mouse
1022	3	Q91YM2	-0.074	ED	mouse
1022	3	Q9QVP9	0.096	NA	mouse
1035	3	Q60771	0.04925	NA	mouse
1035	3	P09055	0.0821	UN	mouse
1035	3	Q9QY33	0.13305	NA	mouse
1043	2	Q91XL2	0.0774	ED	mouse
1043	2	P97792	0.0774	NA	mouse
1044	2	P97792	0.164	NA	mouse
1044	2	Q9D8B7	0.164	NA	mouse
1050	2	Q9CQA5	-0.0434	NED	mouse
1050	2	P48281	-0.0434	NA	mouse
106	3	P15806	0.10325	NA	mouse
106	3	P12979	0.0228	NA	mouse
106	3	Q9JM73	0.13385	NA	mouse
1066	3	Q9Z101	0.1162	NA	mouse
1066	3	Q80Y17	0.0319	ED	mouse
1066	3	Q02956	0.0698	NA	mouse
1074	3	Q61771	0.02865	ED	mouse
1074	3	Q8CIS7	0.0339	NA	mouse
1074	3	O35245	0.06375	NA	mouse
1076	2	Q8CIS7	0.069	NA	mouse
1076	2	O35245	0.069	NA	mouse
109	2	Q60718	0.4798	NA	mouse
109	2	Q8R534	0.4798	NA	mouse
1103	3	O88998	0.17065	NA	mouse
1103	3	Q8R5H6	0.1271	NA	mouse
1103	3	Q61337	0.07705	NA	mouse
1109	2	P33609	0.4248	NED	mouse
1109	2	P33611	0.4248	NED	mouse
1112	2	Q7TPR4	0.0528	UN	mouse
1112	2	Q2PFD7	0.0528	NA	mouse
1115	2	P49615	0.1449	UN	mouse
1115	2	P61809	0.1449	NA	mouse
1122	3	Q61550	0.40405	UN	mouse
1122	3	Q9CW03	0.431	UN	mouse
1122	3	Q9CU62	0.40565	UN	mouse
1135	2	Q91X96	0.1027	NA	mouse
1135	2	Q62470	0.1027	NED	mouse
1136	2	Q91X96	0.0227	NA	mouse
1136	2	Q61738	0.0227	NA	mouse
1151	3	Q62209	0.2889	NA	mouse
1151	3	Q9D495	0.3156	NA	mouse
1151	3	Q505B8	0.1644	NA	mouse
1157	4	Q02248	0.2347	NED	mouse
1157	4	P15116	-3.33333333333e-05	ED	mouse
1157	4	P49769	0.157733333333	NA	mouse
1157	4	P09803	0.00986666666667	NA	mouse
1161	3	Q9WU42	0.253	NA	mouse
1161	3	Q8C2B3	0.2446	NA	mouse
1161	3	Q60520	0.1111	UN	mouse
1164	4	Q61271	0.1525	NA	mouse
1164	4	P27038	0.1092	NA	mouse
1164	4	Q9WVQ1	0.0848333333333	NA	mouse
1164	4	Q8BUN5	0.1448	ED	mouse
1184	9	Q80YQ2	0.1613375	UN	mouse
1184	9	Q62447	0.1600625	NA	mouse
1184	9	Q921D4	0.1156125	NA	mouse
1184	9	Q569Z6	0.1879625	UN	mouse
1184	9	Q6PGF3	0.102925	NA	mouse
1184	9	Q99K74	0.143025	NA	mouse
1184	9	A2AGH6	0.107175	NA	mouse
1184	9	Q5U427	0.1407625	NA	mouse
1184	9	Q925J9	0.1865625	NA	mouse
1212	3	O09044	0.18635	NA	mouse
1212	3	P70452	0.1986	NA	mouse
1212	3	O70404	0.22205	NED	mouse
1246	2	P20029	0.4729	UN	mouse
1246	2	Q99KV1	0.4729	UN	mouse
1371	4	P25801	0.2109	NA	mouse
1371	4	P15806	0.0074	NA	mouse
1371	4	P22091	0.334966666667	NA	mouse
1371	4	P17679	0.2528	NA	mouse
1373	5	P25801	0.155475	NA	mouse
1373	5	P15806	0.1363	NA	mouse
1373	5	P22091	0.256325	NA	mouse
1373	5	P17679	0.19425	NA	mouse
1373	5	P70662	0.1378	NA	mouse
141	3	Q08509	0.1276	UN	mouse
141	3	Q8CBW3	0.19005	NA	mouse
141	3	Q62245	0.13645	ED	mouse
146	3	P05480	0.14635	NA	mouse
146	3	O88935	0.24915	NA	mouse
146	3	P39053	0.2364	NA	mouse
154	3	P45481	0.3208	NA	mouse
154	3	P70365	0.263	NA	mouse
154	3	Q8BJ14	0.2994	NA	mouse
1595	3	P00520	0.08385	NA	mouse
1595	3	Q9ESJ1	0.0824	NA	mouse
1595	3	P49615	0.07285	UN	mouse
161	4	P09405	0.382933333333	UN	mouse
161	4	Q61937	0.372	UN	mouse
161	4	P11103	0.3134	NA	mouse
161	4	Q6A028	0.1902	ED	mouse
168	3	P42567	0.14905	NA	mouse
168	3	O88811	0.1764	UN	mouse
168	3	Q99LI8	0.06855	NA	mouse
1782	2	Q64729	0.3802	NA	mouse
