comp	usubs	uniprot	avgcoex	def	species
1	2	P56524	0.1484	NA	human
1	2	P41182	NA	NA	human
100	4	Q12830	NA	NA	human
100	4	Q09028	NA	NA	human
100	4	P28370	NA	UN	human
100	4	Q16576	NA	ED	human
1000	2	O14656	NA	ED	human
1000	2	O14657	NA	NA	human
1003	9	Q14181	NA	ED	human
1003	9	P24941	NA	UN	human
1003	9	P35251	NA	NA	human
1003	9	P40938	NA	UN	human
1003	9	P09884	NA	NA	human
1003	9	P35250	NA	UN	human
1003	9	P35249	NA	NA	human
1003	9	P20248	0.5176375	NA	human
1003	9	P40937	NA	NA	human
1004	13	P35251	NA	NA	human
1004	13	P18858	NA	NA	human
1004	13	P24941	NA	UN	human
1004	13	Q07864	NA	NA	human
1004	13	P09874	NA	ED	human
1004	13	P15927	NA	UN	human
1004	13	P35244	NA	ED	human
1004	13	P11387	0.109575	UN	human
1004	13	P09884	NA	NA	human
1004	13	P27694	NA	ED	human
1004	13	P28340	NA	NA	human
1004	13	P35250	NA	UN	human
1004	13	P20248	0.38545	NA	human
1005	13	P35251	NA	NA	human
1005	13	Q07864	NA	NA	human
1005	13	P28340	NA	NA	human
1005	13	P09874	NA	ED	human
1005	13	P15927	NA	UN	human
1005	13	P35244	NA	ED	human
1005	13	P11387	0.126841666667	UN	human
1005	13	P09884	NA	NA	human
1005	13	P27694	NA	ED	human
1005	13	P14635	0.448316666667	UN	human
1005	13	P35250	NA	UN	human
1005	13	P20248	0.440166666667	NA	human
1005	13	P06493	0.442491666667	ED	human
1010	3	P50613	NA	NA	human
1010	3	P51948	NA	UN	human
1010	3	P51946	0.34015	NA	human
1028	2	P41235	NA	NA	human
1028	2	P53999	NA	NA	human
1029	10	Q13888	NA	NA	human
1029	10	P50613	NA	NA	human
1029	10	P18074	NA	NA	human
1029	10	P32780	NA	NA	human
1029	10	P51946	0.153455555556	NA	human
1029	10	P19447	NA	NED	human
1029	10	Q92759	NA	NA	human
1029	10	P51948	NA	UN	human
1029	10	Q6ZYL4	NA	NA	human
1029	10	Q13889	NA	NA	human
103	24	P19387	NA	NA	human
103	24	O15514	NA	ED	human
103	24	P19447	NA	NED	human
103	24	P29084	NA	ED	human
103	24	P30876	NA	NA	human
103	24	Q13889	NA	NA	human
103	24	P61218	NA	NA	human
103	24	P19388	NA	NED	human
103	24	P52435	NA	NA	human
103	24	Q13888	NA	NA	human
103	24	P20226	0.162930434783	NA	human
103	24	Q00403	NA	ED	human
103	24	P13984	NA	ED	human
103	24	P24928	NA	NED	human
103	24	P32780	NA	NA	human
103	24	P52434	NA	NA	human
103	24	P35269	NA	UN	human
103	24	P36954	NA	UN	human
103	24	P18074	NA	NA	human
103	24	P29083	NA	NA	human
103	24	P62487	NA	ED	human
103	24	P62875	NA	NA	human
103	24	P53803	NA	NA	human
103	24	Q92759	NA	NA	human
1030	4	P51948	NA	UN	human
1030	4	P50613	NA	NA	human
1030	4	P18074	NA	NA	human
1030	4	P51946	0.237033333333	NA	human
1037	5	P19447	NA	NED	human
1037	5	Q92759	NA	NA	human
1037	5	Q13888	NA	NA	human
1037	5	P32780	NA	NA	human
1037	5	Q13889	NA	NA	human
1039	2	Q15004	0.6394	UN	human
1039	2	P12004	NA	ED	human
104	12	P19387	NA	NA	human
104	12	O15514	NA	ED	human
104	12	P24928	NA	NED	human
104	12	P53803	NA	NA	human
104	12	P62487	NA	ED	human
104	12	P52434	NA	NA	human
104	12	P30876	NA	NA	human
104	12	P36954	NA	UN	human
104	12	P52435	NA	NA	human
104	12	P61218	NA	NA	human
104	12	P19388	NA	NED	human
104	12	P62875	NA	NA	human
1040	2	Q15004	0.0705	UN	human
1040	2	Q9UK53	NA	NA	human
1042	2	Q15788	0.0719	NA	human
1042	2	Q9HD15	NA	ED	human
1045	3	P62826	NA	ED	human
1045	3	O95149	NA	NA	human
1045	3	O14980	0.32065	UN	human
1051	4	Q13309	NA	NA	human
1051	4	P63208	NA	UN	human
1051	4	P62877	0.265933333333	ED	human
1051	4	Q13616	0.224533333333	ED	human
1052	4	P63208	NA	UN	human
1052	4	P62877	0.234533333333	ED	human
1052	4	Q13616	0.251933333333	ED	human
1052	4	Q9UKB1	NA	NA	human
1054	4	P20749	NA	NA	human
1054	4	Q04206	NA	NA	human
1054	4	P03372	NA	NA	human
1054	4	Q9Y6Q9	0.195033333333	NA	human
1055	2	Q9UBW7	0.3037	NA	human
1055	2	P29590	NA	ED	human
1056	2	Q9UBW7	0.2909	NA	human
1056	2	P63165	0.2909	UN	human
