gene	struc	chn	decay.class	qtype	unq	tot	species	
BHMT	4m3p	A	X	hom	1	4	human
DCLRE1A	5ahr	A	X	hom	1	2	human
BMP6	2qcw	A	X	hom	1	2	human
SYT17	2enp	A	X	mon	1	1	human
HIST1H3B	1u35	A	X	het	4	8	human
CIRBP	1x5s	A	U	mon	1	1	human
OPN1MW2	1fdf	A	X	mon	1	1	human
CYP46A1	2q9g	A	X	mon	1	1	human
TMSB4Y	1hj0	A	X	mon	1	1	human
DNAJC16	2cug	A	E	mon	1	1	human
SUPT5H	3h7h	B	E	het	2	2	human
PTPN7	3d42	A	X	het	2	2	human
B3GAT3	1fgg	A	X	hom	1	2	human
GNAO1	3c7k	A	X	het	2	2	human
MEIS3	4xrs	A	X	het	2	2	human
ORM1	3apv	A	X	mon	1	1	human
PRMT7	4c4a	A	X	mon	1	1	human
ACBD6	2cop	A	X	mon	1	1	human
KCNH2	4l11	A	X	mon	1	1	human
C5	3prx	A	X	het	3	3	human
CFHR3	2w80	A	X	het	2	2	human
KIF4A	3zfd	A	E	mon	1	1	human
RALGPS1	2dtc	A	X	hom	1	2	human
SUPV3L1	3rc3	A	U	mon	1	1	human
FLT3	3qs7	E	X	het	2	4	human
ACOT11	3fo5	A	X	hom	1	2	human
SLC9A1	2e30	B	X	het	2	2	human
RASGRP2	2ma2	A	X	mon	1	1	human
CRYBB3	3qk3	A	X	hom	1	3	human
EHD2	2qpt	A	U	hom	1	2	human
APOA1	4v6m	A0	X	het	54	55	human
NDE1	2v66	B	X	hom	1	4	human
AC092835.2	1mey	C	X	mon	1	1	human
RAD52	1h2i	A	X	hom	1	11	human
CLIC2	2per	A	X	mon	1	1	human
RUVBL2	2cqa	A	U	mon	1	1	human
MACROD1	2x47	A	X	mon	1	1	human
ATP1A2	3n23	A	X	het	3	3	human
TERF2IP	3k6g	A	E	het	2	2	human
RAB11A	4lx0	A	X	het	2	2	human
AFF4	4ogr	C	E	het	4	4	human
SF1	4fxw	B	E	het	2	2	human
TSC22D3	1dip	A	X	hom	1	2	human
NUMA1	3ro2	B	U	het	2	2	human
NKX2-4	4s0h	B	X	het	2	2	human
FSHB	4mqw	B	X	het	3	3	human
RAB31	1z0j	A	X	het	2	2	human
FRK	2d8j	A	X	mon	1	1	human
APBB2	2roz	B	U	het	2	2	human
RP11-468E2.1	4abm	A	X	hom	1	2	human
CRB1	4uu5	B	X	het	2	2	human
THPO	1v7m	V	X	het	3	3	human
CST5	1roa	A	X	mon	1	1	human
ITGB1	4wk4	B	U	het	3	3	human
STRN3	4n6j	A	X	hom	1	2	human
BRAF	3q96	A	X	hom	1	2	human
VAMP2	2n1t	A	X	het	5	5	human
BRPF1	3mo8	A	X	het	2	2	human
POU1F1	1au7	A	X	hom	1	2	human
HMBS	3ecr	A	E	mon	1	1	human
CXCL10	1o80	A	X	hom	1	2	human
UBE2T	1yh2	A	U	mon	1	1	human
EPHA7	3gxu	A	X	het	2	2	human
KIAA0319	2e7m	A	X	mon	1	1	human
CRYGB	1gam	A	X	hom	1	2	human
PSMB1	4r3o	1	N	het	14	28	human
DOK1	1uef	A	X	het	2	4	human
TRPA1	3j9p	A	X	hom	1	4	human
MT2A	1dft	A	E	mon	1	1	human
PPIL2	1zkc	A	X	mon	1	1	human
PDZD7	2eeh	A	X	mon	1	1	human
THEM5	4ae7	A	X	hom	1	2	human
RPEL1	3ovp	A	X	hom	1	2	human
ACBD7	3epy	A	X	hom	1	4	human
ATXN2	3ktr	B	U	het	2	2	human
RNF165	5d0k	C	X	het	3	3	human
GIMAP4	3lxx	A	X	hom	1	2	human
CRY2	4u8h	A	X	het	2	2	human
SH3GL2	2c08	A	X	hom	1	2	human
UNK	5elh	A	X	hom	1	2	human
ARHGAP1	1am4	A	E	het	2	2	human
SPRED1	1tj6	A	X	mon	1	1	human
RASGRF2	2ije	S	X	mon	1	1	human
PRKG2	4ojk	C	X	het	2	4	human
HEG1	4hdq	C	X	het	3	3	human
USP19	1wh0	A	X	mon	1	1	human
PTGS1	1q4g	A	X	hom	1	2	human
GAS6	4ra0	A	X	het	2	4	human
PAXIP1	3sqd	A	X	het	2	2	human
SP1	1rik	A	X	mon	1	1	human
SAE1	1y8r	A	U	het	3	3	human
HLA-DOA	4i0p	C	X	het	4	4	human
MYO6	2bki	A	E	het	2	3	human
SNU13	3siv	A	N	het	2	4	human
DCPS	1st0	A	X	hom	1	2	human
ABLIM3	2l3x	A	X	mon	1	1	human
FKBP2	2pbc	A	E	mon	1	1	human
GLRX5	2wul	A	X	hom	1	4	human
FBXW11	1p22	A	X	het	3	3	human
CCT2	4b2t	B	U	het	8	16	human
AKT2	3e87	A	X	het	2	2	human
JAK3	3lxk	A	X	mon	1	1	human
PTBP3	3zzz	A	X	het	2	2	human
DNPEP	4dyo	A	X	hom	1	12	human
TAOK3	1u5r	A	E	mon	1	1	human
MPO	4ejx	D	X	het	3	3	human
RAPGEF2	2d93	A	X	mon	1	1	human
PSMC3IP	2mh2	A	X	mon	1	1	human
NKX2-6	4s0h	B	X	het	2	2	human
CETN1	2a4j	A	X	het	2	2	human
DBX1	1omq	A	X	mon	1	1	human
TINF2	3bqo	B	X	het	2	4	human
MADCAM1	4hcr	A	X	het	3	3	human
HOXA6	1b8i	A	X	het	2	2	human
SETD7	1o9s	A	E	het	2	2	human
NFATC2IP	2jxx	A	U	mon	1	1	human
SRR	3l6b	A	E	hom	1	2	human
ABHD14B	1imj	A	X	mon	1	1	human
IL33	4kc3	A	X	het	2	2	human
ACE	4aph	A	X	het	2	2	human
INSRR	1k3a	A	X	het	2	2	human
TNR	1tdq	A	X	het	2	2	human
LGALS4	3i8t	A	X	hom	1	4	human
TNFRSF6B	4kgq	C	X	het	2	12	human
DYNC1I2	2pg1	I	U	het	3	6	human
TAF3	5c13	A	X	het	2	4	human
UBQLN1	2jy6	B	E	het	2	2	human
DLG3	3jxt	A	X	het	2	2	human
KIAA0430	2diu	A	X	mon	1	1	human
SCN3A	4djc	B	X	het	2	2	human
ALK	2kup	B	X	het	2	2	human
U2AF1	1jmt	A	U	het	2	2	human
HDAC3	4a69	A	X	het	2	2	human
STK32A	4fr4	A	X	mon	1	1	human
ACAA2	4c2k	A	E	hom	1	2	human
YARS	4q93	A	E	hom	1	2	human
DPP3	3t6b	A	E	het	2	2	human
AOX1	4uhx	A	X	hom	1	2	human
LARP4	2cqk	A	U	mon	1	1	human
ARAP3	2kg5	A	X	mon	1	1	human
FBN2	1emo	A	X	mon	1	1	human
KLRG1	3ff7	C	X	het	2	4	human
TUBB8P12	3j1t	C	X	het	3	3	human
