From    To
P61620  53421
Q3URQ0  269536
Q8BKC5  70572
Q9CZP3  72611
Q8R570  67826
Q7TND5  70285
Q9WUP7  56207
Q7TMK9  56403
P53996  12785
Q9QXD8  29806
H3BL41  13196
Q8BP27  67788
A2ADY9  68817
P70227  16440
Q8R323  69263
Q9CQW2  67166
P61164  54130
Q8R5L1  12261
P46460  18195
Q9WUQ2  50907
Q6NV83  67958
P46737  210766
Q8C4J7  213773
E9Q7C1  94112
Q99JY8  67916
P55200  214162
P80313  12468
A2RS43  54216
Q9CYG7  67145
Q8VCB1  72787
Q4VAA2  321022
Q922Q4  69051
Q9Z1D1  53356
Q99KQ4  59027
Q9CQI3  63985
Q60749  20218
Q3U2G2  15525
P24668  17113
P34884  17319
Q8R1B4  56347
Q9CZW5  28185
P17710  15275
Q9DBG3  71770
Q9DBL7  71743
Q922R8  71853
Q08509  13860
Q3U0V1  16549
Q61387  20463
Q8K4L0  71990
A2A5S3  20853
Q9CQ79  98258
P10649  14862
Q8CBM2  65973
O88587  12846
Q3TEA8  15441
P14115  26451
Q9WUA6  23797
D3YWS8  232798
Q9WVJ2  23997
P15626  14863
E9Q912  229877
Q8BWQ6  71517
Q61584  14359
Q8BJZ0  66505
Q3V1T4  56401
Q8CD10  68514
Q9D358  102642088
Q9D358  11431
Q9CQU0  66073
Q64302  17112
Q505F4  64453
D3YXK2  224903
Q9D0B0  108014
P26450  18708
Q8C788  170625
Q3ULL6  68134
Q5FWK3  228359
Q9JM76  56378
Q8JZR0  433256
Q9CPT4  28106
Q9CZX8  20085
P59325  102641436
P59325  217869
Q9CY58  66870
Q61466  83797
Q8BG40  74187
Q9ES46  170736
Q99JW4  110829
Q8CJG0  239528
Q61188  14056
Q80WQ6  217344
E9PU93  23808
P35235  19247
Q8CD15  67014
Q8VDU0  76123
Q99LC3  67273
P70333  56258
Q3UEB4  17855
P08249  17448
Q9JHU4  13424
P97855  27041
D3YYT1  74022
Q810A3  70387
Q9CQ60  66171
P58929  229004
Q9Z0E6  14469
Q8R3N1  75416
O88967  27377
Q80UY1  67383
Q9JKF7  27393
Q8CI51  56376
Q99P72  68585
P81122  384783
G8JL74  230257
Q6DFW4  55989
Q9CZ42  69225
Q8C4B4  106840
Q8BUN5  17127
Q9R1K5  56371
Q9JK48  54673
P33609  18968
Q3UHX2  231887
Q01320  21973
P24288  12035
P10107  16952
Q99JH1  69961
Q99K30  98845
P46061  19387
P10518  17025
Q9JKB3  56449
Q61879  77579
P19096  14104
Q8C570  66679
E9PYJ6  230393
Q99LJ0  80281
E9PWG2  75964
Q6NZM9  208727
P52480  18746
Q923D2  233016
Q6ZQI3  109154
Q04207  19697
Q68FD5  67300
A0A087WS18  76707
Q5DTT3  105203
Q8VCD5  234959
Q4ZGD9  245610
O08599  20910
Q8CI71  73288
O35887  12321
Q9EQC8  94315
Q99JR1  14057
E9PW15  52615
O70251  55949
Q9R1T4  56526
Q9DCD5  105242488
Q9DCD5  74094
P58774  22004
Q640M1  72554
Q8CFI7  231329
Q91YP2  75805
P68040  14694
Q80UY2  74287
Q9JJV2  18645
E9PZP8  235439
P21279  14682
Q8BH86  217830
Q3TCX3  74200
Q5SW19  74148
Q8CGB3  72565
P06745  14751
Q9D892  16434
Q9DBN9  67997
Q8VDD8  68767
Q8R3C0  210711
O35350  12333
Q80UW8  66420
Q9JMH9  360013
Q9JHW2  52633
Q99LB7  192166
E9QAE3  107182
Q8C079  229707
Q8BP43  22003
Q9D483  74414
E9Q175  17920
P18155  17768
P19157  14870
B2RXW8  233977
B1AZI6  331401
E9PZM4  244059
Q80Y14  73046
Q9D8W5  66997
Q3UGC7  78655
Q8VDN4  215707
Q8BVE3  108664
Q8BY89  68682
O08547  20333
Q6P069  109552
Q8R0G9  234865
P26443  14661
Q60597  18293
Q9JM96  56699
O88477  140486
Q9CQA3  67680
Q8CBQ5  67073
F8VQ11  58996
O55201  20924
A2A934  70673
Q9JLV5  26554
Q8BH40  53331
A0A087WNV1  15463
D3Z5I1  78781
Q5U458  230935
Q80YQ2  70208
Q8CCH7  22762
Q9CX34  67955
Q7TSV4  66681
Q9Z1Q9  22321
Q8R1N4  209586
Q06185  11958
O88342  22388
E9PWX8  328329
E9PZ73  21676
Q8BWT1  52538
Q9D024  67163
Q99LE6  27407
P61082  22192
