Gene	Class	PDB chain	Interface size	Seqid	Unique subunits
RPS6	N	4kzy_G	5716.2	100.00	35
RPS7	N	4kzy_H	2630.5	100.00	35
RPS5	N	4kzy_F	4357.9	100.00	35
RPS11	N	4kzy_L	4332.7	100.00	35
RPS13	N	4kzy_N	4355.8	100.00	35
RPS15A	N	4kzy_W	4634.7	100.00	35
RPS14	N	4kzy_O	4736.8	100.00	35
RPS25	N	4kzy_Z	1431.1	100.00	35
RPS27A	N	4kzy_f	1953.4	100.00	35
RPS28	N	4kzy_c	1761.7	100.00	35
RPS2	N	4d5l_C	4712.9	100.00	33
RPS3A	N	4d5l_B	2996.3	100.00	33
RPS8	N	4d5l_I	5191.4	100.00	33
RPS3	N	4d5l_D	4078.8	100.00	33
RPS19	N	4d5l_T	3634.4	100.00	33
RPS26	N	4d5l_a	4021.3	100.00	33
PSMA1	N	4r3o_F	3641.7	100.00	14
PSMA5	N	3unb_D	3840.1	100.00	14
PSMB4	N	4r3o_2	4090.8	100.00	14
PSMB1	N	4r3o_1	3996.3	100.00	14
SBDS	N	5anb_J	4612.2	100.00	11
SNRPB	N	4pjo_B	2258.3	100.00	9
POLR2A	N	4gwq_H	748.9	100.00	8
NCKAP1	N	4n78_B	9545.5	100.00	6
AP2B1	N	2xa7_B	6115.5	100.00	5
RPL17	N	5a8l_D	713	100.00	5
RPL4	N	5a8l_H	107.6	100.00	5
ITGAV	N	4o02_A	4054.8	100.00	4
PPP3R1	N	1m63_B	2659.2	100.00	4
KDM1A	N	2v1d_A	4029.9	100.00	3
INTS3	N	4owt_A	2064.4	100.00	3
ITGA5	N	4wk4_A	2746.3	100.00	3
PLAUR	N	4qti_U	714.7	100.00	3
DYNC1H1	N	3j1t_A	919.5	100.00	3
ATP1B1	N	3b8e_B	1148	100.00	3
HDAC1	N	4bkx_B	2850.4	100.00	2
PDHB	N	3exe_B	5769.2	100.00	2
RQCD1	N	4ct7_B	1888.8	100.00	2
COL4A2	N	1li1_C	5910.6	100.00	2
RPL11	N	4xxb_A	1124.7	100.00	2
FN1	N	1o9a_A	1087.2	100.00	2
DLG1	N	2i0i_A	314.1	100.00	2
GPS2	N	2l5g_A	981.5	100.00	2
DIAPH1	N	2f31_B	807.7	100.00	2
NCOR2	N	1kkq_E	996.1	100.00	2
MARCKS	N	1iwq_B	1418.5	100.00	2
PFKM	N	4omt_A	763.9	100.00	1
GPI	N	1iri_A	6627.2	100.00	1
ACADVL	N	3b96_A	5858.1	100.00	1
PRCP	N	3n2z_B	2463.6	100.00	1
CNDP2	N	4ruh_A	3970.6	100.00	1
ROCK2	N	4wot_A	2328.6	100.00	1
IVD	N	1ivh_A	4460.7	100.00	1
ADH5	N	1m6h_A	1800.4	100.00	1
DSP	N	1lm7_A	901.3	100.00	1
FTH1	N	3ajo_A	3953	100.00	1
GABARAPL2	N	1eo6_A	954.9	100.00	1
SSBP1	N	1s3o_A	1511	100.00	1
PTRF	N	4qkv_A	3044.1	100.00	1
HEXB	N	3lmy_A	1872.5	99.82	1
MSH6	N	2o8e_B	4436.8	99.80	2
HK2	N	2nzt_A	2087.7	99.78	1
DDB1	N	2hye_A	3486.3	99.74	4
HIBADH	N	2gf2_A	2463.8	99.66	1
ACAT1	N	2ibu_A	3901.3	99.49	1
ITGA2	N	1dzi_A	576.6	99.46	2
AP2S1	N	2xa7_S	3225.4	99.30	5
MYL9	N	3j04_B	1846.8	99.30	3
AP1M1	N	4p6z_M	5266.7	99.29	6
BCAT1	N	2coj_A	2674.9	99.22	1
NT5E	N	4h1s_A	1440.9	99.06	1
CTNNBL1	N	4mfv_A	925	99.06	1
FARSA	N	3l4g_A	6221.1	99.02	2
ANAPC5	N	4ui9_O	11334.4	98.94	18
ATP5B	N	2xnd_D	6210.3	98.93	6
PNPT1	N	3u1k_A	4413.7	98.89	1
RNPS1	N	4a8x_A	1157.1	98.86	3
COPS6	N	4d18_F	9752.7	98.79	8
SMC4	N	4u4p_B	1947.2	98.79	2
CD44	N	4pz3_A	1123.4	98.69	2
POLR2E	N	5flm_E	2662.8	98.57	12
CCT3	N	4b2t_G	3006.4	98.53	8
RPS24	N	4d5l_Y	3180.5	98.50	33
RPS4X	N	4kzy_E	5067.9	98.48	35
EIF3C	N	5a5t_C	5461	98.34	8
IGF2R	N	2v5p_A	1061.6	98.17	2
CCT7	N	4b2t_H	3556	98.16	8
NRP1	N	2qqn_A	406.7	98.11	3
ARPC5	N	4jd2_G	2172.5	98.01	8
SNU13	N	3siv_A	1140.1	97.69	2
SDHB	N	3sfe_B	5019.9	97.62	4
CCT5	N	4b2t_E	3330.7	97.41	8
ADSL	N	4ffx_A	7762.1	97.33	1
CCT6A	N	4b2t_Z	2881.2	97.18	8
RPL8	N	4ccn_C	804.6	97.14	2
SDHA	N	1zoy_A	3105.3	96.30	4
AP3M1	N	4ikn_A	384.4	95.79	2
PPT1	N	3gro_A	1074.3	95.64	1
LIG3	N	3qvg_A	961.5	95.51	2
RPL27A	N	4bxf_C	848.5	94.74	2
ATP5D	N	2xnd_H	2661.5	94.66	6
TUBG1	N	3cb2_A	1742.4	94.53	1
BCKDK	N	3tz5_A	929.2	94.26	1
FAHD1	N	1saw_A	1365.9	93.78	1
PYCR1	N	2izz_A	6105.3	93.48	1
PRPF40A	N	2dyf_A	259	93.33	2
RPS20	N	4kzy_U	2743.5	93.28	35
GNAS	N	1u0h_C	1219.1	92.39	3
MRPL13	N	4ce4_N	3161.5	92.13	35
RPS10	N	4kzy_K	1977.1	92.12	35
ATP5C1	N	2w6h_G	4399	91.95	5
MRPL17	N	4ce4_R	2242.9	91.72	35
ECHS1	N	2hw5_A	5519	91.61	1
SMARCA5	N	2nog_A	688.2	90.75	1
MRPS14	N	5aj3_N	5898.3	90.62	33
UQCRC1	N	1be3_A	4948.5	90.36	11
UQCRC2	N	1sqb_B	5454.3	89.40	11
MRPL24	N	4ce4_Y	867.5	89.35	35
SUCLG2	N	4xx0_B	2409.6	88.35	2
ATP5H	N	2wss_U	1143.1	88.14	9
COL8A1	N	1o91_A	2210.7	87.64	1
MRPL14	N	4ce4_O	2310.3	86.90	35
MRPL49	N	4ce4_l	1245.6	86.75	35
MRPL3	N	4v19_E	7432.3	86.21	28
CDK2AP1	N	2kw6_A	1457	86.15	1
MYL6	N	1i84_T	2042.7	86.00	3
COX5B	N	1occ_F	2887.7	85.71	13
MRPL19	N	4ce4_T	1676.1	85.27	35
DAP3	N	5aj3_g	3678.6	84.89	33
COX6B1	N	2y69_H	1334.1	84.88	13
EXOSC9	N	2nn6_A	4427.4	84.36	9
MRPL28	N	4ce4_1	1473.5	83.98	35
MYL1	N	2w4g_C	2789.1	82.76	3
EIF3F	N	5a5t_F	8301.4	81.04	8
RPS17	N	4kzy_R	3181.4	80.74	35
RPL23	N	2x7n_C	1311.4	79.55	3
MRPS7	N	5aj3_G	5304.8	79.34	33
CDH13	N	3k5s_A	1020.5	78.80	1
DRAP1	N	1jfi_A	2376.8	78.57	3
MRPS2	N	5aj3_B	5002	76.47	33
ATP5J	N	4b2q_V	2351.8	75.76	10
RPS21	N	4d5l_V	3188.4	74.70	33
AHR	N	4m4x_A	955.8	74.33	1
PSMD14	N	4ocl_B	2492.3	73.18	3
RPL30	N	1ysh_C	1031	73.08	3
RPS12	U	4kzy_M	1125.4	100.00	35
RPSA	U	4d5l_A	3631.9	100.00	33
PSMA4	U	4r3o_C	4116.5	100.00	14
PSMA3	U	1iru_G	3578.9	100.00	14
PSMA7	U	4r3o_D	3569.5	100.00	14
PSMB2	U	1iru_K	3877.4	100.00	14
PSMB5	U	1iru_L	3283.6	100.00	14
PSMB6	U	1iru_H	3902.2	100.00	14
SEC61B	U	2wwb_C	1311.8	100.00	11
SNRPD2	U	4pjo_D	3521.1	100.00	9
SNRPE	U	4pjo_E	2113	100.00	9
EIF3E	U	5a5t_E	3330.6	100.00	8
ACTR3	U	4jd2_A	4156.3	100.00	8
EIF3M	U	5a5t_M	3589.5	100.00	8
ARPC3	U	3rse_E	920.5	100.00	8
SRP54	U	2go5_W	724.9	100.00	7
CYFIP1	U	4n78_A	13228.7	100.00	6
MTOR	U	5flc_B	3022.1	100.00	6
HIST2H3A	U	2f8n_A	5011.5	100.00	6
SRP14	U	1ry1_D	2014.8	100.00	6
NCSTN	U	5fn3_A	2671.4	100.00	5
AP2M1	U	2jkr_M	5671.6	100.00	5
SYT1	U	5cci_E	1284.9	100.00	5
RPL12	U	5a8l_G	1545.3	100.00	5
SKP1	U	1ldk_D	1355.9	100.00	5
CASC3	U	2xb2_S	2612.7	100.00	5
XPO1	U	5dis_A	6811.6	100.00	4
CUL4A	U	2hye_C	4354.5	100.00	4
PPP2R1A	U	2nyl_A	1853.5	100.00	4
TUBB2B	U	4o4i_B	4162.4	100.00	4
EIF4A3	U	2j0s_A	4205.2	100.00	4
GNB1	U	3ah8_B	3010	100.00	4
F3	U	1fak_T	1577.7	100.00	4
SUMO1	U	3uip_B	1299.2	100.00	4
CKS1B	U	2ast_C	1284.9	100.00	4
MCM2	U	5bnx_C	2053.7	100.00	4
GTF2A1	U	1nvp_B	1015	100.00	4
XPO5	U	3a6p_A	3983	100.00	3
NCBP1	U	3fey_A	2918.2	100.00	3
PRMT5	U	4gqb_A	6160.3	100.00	3
EGFR	U	4uv7_A	1382.5	100.00	3
CTNNB1	U	1t08_A	1481.5	100.00	3
JMJD6	U	3ld8_A	2179.6	100.00	3
KIF5B	U	2p4n_K	1986.2	100.00	3
SAE1	U	1y8r_A	2469.6	100.00	3
CDK2	U	1okw_A	1680.6	100.00	3
ETFA	U	2a1t_R	3642.5	100.00	3
HUS1	U	3g65_C	1431.5	100.00	3
CTSD	U	1lyb_B	4577.4	100.00	3
SEPT2	U	2qag_A	1659	100.00	3
VPS25	U	3cuq_C	1072.6	100.00	3
RANGAP1	U	2iy0_C	574.1	100.00	3
IL1B	U	4g6m_A	849.3	100.00	3
RPA2	U	1l1o_B	2177.2	100.00	3
RUNX1	U	1io4_C	1894.4	100.00	3
TGFB2	U	4kxz_A	2368.4	100.00	3
NFKB1	U	1nfi_B	1241.2	100.00	3
PRNP	U	2w9e_A	962.8	100.00	3
S100A13	U	2ki6_C	1694.5	100.00	3
S100A10	U	4ftg_A	2555.3	100.00	3
FLNA	U	2mtp_A	1089.8	100.00	3
PSIP1	U	3u88_C	1119	100.00	3
AIMP1	U	4r3z_A	1654.2	100.00	3
JUN	U	1s9k_E	1867	100.00	3
INCENP	U	2qfa_C	1688.8	100.00	3
DYNC1I2	U	2pg1_I	1912.2	100.00	3
CD2AP	U	3aa6_C	1479.1	100.00	3
WASF2	U	2a40_C	857.3	100.00	3
HNRNPC	U	3ln4_C	978.7	100.00	3
STAG2	U	4pjw_A	3375.7	100.00	2
MSH2	U	3thw_A	4921.8	100.00	2
TNPO1	U	4fq3_A	1107.6	100.00	2
PYGL	U	2qll_A	2805.2	100.00	2
XRCC6	U	1jeq_A	9517.4	100.00	2
XRCC5	U	1jey_B	10184.7	100.00	2
