Gene	Class	PDB chain	Interface size	Seqid	Unique subunits
Rps3	N	4kzy_D	4396.5	100.00	35
Rps7	N	4kzy_H	2630.5	100.00	35
Rps13	N	4kzy_N	4355.8	100.00	35
Rps16	N	4kzy_Q	4173	100.00	35
Rps15a	N	4kzy_W	4634.7	100.00	35
Rps17	N	4kzy_R	3181.4	100.00	35
Rps14	N	4kzy_O	4736.8	100.00	35
Rps20	N	4kzy_U	2743.5	100.00	35
Rps25	N	4kzy_Z	1431.1	100.00	35
Rps28	N	4kzy_c	1761.7	100.00	35
Psma4	N	3unb_B	4299.5	100.00	14
Psma6	N	3une_G	3778	100.00	14
Psmb3	N	3unb_I	4735.8	100.00	14
Cox5a	N	1occ_E	2405.7	100.00	13
Snrpd3	N	4pjo_A	3167	100.00	9
Ap2b1	N	2xa7_B	6115.5	100.00	5
H2-D1	N	3pqy_A	2403.3	100.00	5
Dync1h1	N	3j1t_A	919.5	100.00	3
Hspa8	N	3c7n_B	3389.9	100.00	2
Rqcd1	N	4ct7_B	1888.8	100.00	2
Rpl11	N	4xxb_A	1124.7	100.00	2
Ptbp1	N	3zzz_A	490.3	100.00	2
Asap1	N	2rqu_A	660.1	100.00	2
Myo5a	N	2ix7_C	3115.2	100.00	2
Mkl1	N	2v52_M	1109.8	100.00	2
Fen1	N	1u7b_B	785.9	100.00	2
Cd44	N	2zpy_B	572.5	100.00	2
Aifm1	N	3gd4_A	1521.6	100.00	1
Tyms	N	4eb4_A	3096.8	100.00	1
Rrm2	N	1h0n_A	1760.9	100.00	1
Ptrf	N	4qkv_A	3044.1	100.00	1
Kdm1a	N	2v1d_A	4029.9	99.86	3
Polr2b	N	5flm_B	16321.4	99.83	12
Gpi1	N	2cvp_A	6739	99.64	1
Snrnp200	N	4kit_B	3040.5	99.60	2
Psma2	N	3une_A	4093.2	99.57	14
Eif3m	N	5a5t_M	3589.5	99.47	8
Rpl17	N	5a8l_D	713	99.46	5
Ilf2	N	4at7_A	2260.5	99.45	2
Ddb1	N	2hye_A	3486.3	99.39	4
Nckap1	N	4n78_B	9545.5	99.38	6
Hdac1	N	4bkx_B	2850.4	99.38	2
Prpf8	N	3lru_A	3298.5	99.38	1
Copz1	N	3tjz_C	2021.4	99.35	3
Prkag1	N	4rew_G	3108.6	99.34	3
Cwc22	N	4c9b_B	1832	99.31	2
Rps3a1	N	4d5l_B	2996.3	99.24	33
Atp5b	N	1mab_B	6445	99.16	3
Uba3	N	3gzn_B	4891.6	99.14	3
Cyfip1	N	4n78_A	13228.7	99.04	6
Rps5	N	4kzy_F	4357.9	99.02	35
Glud1	N	1l1f_A	5037.8	98.81	1
Rps10	N	4kzy_K	1977.1	98.79	35
Cks2	N	1cks_A	3778.7	98.73	1
Eif3k	N	5a5t_K	2591.5	98.62	8
Pdcd10	N	3rqf_A	3076.2	98.60	2
Rbpj	N	4j2x_A	2064.7	98.59	2
Ehd2	N	2qpt_A	2959.2	98.55	1
Ranbp2	N	1rrp_B	2306.6	98.51	2
Gtf2f1	N	2k7l_A	489.8	98.51	2
Ywhab	N	4dnk_A	1495.7	98.38	1
Eif3l	N	5a5t_L	4071.6	98.23	8
Polr2e	N	5flm_E	2662.8	98.10	12
Nnt	N	1djl_A	600.3	98.07	1
Copg1	N	3tjz_B	2852.9	98.03	3
Ncbp1	N	3fey_A	2918.2	97.97	3
Fn1	N	2mnu_A	693.8	97.85	2
Pfkm	N	4omt_A	763.9	97.82	1
Cct3	N	4b2t_G	3006.4	97.43	8
Cct2	N	4b2t_B	2678.6	97.38	8
Anapc7	N	4ui9_X	4608.3	97.35	18
Pcna	N	4ztd_A	2161.9	97.23	3
Eif3h	N	5a5t_H	6403.2	97.16	8
Psmb6	N	4r3o_H	4018.7	97.03	14
Pgam5	N	3o0t_A	1649.3	97.03	1
Sars	N	4l87_A	3380	96.85	1
Eif3c	N	5a5t_C	5461	96.80	8
Hprt	N	1bzy_A	2897.7	96.77	1
Scp2	N	2c0l_B	1102	96.72	2
Cyth2	N	1s9d_E	1309.6	96.55	2
Psmb5	N	4r3o_L	3269.9	96.52	14
Cct7	N	4b2t_H	3556	96.32	8
Cops6	N	4d18_F	9752.7	96.07	8
Ash2l	N	4x8n_A	399.2	95.58	2
Cct5	N	4b2t_E	3330.7	95.56	8
Arpc1b	N	3rse_C	1866.3	95.43	8
Tkt	N	3mos_A	4686.5	94.97	1
Epha2	N	3hei_A	1053.2	94.83	2
Khdrbs1	N	3qhe_B	986.8	94.55	2
Exosc4	N	2nn6_B	3311	94.38	9
Suclg1	N	2fp4_A	2045	93.77	2
Top2b	N	3qx3_A	3580.6	93.65	1
Dhx9	N	3llm_A	972	93.62	1
Cdk4	N	3g33_A	1108	93.18	2
Atp5d	N	2xnd_H	2661.5	93.13	6
Nup107	N	3cqg_A	1184.9	93.09	2
Ccnb1	N	2jgz_B	1488.6	93.08	2
Hibadh	N	2gf2_A	2463.8	92.91	1
Etfb	N	1t9g_S	2919.1	92.16	3
Mrpl13	N	4ce4_N	3161.5	92.13	35
Rpa1	N	1fgu_A	469.7	92.06	1
Gnas	N	1u0h_C	1219.1	91.88	3
Cox6b1	N	2y69_H	1334.1	91.86	13
Fh1	N	3e04_A	7143.2	91.84	1
Fth1	N	4oyn_A	4555.2	91.80	1
Cat	N	3re8_A	11031.4	91.78	1
S100a10	N	4ftg_A	2555.3	91.67	3
Sec24d	N	3efo_B	1122.7	91.56	3
Itga5	N	4wk4_A	2746.3	91.56	3
Parvb	N	4edn_A	441.7	90.98	2
Prim1	N	4rr2_A	814.4	90.48	2
Ctsa	N	4az3_B	4395	90.32	2
Tpst2	N	3ap2_A	2424	89.61	2
Cyp51	N	3juv_A	1015.6	89.59	1
Ptgs1	N	1q4g_A	4961.2	89.51	1
Wdr77	N	4gqb_B	2070.7	88.95	3
Msh6	N	2o8e_B	4436.8	88.65	2
Mrps25	N	5aj3_c	4484.7	87.86	33
Xpo5	N	3a6p_A	3983	87.71	3
Uqcrc1	N	1be3_A	4948.5	87.67	11
Mrpl38	N	4ce4_b	785.4	87.63	35
Brcc3	N	5cw6_A	1119.5	87.40	1
Psat1	N	3e77_A	2264.1	87.27	1
Acadvl	N	3b96_A	5858.1	86.88	1
Atp5f1	N	4b2q_T	4989.7	86.82	10
Pitrm1	N	4nge_A	1245.6	86.69	3
Fasn	N	4w9n_A	1388.6	85.84	1
Mpp1	N	2ejy_A	427.6	85.57	2
Uqcrc2	N	1sqb_B	5454.3	84.77	11
Pola1	N	4y97_B	1801	84.44	2
Mrps7	N	3j6v_G	3217.5	84.30	15
Sgpl1	N	4q6r_A	7212.9	84.15	1
Mrpl3	N	4v19_E	7432.3	83.62	28
Atp5j	N	4b2q_V	2351.8	83.33	10
Acaa1a	N	2iik_A	2565.5	82.78	1
Uqcrq	N	4d6t_G	4068	81.71	9
Atp6v1a	N	1um2_C	391	80.95	2
Cd81	N	1iv5_A	921.6	80.00	1
Rpl23	N	2x7n_C	1311.4	79.55	3
Mrpl39	N	4ce4_c	1525	79.07	35
Tfrc	N	1de4_C	4108.4	77.97	3
Psmc2	N	3vlf_B	978.3	77.27	2
Dap3	N	5aj3_g	3678.6	76.83	33
Eif3f	N	5a5t_F	8301.4	76.10	8
Mrps11	N	3j6v_K	4426.1	75.63	15
Uhrf1	N	2lgg_A	749.4	73.91	2
Mcm3ap	N	4dhx_A	2981.8	73.33	2
Psmd14	N	4ocl_B	2492.3	73.18	3
Rpl30	N	1ysh_C	1031	73.08	3
Mcm2	N	5bnx_C	2053.7	71.43	4
Gnb2l1	U	4kzy_g	1445.8	100.00	35
Rps23	U	4kzy_X	4354.3	100.00	35
Rps12	U	4kzy_M	1125.4	100.00	35
Rps24	U	4d5l_Y	3180.5	100.00	33
Rps15	U	4d5l_P	2388.9	100.00	33
Psma1	U	3unb_E	3685.8	100.00	14
Psma5	U	3unb_D	3840.1	100.00	14
Psmb1	U	3unf_L	4173.9	100.00	14
Psmb10	U	3unf_H	5238.4	100.00	14
Psmb2	U	3unb_J	3604	100.00	14
Polr2g	U	5flm_G	2483.6	100.00	12
Snrpd2	U	4pjo_D	3521.1	100.00	9
Snrpb	U	4pjo_B	2258.3	100.00	9
Eif3e	U	5a5t_E	3330.6	100.00	8
Arpc4	U	3rse_F	5380.3	100.00	8
Polr2a	U	4gwq_H	748.9	100.00	8
Hist1h3b	U	2f8n_A	5011.5	100.00	6
Ppp2r1a	U	3fga_A	2769.2	100.00	5
Tubb2b	U	4o4i_B	4162.4	100.00	4
Gnb1	U	3ah8_B	3010	100.00	4
Magoh	U	2hyi_A	2990.4	100.00	4
Sumo2	U	3uio_B	1167.2	100.00	4
H3f3a	U	5bnx_A	3653.3	100.00	4
Tuba1a	U	4x1i_A	3123.9	100.00	3
Anxa2	U	4hre_A	1192.6	100.00	3
Prkaca	U	3j4r_D	1648.1	100.00	3
Dnm1	U	2aka_B	955.4	100.00	3
Rela	U	1ikn_A	1860.1	100.00	3
Rnaseh2a	U	3p5j_A	2230.9	100.00	3
Cbfb	U	3wtx_B	1159.6	100.00	3
Nfyc	U	4awl_C	3049.3	100.00	3
Jun	U	1s9k_E	1867	100.00	3
Dync1i2	U	2pg1_I	1912.2	100.00	3
Ube2m	U	1tt5_E	842.5	100.00	3
Plxna1	U	3ryt_A	543.4	100.00	2
Gm10184	U	3knd_A	1310.1	100.00	2
Rbbp4	U	4pc0_A	984.8	100.00	2
Gphn	U	2fts_A	4150.6	100.00	2
Gnaq	U	4gnk_A	1857.5	100.00	2
Flrt2	U	4v2c_A	661.9	100.00	2
Keap1	U	1x2r_A	964.5	100.00	2
Tln1	U	4w8p_A	749.3	100.00	2
Ccna2	U	4i3z_B	1698.8	100.00	2
Ctnna1	U	1dow_A	1259.2	100.00	2
Eif4e	U	1ej4_A	867.9	100.00	2
Ist1	U	3jc1_Aa	2193.1	100.00	2
Ppic	U	2rmc_A	450.7	100.00	2
Rnd3	U	2v55_B	1059.2	100.00	2
Rab7	U	1vg9_B	1460.2	100.00	2
Arl1	U	1r4a_A	1077.4	100.00	2
Smc2	U	3l51_A	1081.4	100.00	2
Parva	U	2k2r_A	342.9	100.00	2
Brd2	U	2dvq_A	1707.2	100.00	2
Enah	U	1evh_A	319.7	100.00	2
Mtor	U	1fap_B	714.4	100.00	2
Rnf2	U	2h0d_B	2295.6	100.00	2
Ep300	U	1l3e_B	1523	100.00	2
Sin3a	U	1g1e_B	684.2	100.00	2
Eny2	U	4dhx_B	1420.2	100.00	2
Dynll1	U	1f95_A	1423.8	100.00	2
Csk	U	1jeg_A	565.5	100.00	2
Cask	U	1zl8_B	1049.3	100.00	2
Cbx3	U	3dm1_A	525.8	100.00	2
Naca	U	3mcb_A	1145.2	100.00	2
Sf3b1	U	2f9d_P	1404.6	100.00	2
Yap1	U	3jua_B	1358.2	100.00	2
Bak1	U	2voh_B	1032.5	100.00	2
Fblim1	U	2k9u_B	613.6	100.00	2
Mta1	U	4pbz_B	948.4	100.00	2
Slc9a3r1	U	2d10_E	922.9	100.00	2
Marcks	U	1iwq_B	1418.5	100.00	2
Nek9	U	5de2_C	837.6	100.00	2
Pogz	U	2n3a_A	444.2	100.00	2
Rbm39	U	4oo6_B	682.8	100.00	2
Sri	U	4usl_D	473.7	100.00	2
Cstf3	U	2ond_A	2737.8	100.00	1
Csnk1d	U	1ckj_A	1100.1	100.00	1
Pitpna	U	1kcm_A	1493.2	100.00	1
Picalm	U	1hf8_A	1009.9	100.00	1
Cops5	U	4f7o_A	1157.6	100.00	1
Pih1d1	U	4cv4_A	1210.6	100.00	1
Brd4	U	2dww_A	716.3	100.00	1
Sptbn1	U	1btn_A	781.1	100.00	1
Nfkb2	U	3jv5_A	711.6	100.00	1
Eps8	U	1aoj_A	1976.8	100.00	1
Prkcd	U	1ptq_A	321.7	100.00	1
Sema3a	U	1q47_A	1613.5	99.80	1
Cltc	U	1bpo_A	1752.9	99.80	1
Sec61a1	U	2wwb_A	3698.6	99.79	11
Tjp1	U	3shw_A	399.1	99.79	2
Shmt1	U	1eji_A	6296.7	99.79	1
Ppp2r2a	U	3dw8_B	2045.8	99.78	4
Tubb2a	U	4hna_B	2871.6	99.78	4
Ruvbl1	U	2c9o_A	3821.9	99.78	1
Actr3	U	4jd2_A	4156.3	99.76	8
Eif4a1	U	2zu6_A	1968.4	99.74	2
Arnt	U	4zpk_A	4816.3	99.74	2
Hdac3	U	4a69_A	1473.5	99.73	2
Alad	U	2z1b_A	1549.3	99.70	1
Ap2a2	U	2jkr_A	6217	99.68	5
Tnpo1	U	4fq3_A	1107.6	99.66	2
Stub1	U	2c2l_A	727.9	99.64	2
Spr	U	1sep_A	2587.1	99.62	1
Ctnna2	U	4ons_A	2128.6	99.60	2
Fanci	U	3s4w_A	3344.4	99.54	2
Stag2	U	4pjw_A	3375.7	99.49	2
Mkln1	U	4oyu_A	1312.7	99.49	1
Cbl	U	1fbv_A	1727.1	99.48	3
Rab5a	U	4q9u_B	1154.8	99.42	3
Cdk13	U	5efq_A	1351.6	99.42	2
Uxs1	U	4gll_A	2039	99.41	1
Vta1	U	2lxm_A	1232.5	99.40	2
Rpl12	U	5a8l_G	1545.3	99.39	5
Skp1a	U	4i6j_C	1601.8	99.39	3
Plxnb2	U	5e6p_A	812	99.36	2
Rpsa	U	4kzy_A	3123.5	99.32	35
Ahcyl1	U	3mtg_A	4544.8	99.32	1
Rad21	U	4pjw_B	3837	99.29	2
Pik3r1	U	4ovu_B	3622.9	99.28	2
Rprd1b	U	4fu3_A	2656.5	99.26	1
Pspc1	U	3sde_A	4814.8	99.23	2
H2afy	U	2f8n_G	4569	99.17	6
Gtf2f2	U	1f3u_A	2337.9	99.15	2
Usp4	U	3jyu_A	1225.8	99.13	1
