A0A067XG53	ENSMUSP00000111098
A0A087WNV1	ENSMUSP00000140473
A0A087WPF8	ENSMUSP00000038755
A0A087WPH7	ENSMUSP00000002171
A0A087WQ11	ENSMUSP00000094225
A0A087WQB0	ENSMUSP00000082346
A0A087WQB0	ENSMUSP00000140118
A0A087WQE6	ENSMUSP00000139480
A0A087WQN7	ENSMUSP00000034981
A0A087WQQ5	ENSMUSP00000022391
A0A087WR75	ENSMUSP00000032335
A0A087WS18	ENSMUSP00000140019
A1L341	ENSMUSP00000023614
A2A3Z2	ENSMUSP00000049983
A2A3Z2	ENSMUSP00000118993
A2A432	ENSMUSP00000059276
A2A485	ENSMUSP00000104892
A2A4A1	ENSMUSP00000099615
A2A4A6	ENSMUSP00000099404
A2A4P0	ENSMUSP00000037251
A2A4Z1	ENSMUSP00000085581
A2A5K6	ENSMUSP00000038298
A2A5R2	ENSMUSP00000096677
A2A5S3	ENSMUSP00000104861
A2A5V4	ENSMUSP00000001226
A2A6A1	ENSMUSP00000120649
A2A6Q5-2	ENSMUSP00000102575
A2A6T1	ENSMUSP00000052096
A2A7B5	ENSMUSP00000101404
A2A7T8	ENSMUSP00000050669
A2A8E2	ENSMUSP00000119565
A2A934	ENSMUSP00000101263
A2A9I0	ENSMUSP00000021329
A2A9K3	ENSMUSP00000039889
A2AAY5	ENSMUSP00000044276
A2ABV5	ENSMUSP00000094239
A2ABY3	ENSMUSP00000026129
A2ACG7	ENSMUSP00000112081
A2ACV5	ENSMUSP00000099418
A2ADB1	ENSMUSP00000101412
A2ADE0	ENSMUSP00000081221
A2ADR8	ENSMUSP00000030702
A2ADY9	ENSMUSP00000136018
A2AEE4	ENSMUSP00000088049
A2AF47	ENSMUSP00000033419
A2AGH8	ENSMUSP00000085260
A2AH22-2	ENSMUSP00000049258
A2AHC3	ENSMUSP00000109804
A2AIV2	ENSMUSP00000103943
A2AJ15	ENSMUSP00000036996
A2AJ72	ENSMUSP00000053474
A2AJI0	ENSMUSP00000054338
A2AKH7	ENSMUSP00000099554
A2AKH7	ENSMUSP00000121638
A2ALB2	ENSMUSP00000070815
A2ALB2	ENSMUSP00000109653
A2ALR9	ENSMUSP00000055016
A2ALR9	ENSMUSP00000101466
A2AM29	ENSMUSP00000077232
A2AMY5	ENSMUSP00000030143
A2AN08-3	ENSMUSP00000095433
A2AN61	ENSMUSP00000048428
A2APB8	ENSMUSP00000028969
A2AQ19	ENSMUSP00000028767
A2AQA7	ENSMUSP00000047157
A2AQJ7	ENSMUSP00000087500
A2AR02	ENSMUSP00000045945
A2AS05	ENSMUSP00000091756
A2ASZ8	ENSMUSP00000028160
A2ASZ8	ENSMUSP00000060581
A2ASZ8	ENSMUSP00000108932
A2ASZ8	ENSMUSP00000108933
A2ASZ8	ENSMUSP00000108936
A2AT37	ENSMUSP00000058375
A2AUF7	ENSMUSP00000122360
A2AV19	ENSMUSP00000043519
A2AVJ7	ENSMUSP00000016072
A2AW05	ENSMUSP00000076971
A2AWA9	ENSMUSP00000061624
A2AWP8-3	ENSMUSP00000101425
A2AWT6	ENSMUSP00000078539
A2BDX0	ENSMUSP00000056809
A2BDX3	ENSMUSP00000096670
A2BE28-2	ENSMUSP00000109495
A2BE93	ENSMUSP00000099930
A2BG75	ENSMUSP00000052863
A2BGI8	ENSMUSP00000101924
A2BH40-3	ENSMUSP00000122354
A2CG63-2	ENSMUSP00000106163
A2CG76	ENSMUSP00000013931
A2RS43	ENSMUSP00000142319
A2RSJ4	ENSMUSP00000020112
A2RSY1-3	ENSMUSP00000140597
A2RSY6	ENSMUSP00000068309
A3KFU5	ENSMUSP00000079070
A3KGB4	ENSMUSP00000094036
A3KGG8	ENSMUSP00000115860
A3KGR9	ENSMUSP00000078236
A3KMF4	ENSMUSP00000031256
A3KMF4	ENSMUSP00000059744
A4QPD3	ENSMUSP00000099928
A6H5Y3	ENSMUSP00000097442
A6H5Z3	ENSMUSP00000125312
A6H8H2	ENSMUSP00000080685
A6X8Z5	ENSMUSP00000023487
A8C756	ENSMUSP00000041701
A8Y5J3	ENSMUSP00000030901
B0R030	ENSMUSP00000112138
B0R077	ENSMUSP00000068197
B0R077	ENSMUSP00000112475
B0R091	ENSMUSP00000014221
B1AQJ2	ENSMUSP00000090036
B1ARD6	ENSMUSP00000044435
B1ARM8	ENSMUSP00000059159
B1ARW4	ENSMUSP00000030401
B1ARW4	ENSMUSP00000123236
B1ASP2	ENSMUSP00000099842
B1ASU9	ENSMUSP00000102554
B1AT82	ENSMUSP00000101999
B1ATD5	ENSMUSP00000122422
B1ATZ0	ENSMUSP00000026900
B1AU25	ENSMUSP00000041104
B1AU75	ENSMUSP00000030456
B1AUN3	ENSMUSP00000102056
B1AUR6-2	ENSMUSP00000103857
B1AUY7	ENSMUSP00000033763
B1AVZ0	ENSMUSP00000085175
B1AW21	ENSMUSP00000033700
B1AWE0	ENSMUSP00000103483
B1AWL2	ENSMUSP00000095677
B1AXD8	ENSMUSP00000081322
B1AXZ6	ENSMUSP00000102735
B1AY10	ENSMUSP00000095747
B1AY13	ENSMUSP00000133095
B1AZI6	ENSMUSP00000044677
B2LVG5	ENSMUSP00000124899
B2LVG5	ENSMUSP00000125019
B2RQ57	ENSMUSP00000027888
B2RQC6	ENSMUSP00000013773
B2RRE7	ENSMUSP00000133939
B2RRI2	ENSMUSP00000066808
B2RS91	ENSMUSP00000023363
B2RUJ2	ENSMUSP00000140536
B2RUR8	ENSMUSP00000046413
B2RWS6	ENSMUSP00000066789
B2RX14	ENSMUSP00000095538
B2RX31	ENSMUSP00000091664
B2RXC1	ENSMUSP00000047562
B2RXC6	ENSMUSP00000026322
B2RXS4	ENSMUSP00000051731
B2RXW8	ENSMUSP00000138312
B2RY56	ENSMUSP00000048470
B7FAU9	ENSMUSP00000033699
B7ZCV4	ENSMUSP00000028137
B7ZNP0	ENSMUSP00000140443
B7ZP47	ENSMUSP00000040232
B9EHJ3	ENSMUSP00000099652
B9EI21	ENSMUSP00000029199
B9EJ54	ENSMUSP00000144126
B9EJR8	ENSMUSP00000026975
B9EKS2	ENSMUSP00000037628
D3YTQ9	ENSMUSP00000069004
D3YU12	ENSMUSP00000078132
D3YU17	ENSMUSP00000020463
D3YU58	ENSMUSP00000031422
D3YU96	ENSMUSP00000103356
D3YUC9	ENSMUSP00000089781
D3YUG5	ENSMUSP00000105207
D3YUM1	ENSMUSP00000042967
D3YUM6	ENSMUSP00000015797
D3YUS5	ENSMUSP00000077423
D3YUW8	ENSMUSP00000102891
D3YV16	ENSMUSP00000032879
D3YV16	ENSMUSP00000102797
D3YVW2	ENSMUSP00000114006
D3YVZ9	ENSMUSP00000066990
D3YVZ9	ENSMUSP00000117821
D3YW48	ENSMUSP00000001845
D3YWC2	ENSMUSP00000031351
D3YWG1	ENSMUSP00000095927
D3YWG2	ENSMUSP00000130360
D3YWS8	ENSMUSP00000112428
D3YWT0	ENSMUSP00000112944
D3YWT1	ENSMUSP00000020263
D3YWX2	ENSMUSP00000021670
