mouse human
Q8K354 O75828
P62627 Q9NP97
Q8BK64 O95433
P61327 P61326
Q9CPS7 Q9NRX1
P97329 O95235
Q8BYY4 Q5VTQ0
Q9D8Y1 Q9H061
Q8BXZ1 Q96JJ7
P47941 P46109
Q9D8B3 Q9H444
Q6PHZ5 Q8NDT2
P62073 P62072
Q9ERU9 P49792
Q3TJZ6 Q8NCA5
Q91VM5 P38159
Q6VNB8 Q8IZQ1
P80318 P49368
P0C7N9 Q5JS54
P10711 P23193
Q9CZM2 P61313
P62488 P62487
Q8BH64 Q9NZN4
P06869 P00749
O35604 O15118
Q06138 Q9Y376
Q9CPT4 Q969H8
Q8C129 Q9UIQ6
E9Q555 Q63HN8
P21981 P21980
Q80UY2 Q9P0J7
P23780 P16278
Q9CQI6 Q14019
P41105 P46779
P54823 P26196
Q921K8 A6NFQ2
Q9D1G1 Q9H0U4
Q9DB85 O43159
Q99NB8 Q9NRR5
Q9WUD1 Q9UNE7
P49452 Q03188
O08917 O75955
P32507 Q92692
Q9WV54 Q13510
O88746 O60784
Q99LH1 Q13823
Q3U4G3 Q8NBI6
Q9CYI4 Q9NQ29
Q80Y17 Q15334
Q9QYJ3 P25685
P61290 P61289
Q9DBZ5 Q9UBQ5
P62305 P62304
Q9R0A0 O75381
Q64152 P20290
Q9DB27 Q9ULC4
Q8BLH7 Q9BW71
Q99JI6 A6NIZ1
P62075 Q9Y5L4
Q8R3P6 Q96SY0
Q3UKJ7 Q2TAY7
Q5SSZ5 Q68CZ2
Q64339 P05161
Q9QYL7 Q9ULW3
Q921J4 Q16763
P62911 P62910
P06151 P00338
Q8R3N1 P78316
Q8C3I8 Q9BTY7
Q5SUQ9 Q2NKJ3
Q8BHE0 Q96HE9
Q3UHX2 Q13442
P12787 P20674
Q61136 Q13523
Q9JHU4 Q14204
P16460 P00966
Q66X19 Q96MN2
Q61191 P51610
Q9CYD3 O75718
P59108 Q96FN4
Q8BGA5 Q13601
Q8C6G8 Q9H7D7
P70296 P30086
Q8BG48 O94768
P70227 Q14573
Q80XC2 Q96FX7
Q9CQ79 O14530
P62748 P37235
P81269 P18846
Q8R2Y8 Q9Y3E5
P99024 P07437
Q6ZWY9 P62807
Q6QI06 Q6R327
Q499X9 Q96GW9
P51655 O75487
P02469 P07942
Q8BX17 Q8TEQ6
P31786 P07108
Q61263 P35610
Q9D0K2 P55809
Q9QXX4 Q9UJS0
Q3THW5 Q71UI9
Q810V0 O00566
P61082 P61081
O08580 P11474
Q99LJ0 Q9P2B4
Q9D1L9 O43504
Q9WUM4 Q9ULV4
Q8R323 P40938
P62334 P62333
Q8BWM0 Q9H7Z7
Q9CQQ7 P24539
Q9ERG2 Q13033
Q791V5 Q9Y6C9
P84089 P84090
Q8JZN5 Q9H845
B2RXS4 O15031
Q9WV60 P49841
Q3U2P1 O95486
Q9D0L7 Q8N2F6
Q61712 Q96KC8
Q9DB05 P54920
Q9JJA4 Q9GZL7
Q9CSU0 Q9NQG5
Q9Z1N5 Q13838
Q80TM9 Q9Y2I1
Q6ZWU9 P42677
Q3U7R1 Q9BSJ8
Q5SWU9 Q13085
Q8CI08 Q9P270
Q9QYM8 Q9H3R5
P58929 Q9UKD1
P49962 P49458
Q9CQJ2 Q9NWS0
Q9CS42 P11908
P47754 P47755
P53702 P53701
Q920A5 Q9HB40
O88271 Q9UEE9
P23116 Q14152
Q9CZX0 Q9H9T3
Q3TCH7 Q13619
O08997 O00244
O54734 P39656
Q00519 P47989
Q9CPX7 Q9Y3D3
P0CL69 Q9H7S9
A2AIL4 Q330K2
Q99K30 Q9H6S3
Q9CRD0 Q9NX40
O70475 O60701
Q61598 P50395
Q80Y14 Q86SX6
O54692 O43264
Q7TQI3 Q96FW1
Q60631 P62993
Q9D0F3 P49257
Q6A068 Q99459
O54791 Q9ULX9
Q924W7 P78524
P70280 P51809
Q3USH5 Q12872
Q9WUN2 Q9UHD2
Q9JLV5 Q13618
Q9EPL8 O95373
P17012 P17010
Q8CHT0 P30038
P17809 P11166
Q3UFS0 Q9C0D3
Q569Z5 Q7L014
Q91VA6 Q9Y2S7
Q64701 P28749
P57722 P57721
Q6P542 Q8NE71
Q9JKX4 Q9NY61
Q9CQD1 P20339
Q9R1T2 Q9UBE0
Q99PT1 P52565
Q99KP6 Q9UMS4
Q7TSJ2 Q96JE9
Q8VE70 Q9BUL8
Q9CQN6 Q9P0S9
P47811 Q16539
Q9CY21 O43709
Q69Z99 Q96ME7
Q9Z1Z0 O60763
Q63829 Q9UBI1
Q9Z2U0 O14818
Q8VEE4 P27694
P27046 Q16706
P27601 Q14344
Q6P4T2 O75643
Q9D287 O75934
Q76MZ3 P30153
Q6KAR6 O60645
Q61599 P52566
Q9JM96 Q9H3Q1
O35343 O00629
P33610 P49643
Q9WUM3 Q9BR76
P43300 Q06889
P48962 P12235
Q9JLI8 Q15020
Q8VDJ3 Q00341
Q8VCT3 Q9H4A4
Q62426 P04080
P51863 P61421
Q9D2G2 P36957
Q63844 P27361
O55222 Q13418
P09103 P07237
Q9Z0H1 O15213
Q80YR5 Q14151
Q6PE54 Q8IX18
Q8C052 Q66K74
Q9CR60 Q9Y3E0
O09053 Q14191
Q99PM9 Q9BZX2
Q3U3I9 P0CJ78
Q63739 Q93096
Q8BVL3 Q15036
Q8C156 Q15003
Q9EQC5 Q96KG9
Q921H8 P09110
Q68FD5 Q00610
Q5DTM8 Q5VTR2
Q9D880 Q3ZCQ8
Q9CZU3 P42285
Q9JM14 Q8TCD5
P33611 Q14181
Q07417 P16219
Q6ZQK5 Q15057
Q9D7N3 P82933
Q9CQ10 Q9Y3E7
Q9QZB7 Q9NZ32
Q80UU9 O15173
Q9D1R9 P49207
Q8K310 P43243
Q99KJ0 P68543
Q1HFZ0 Q08J23
Q61151 Q16537
Q5SSW2 Q14997
P46664 P30520
P99026 P28070
P62281 P62280
Q922H2 Q15120
O55143 P16615
Q8BU30 P41252
Q810A7 Q86XP3
Q925B0 Q96IZ0
Q60598 Q14247
P62806 P62805
Q9Z2Q6 Q99719
P97464 Q16394
Q60972 Q09028
Q80ZK9 Q8N5D0
Q8BY02 O15226
Q9Z2I9 Q9P2R7
P42932 P50990
Q9Z0N1 P41091
Q9Z0N1 Q2VIR3
Q8R2N2 Q969X6
Q9JKB3 P16989
Q8VEH6 Q5RIA9
P62751 P62750
Q9JHJ0 Q9NYL9
P35550 P22087
Q8C9B9 Q9BTC0
P97452 Q14137
Q8BJM5 Q6NXT4
Q8BH95 P30084
Q99JY8 O14495
Q99K85 Q9Y617
Q78ZA7 Q99733
Q91WN1 Q8WXX5
Q921M3 Q15393
P61967 P61966
Q8CDA1 Q9Y2H2
Q9D7X3 P51452
P24288 P54687
P10518 P13716
Q91YT7 Q9Y5A9
P17182 P06733
Q99LP6 Q9HAV7
Q8VDP2 Q9H5V9
Q6Q899 O95786
Q6PGL7 Q9Y4E1
B1AY10 Q12986
Q91YI4 P32121
Q9WV96 Q9Y5J6
Q99KV1 Q9UBS4
Q99J27 O00400
P52293 P52292
P48774 P21266
P22682 P22681
Q9DC40 Q9Y4R8
Q80Y44 Q13206
Q9D172 P30042
Q62348 Q15631
P97855 Q13283
Q8QZS1 Q6NVY1
Q9CZJ2 Q96MM6
P63242 Q6IS14
P67984 P35268
Q9R0E1 O60568
Q8CFE2 Q9NWY4
Q8BVU5 Q9BW91
F8VQB6 Q9HD67
D3Z7P3 O94925
Q8BWY3 P62495
P51859 P51858
Q9JIB4 Q6P1K8
Q61753 O43175
Q8R5J9 O75915
O54784 O43293
Q62470 P26006
Q8CGC7 P07814
Q9ERB0 O95721
Q99M51 P16333
P97384 P50995
O35640 P13928
Q8CFI7 P30876
Q9CZ91 Q8NEF9
Q9CQN6 Q9NUH8
Q7TSG2 Q9Y5B0
Q6A0A2 Q92615
P55271 P42772
Q62176 Q9H0Z9
P47199 Q08257
Q8BMD8 Q6NUK1
Q91YR1 Q12792
P09450 P17275
Q8CHE4 O60346
Q9CZR8 P43897
P97376 Q14331
P26638 P49591
E9Q5G3 Q02241
Q9QZD8 Q9UBX3
Q9DCG9 Q9UI30
P99028 P07919
Q9JIX0 Q9NPA8
Q9DAU1 Q9BT09
Q9EPE9 Q9HD20
Q9D051 P11177
Q91Z53 Q9UBQ7
Q9CWK8 O60749
Q9CR62 Q02978
Q9CPP6 Q16718
Q8C5Q4 Q12849
Q8C569 Q9BPY3
Q8R326 Q8WXF1
Q8BLF1 Q6PIU2
Q60854 P35237
Q9D6J6 P19404
Q3TQI7 Q9NZ63
Q8VC70 Q15434
O70152 O60762
Q5XJY5 P48444
P58252 P13639
Q922J3 P30622
Q8BP67 P83731
P56391 P14854
Q6P9Z1 Q6STE5
P45700 P33908
P62880 P62879
Q9JK23 O95456
Q9D1F4 Q96B36
Q09XV5 Q9HCK8
O88986 O75600
Q2TBE6 Q9BTU6
Q9DBB4 Q6N069
P40630 Q00059
P97351 P61247
Q9JK81 Q9HB07
P56394 Q14061
Q9JJG9 Q8NC60
Q9JJ28 Q13045
Q9QWF0 Q13111
Q8K3X4 Q9H1B7
Q3TKT4 P51532
Q8BVF2 Q9H2J4
Q99K23 Q9NUQ7
Q9WV32 O15143
Q8BIQ5 P33240
Q99J45 Q9UHY1
Q8R3N6 Q96FV9
Q8CHW4 Q13144
O89112 O43813
P10107 P04083
Q8BHC7 Q8TEB9
Q3TXS7 Q99460
Q61171 P32119
Q8BP71 O43251
O35350 P07384
P62746 P62745
Q99JN2 Q53GT1
Q3UV16 Q3MIP1
P70180 P17342
Q80WW9 Q96HY6
Q9EPU4 Q10570
Q8BP48 P53582
P48755 P15407
P62830 P62829
Q9EP71 Q9P0K7
Q3TN34 Q8IY33
Q8BXL7 Q13795
P60521 P60520
Q5SUR0 O15067
Q99LC3 O95299
Q9CW46 Q8IY67
O35326 Q13243
Q7TME2 Q96R06
Q9DC61 Q10713
P97390 Q9NRW7
Q8CCH2 Q5JS37
Q91XU0 Q96S55
Q9ES74 Q8TDX7
Q5SFM8 Q9P2N5
P62717 Q02543
Q4VBE8 Q9BV38
Q9D8W5 O00232
Q9DBD5 Q8IZL8
P62196 P62195
Q69ZK6 Q15652
Q8BWT1 P42765
P60603 P60602
Q9Z255 P49459
Q9CYZ6 Q96EN9
Q3TVI8 Q96AQ6
P14152 P40925
Q9QZL0 Q9Y572
O54950 P54619
P61750 P18085
Q9R190 O94776
Q6P9R1 Q8N8A6
Q9JHW2 Q9NQR4
Q03963 P19525
Q9EST5 Q92688
Q8CD10 Q8IYU8
Q9DB73 Q9UHQ9
Q9D1H6 Q9P032
Q03147 P50613
P62267 P62266
Q8BHS3 Q9NW64
Q8JZQ9 P55884
Q5FWI3 Q9UHN6
Q9CXT8 O75439
P46935 P46934
P50516 P38606
Q8VDP6 O14735
P26039 Q9Y490
Q80TG1 Q7Z3B3
Q9D1E6 Q99426
P62270 P62269
Q9JM13 Q9UJ41
Q6PB66 P42704
Q6PGC1 Q7Z478
Q9D7A8 Q9NVT9
Q8BIA4 Q8N3Y1
Q9JLN9 P42345
Q9D0R2 P26639
Q8BUI3 Q9UFC0
Q9R1Z8 O60504
Q3UHH8 Q4G148
Q8BVQ5 Q9Y570
Q9D1M0 P55735
P14069 P06703
Q9D0I4 P56962
O70400 O00151
Q0KL02 O75962
Q91VJ4 Q15208
P17439 P04062
Q08639 Q14186
Q78PY7 Q7KZF4
Q8R1F1 Q96TA1
Q9DAW6 O43172
Q9WVA3 O43684
P08752 P04899
P61079 P61077
P97494 P48506
P68369 Q71U36
Q3UGC7 O75822
Q8JZK9 Q01581
Q8CII2 O75794
Q3V3R1 Q6UB35
Q8BQ33 Q7Z2Z1
Q8CHH9 Q92599
Q8R1B4 Q99613
Q9QYJ0 O60884
Q9CX00 P53990
Q7TT00 Q8NEM7
P50096 P20839
Q64337 Q13501
Q8BFY6 Q9UBV8
P63154 Q9BZJ0
Q8VCB1 Q9BTX1
Q9Z1S0 O60566
Q99LE6 Q9UG63
Q9CR67 P57088
P51410 P32969
P28474 P11766
Q9ER72 P49589
Q6ZPR5 Q9NXE4
Q9CQF9 Q9UHG3
Q9ESU6 O60885
Q8N7N5 Q5TAQ9
P09671 P04179
Q6P9P6 P52732
Q91XD6 Q86VN1
P47738 P05091
Q811P8 A7KAX9
Q9DC48 O60508
P08775 P24928
Q91W50 O75534
Q99K01 Q6P996
O70252 P30519
P18406 O00622
P62313 P62312
Q9JJT0 Q9Y2P8
Q8BG05 P51991
O88543 Q9UNS2
P20152 P08670
Q8VE22 Q9Y3D9
Q9WVK4 Q9H4M9
P32233 Q9Y295
Q8BYL4 Q9Y2Z4
Q9QXK7 Q9UKF6
P60843 P60842
O08553 Q16555
E9Q634 Q12965
Q9D0B6 Q9BVG4
Q9ERA6 Q9UBB9
P61222 P61221
P54116 P27105
Q9D0I8 Q9UKD2
Q6A058 Q7L311
Q9Z127 Q01650
Q9CPX6 Q9NT62
Q61846 Q14680
P46467 O75351
Q91YH5 Q6DD88
Q91XL3 Q8NBZ7
Q8BMF4 P10515
Q7TQK4 Q9NQT5
Q99LC2 Q05048
A2AR02 Q13427
Q9R0N0 P51570
Q99K70 Q9HB90
Q9DBR7 O14974
Q8C6M1 Q9Y2K6
P19324 P50454
P70362 Q92890
Q8BVU0 Q96II8
P46735 O43795
Q9R0L6 Q15154
Q8BP92 Q14257
Q8C2E4 O75127
Q9D1L0 Q9Y6H1
Q3TWW8 Q13247
O89017 Q99538
Q8K2I1 P49356
P70677 P42574
Q8BMC4 Q86U38
A3KGB4 Q0IIM8
P61963 P61962
Q04750 P11387
P38647 P38646
Q91YP2 Q9BYT8
E9Q9D5 Q9UBK7
Q9CR86 Q9Y2V2
Q8BFZ9 O94905
Q148V8 Q6ZRV2
Q3THG9 Q9BTE6
P63330 P67775
Q00612 P11413
P43277 P16402
P70698 P17812
Q6DFW4 Q9Y2X3
Q3THK7 P49915
O09061 P20618
P35278 P51148
P63242 P63241
P08249 P40926
Q9WU78 Q8WUM4
P47955 P05386
Q925I1 Q5T2N8
P48722 O95757
Q6PDL0 O43237
Q9DBG9 O14907
Q9QYR6 P78559
Q921F4 Q8WVV9
Q9D937 E9PRG8
Q9JKY0 Q92600
P17427 O94973
P12265 P08236
Q9CRA5 Q9H4A6
Q9CQC6 Q7L1Q6
Q3UM45 Q15435
Q922L6 Q8IXH7
Q11011 P55786
Q8VCY6 Q9NYH9
Q8BZW8 Q8NBF2
P25799 P19838
P61255 P61254
Q91WR3 Q9H1I8
Q8BWQ6 Q7Z3J2
Q9CQ60 O95336
Q9DBN5 Q86WA8
Q62318 Q13263
O08738 P55212
Q3TIR3 Q9NPQ8
Q8K2B3 P31040
Q8VI75 Q8TEX9
P62259 P62258
Q8VD75 O00291
Q9JME5 Q13367
Q6PHZ2 Q13557
Q9Z1D1 O75821
Q8VDD8 A8K0Z3
P14211 P27797
Q9DB15 P52815
Q80UW8 P19388
Q9Z0L0 Q13641
Q6P8I4 Q8WW12
P27612 Q9Y263
Q9DBC7 P10644
Q9CWQ0 Q9H2P9
O89079 O14579
Q8BWY9 Q8TCG1
Q9D0F6 P40937
Q8CHT3 Q6P9B9
Q9DBY8 O15381
Q8C9S4 Q7Z3E2
Q9CQJ4 Q99496
P47758 Q9Y5M8
Q8R3F9 Q9H6E5
O70194 O15371
Q61127 Q15742
P62983 P62979
Q99JB2 Q9UJZ1
Q9QXK2 Q9NS91
Q07832 P53350
Q9R078 Q9Y478
Q9R1P1 P49720
Q9CQX8 P82909
Q8BKI2 Q9UPQ9
Q9QUR7 Q13526
Q9CQA5 Q9NPJ6
P09528 P02794
Q7TNV0 P35659
Q9CZJ1 Q9Y3A2
Q8K4L0 Q8TDD1
P62915 Q00403
Q8JZN7 Q8IXI1
Q9WTX5 P63208
O08912 Q10472
Q9D1Q6 Q9BS26
Q61879 P35580
Q80VD1 Q52LJ0
Q02053 P22314
Q9Z1T1 O00203
Q8BTI7 Q8NB46
Q8VHE0 Q9UGP8
Q3UHB1 Q86UY8
O35639 P12429
Q9DCS9 O96000
Q8R4R6 Q8NFH5
Q6P9Q4 Q9Y613
Q61624 Q9UQR1
Q8VC30 Q3LXA3
Q922V4 O43660
Q8VEH6 Q5JTY5
Q8VEH6 Q8IUF1
O35129 Q99623
Q8CFV9 Q969G6
P26450 P27986
Q7TQ95 Q9C0E8
P22892 O43747
Q9Z2B9 O75676
Q9DBT5 Q01433
P59708 Q9Y3B4
Q80XP8 Q5HYJ3
Q8BMK4 Q07065
O35841 Q9BZZ5
Q8VEJ9 Q9UN37
P80316 P48643
Q8BHB4 Q9UNX4
Q9ER00 Q86Y82
Q61510 Q14258
Q9CWX9 Q9H0S4
Q9D6Z1 O00567
Q3V1L4 P49902
Q9WVJ2 Q9UNM6
Q5U4C3 Q9H7N4
Q9D8S4 Q9Y3B8
Q8BGQ6 O75071
Q9WUL7 P36405
Q9D8N0 P26641
Q9D8M4 Q6DKI1
P70699 P10253
Q8R3C0 Q9BTE3
Q3THJ3 Q8N9N8
P57746 Q9Y5K8
O35344 O00505
Q9D6R2 P50213
O35379 P33527
P07901 P07900
Q9DAM7 Q8WUH6
Q8VDP4 Q8N163
B2RY56 P49756
Q9QWV9 O60563
Q9R0Y5 P00568
Q8CI94 P11216
Q8BHG1 O43847
Q8K1K4 Q92674
P51943 P20248
Q9CQA1 Q8IUR0
Q924T2 Q9Y399
Q5F2E7 Q7Z417
P62309 P62308
Q9Z2N8 O96019
P05202 P00505
O08599 P61764
P11031 P53999
Q9CQ18 Q8TDP1
P24860 P14635
O70310 P30419
P62962 P07737
P43883 Q99541
P26043 P35241
P60766 P60953
Q05D44 O60841
Q8VBZ3 O96005
P14206 P08865
O35598 O14672
Q9CQJ6 O43583
Q8K224 Q9H0A0
Q61735 Q08722
Q9ERF3 Q9GZS3
Q9Z120 Q9UBP6
Q8VCD5 Q9NVC6
Q60769 P21580
Q9CR47 O95478
Q7TPD2 Q8N0U4
Q9CQI3 P60983
Q9WUU9 O60318
Q9JJU8 O75368
Q9CR00 O00233
Q7TMY7 O15397
Q6P5D8 A6NHR9
Q7TNE3 O75391
Q8K2F8 Q8ND56
Q9D7H3 O00442
Q9WU28 Q99471
Q9CYI0 Q9HAS0
Q64282 Q5T764
Q9DCD5 Q5JTD0
Q6P5B0 Q5JTH9
Q8K009 Q3SY69
P61588 P61587
P35456 Q03405
Q99KC8 O00534
