mouse_uniprot	mouse_entrez	human_entrez
Q8K354	109857	874
P62627	67068	83658
Q8BK64	217737	10598
P61327	17149	4116
P97329	19348	10112
Q8BYY4	69863	158219
Q9CPS7	66249	56902
Q6VNB8	72145	23001
Q8BXZ1	67988	54495
Q9D8Y1	66271	84233
P47941	12929	1399
P21619	16907	84823
Q6PHZ5	109095	29890
Q9ERU9	19386	5903
Q9D8B3	75608	128866
P80318	12462	7203
Q91VM5	19656	27316
P62073	30059	26519
Q3TJZ6	72722	25940
P0C7N9	69666	389362
P10711	21399	6917
Q9CZM2	66480	6138
Q9CQ10	66700	100526767
Q9CPT4	28106	56005
E9Q555	672511	57674
Q8C129	240028	4012
Q8BH64	259300	30846
P21981	21817	7052
Q80UY2	74287	56888
Q921K8	232748	285966
P61290	19192	10197
P62488	67710	5436
Q99NB8	94232	56893
P06869	18792	5328
O35604	18145	4864
P49452	12617	1060
O08917	14251	10211
Q9WV54	11886	427
Q06138	12283	51719
Q64152	218490	689
Q9DB27	68995	28985
Q8BLH7	233876	8479
Q9CYI4	66978	55692
Q5SWU9	107476	31
P23780	12091	2720
Q9CQI6	72042	23406
P41105	19943	6158
P54823	13209	1656
Q9D1G1	76308	81876
Q9DB85	101867	23378
Q9WUD1	56424	10273
P32507	19294	5819
Q8VDD8	68767	102723897
P16460	11898	445
O88746	21968	10043
A6H8H2	329877	55667
Q99LH1	230737	29889
Q3U4G3	268880	152002
P59108	234577	221184
Q9CQQ7	11950	515
P70227	16440	3710
Q80Y17	16897	3996
Q9CQ79	98258	10190
Q9QYJ3	81489	3337
Q8JZN5	229211	28976
Q9DBZ5	73830	27335
Q6QI06	78757	253260
P62305	20643	6635
Q5U3K5	227624	55684
Q9D172	28295	102724023
Q9D172	102641949	102724023
Q9R0A0	56273	5195
O35972	19935	102724828
Q6ZWU9	57294	6232
Q9D0K2	67041	5019
P62075	30055	26517
Q810V0	67973	10199
Q8R3P6	69882	81556
P61967	11769	1174
Q64339	100038882	9636
Q8CI08	75991	57606
Q8CDA1	101490	22876
Q9QYM8	26886	64946
Q9QYL7	30946	29777
Q921J4	77891	27338
Q9D7X3	72349	1845
P62911	19951	6161
P62911	621697	6161
P62911	102642864	6161
P47754	12343	830
P24288	12035	586
P10518	17025	210
Q91YT7	213541	51441
Q6ZWY9	319179	8344
P23116	13669	8661
P17182	13806	2023
Q99LP6	17713	80273
Q8VDP2	77644	63932
Q66X19	446099	147945
Q9CYD3	56693	10491
Q6Q899	230073	23586
O08997	11927	475
O54734	13200	1650
Q6PGL7	28006	253725
B1AY10	74164	4799
Q91YI4	216869	409
Q99J27	11416	9197
Q80XC2	328162	115708
P62748	53602	3241
P0CL69	353310	80139
P52293	16647	3838
Q99K30	98845	64787
P48774	14866	2947
Q6ZWY9	319181	8347
Q6ZWY9	319181	8343
Q9DC40	71718	9894
Q80Y44	77591	1662
Q9D172	28295	8209
Q9D172	102641949	8209
Q62348	22099	7247
P97855	27041	10146
Q8QZS1	227095	26275
Q9CZJ2	72630	116835
P31786	13167	1622
Q80Y14	73046	51218
O54692	26951	9183
Q7TQI3	107260	55611
Q9QXX4	50799	10165
O54791	17133	23764
P61082	22192	9040
P67984	19934	6146
P67984	102642602	6146
Q9R0E1	26433	8985
Q8CFE2	72612	54969
Q8BVU5	74167	53343
F8VQB6	17909	4651
D3Z7P3	14660	2744
O08580	26379	2101
Q8BWY3	225363	2107
Q9JLV5	26554	8452
Q9EPL8	233726	10527
