proID	wholeProIDlist	geneName	t.0	t.1	t.2	t.4	t.8	t.16	t.32	t.0.1	t.1.1	t.2.1	t.4.1	t.8.1	t.16.1	t.32.1	t.0.2	t.1.2	t.2.2	t.4.2	t.8.2	t.16.2	t.32.2	t.0.3	t.1.3	t.2.3	t.4.3	t.8.3	t.16.3	t.32.3	c1_k10	c2_k10	c2_k20	c2_k12	X.dataPts	c1_AICp	c1_RSS	c2_AICp	c2_RSS	AIC.recommendation	c1_aveLife	c1_thalf	c2_aveLife	c2_thalf.pulse.	c2_thalf.ss.	X.deg.fr.comp1.2comp.	X.deg.fr.comp2.2comp.	ss..comp1.2comp.	ss..comp2.2comp.	med4	med8	deltascore	def	rel.abun
A0A024QZ33	A0A024QZ33;Q9H0G5;K7ERM9	">tr|A0A024QZ33|A0A024QZ33_HUMAN Coiled-coil domain containing 55, isoform CRA_a OS=Homo sapiens GN=CCDC55 PE=4 SV=1;>sp|Q9H0G5|NSRP1_HUMAN Nuclear speckle splicing regulatory protein 1 OS=Homo sapiens GN=NSRP1 PE=1 SV=1;>tr|K7ERM9|K7ERM9_HUMAN Nuclear spec"	1	0.923077737	0.806611474	0.645770423	0.495326735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.092698986	0.121783915	5.55E-05	0.054952645	5	0.999991175	0.001396173	8.82E-06	0.000359672	1	10.78760449	7.47739764	5605.296849	7.8	4000	0.689070304	0.310929696	0.001009427	0.998990573	0.645770423	0.495326735	0.086042389	ED	0.024137257
A0A075B730	A0A075B730;A0A087X1U6;P58107	>tr|A0A075B730|A0A075B730_HUMAN Epiplakin OS=Homo sapiens GN=EPPK1 PE=1 SV=2;>tr|A0A087X1U6|A0A087X1U6_HUMAN Epiplakin OS=Homo sapiens GN=EPPK1 PE=4 SV=1;>sp|P58107|EPIPL_HUMAN Epiplakin OS=Homo sapiens GN=EPPK1 PE=1 SV=2	1	0.974721084	0.781592508	0.747751079	0.633458365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.062749124	0.112385435	0.001658656	0.139356881	5	0.999996154	0.003928303	3.85E-06	0.001966582	1	15.93647744	11.04632441	337.7182226	96.9	414.7	0.446430449	0.553569551	0.01176222	0.98823778	0.747751079	0.633458365	0.062404637	ED	0.003066915
A0A087WSW9	A0A087WSW9;Q16881-4;Q16881-3;Q16881;A0A087WSY9;F8W809;Q16881-5;Q16881-2;E9PNQ6;Q16881-6;E9PIR7;E2QRB9;Q16881-7	">tr|A0A087WSW9|A0A087WSW9_HUMAN Glycosyl-phosphatidylinositol-anchored molecule-like protein OS=Homo sapiens GN=GML PE=4 SV=1;>sp|Q16881-4|TRXR1_HUMAN Isoform 4 of Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1;>sp|Q16881-3|TRXR1_HUMAN Isof"	1	0.940794931	1.258478666	1.037382902	1.374360095	1.213072986	1.541599832	1	0.989829196	0.995332862	1.075054271	1.12291603	1.030504342	1.316604191	1	1.085651462	1.031458963	1.121487165	1.149167638	1.347989383	1.316257093	NA	NA	NA	NA	NA	NA	NA	5.09E-06	3.89E-07	2.29E-08	0.693369721	21	0.930672725	0.032589877	0.069327275	0.032567848	1	196352.9054	136101.4628	43713802.98	3999.9	1023.6	5.61E-07	0.999999439	3.30E-08	0.999999967	1.075054271	1.149167638	-0.002852201	ED	1.33414235
A0A087WTA5	A0A087WTA5;Q9UI10-3;Q9UI10;Q9UI10-2;E7ERK9	>tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens GN=EIF2B4 PE=4 SV=1;>sp|Q9UI10-3|EI2BD_HUMAN Isoform 3 of Translation initiation factor eIF-2B subunit delta OS=Homo sapiens GN=EIF2B4;>sp|Q9UI10|EI2BD_HUMAN	1	NA	NA	0.973730769	0.68946101	NA	NA	1	NA	NA	0.877785254	0.747261059	1.072253691	1.098599093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001255576	1.863808773	1.27E-07	3.183011617	8	0.982395795	0.031536033	0.017604205	0.02284485	1	796.4470117	552.0550007	4947470.226	4000	140	0.369303567	0.630696433	4.00E-08	0.99999996	0.925758012	0.718361035	-0.088249096	ED	0.025497205
A0A087WTN3	A0A087WTN3;P62341;A0A087WVA1;Q6IAK0	>tr|A0A087WTN3|A0A087WTN3_HUMAN Selenoprotein T OS=Homo sapiens GN=SELT PE=4 SV=1;>sp|P62341|SELT_HUMAN Selenoprotein T OS=Homo sapiens GN=SELT PE=2 SV=2;>tr|A0A087WVA1|A0A087WVA1_HUMAN Selenoprotein T OS=Homo sapiens GN=SELT PE=4 SV=1;>tr|Q6IAK0|Q6IAK0_HU	1	NA	NA	0.811354388	0.616822003	NA	NA	1	1.295889958	1.207289309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.047831133	4.75E-05	0.151229659	0.151134172	6	0.999157552	0.030894162	0.000842448	0.02332373	1	20.90688495	14.49154835	13.22493784	10.6	7.6	0.000314382	0.999685618	0.500157901	0.499842099	0.811354388	0.616822003	-0.032537049	ED	0.086725543
A0A087WTX2	A0A087WTX2;Q92504	>tr|A0A087WTX2|A0A087WTX2_HUMAN Zinc transporter SLC39A7 OS=Homo sapiens GN=SLC39A7 PE=4 SV=1;>sp|Q92504|S39A7_HUMAN Zinc transporter SLC39A7 OS=Homo sapiens GN=SLC39A7 PE=1 SV=2	1	0.931900943	1.163569238	0.947548157	1.167432446	1.388544763	1.512433669	1	0.974175722	0.944473106	1.02150815	1.074699837	1.042458498	1.232770096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.81E-06	0.000105146	3.77E-06	0.700481156	14	0.954068752	0.027803688	0.045931248	0.027805728	1	128049.0419	88756.83235	265513.7883	4000	1013.1	0.000150083	0.999849917	5.38E-06	0.999994624	0.984528154	1.121066142	0.072732857	ED	0.135044321
A0A087WU64	A0A087WU64;P09884;A6NMQ1	>tr|A0A087WU64|A0A087WU64_HUMAN DNA polymerase alpha catalytic subunit OS=Homo sapiens GN=POLA1 PE=4 SV=1;>sp|P09884|DPOLA_HUMAN DNA polymerase alpha catalytic subunit OS=Homo sapiens GN=POLA1 PE=1 SV=2;>tr|A6NMQ1|A6NMQ1_HUMAN DNA polymerase OS=Homo sapien	1	0.847786277	0.691579091	0.774805353	0.574456226	0.413700249	0.335369746	1	0.862491204	0.982246139	NA	NA	0.589481164	0.469925415	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.033300442	0.114079765	0.01255815	0.131948544	12	0.699381176	0.036787279	0.300618824	0.016225808	1	30.02963159	20.81495447	46.77106047	15.2	52.1	0.463685521	0.536314479	0.086903587	0.913096413	0.774805353	0.574456226	-0.022022251	UN	0.092751652
A0A087WUD1	A0A087WUD1;Q6DD87	>tr|A0A087WUD1|A0A087WUD1_HUMAN Zinc finger protein 787 OS=Homo sapiens GN=ZNF787 PE=4 SV=1;>sp|Q6DD87|ZN787_HUMAN Zinc finger protein 787 OS=Homo sapiens GN=ZNF787 PE=1 SV=3	1	0.912480333	0.833787249	0.732887927	0.595753579	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.068724911	0.112372827	0.040611463	0.263092451	5	0.999258273	0.000957913	0.000741727	7.12E-06	1	14.55076451	10.0858214	19.91736924	12	16.4	0.29928953	0.70071047	0.133720578	0.866279422	0.732887927	0.595753579	0.051798407	ED	0.028777289
A0A087WUK2	A0A087WUK2;O14979	>tr|A0A087WUK2|A0A087WUK2_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens GN=HNRNPDL PE=4 SV=1;>sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens GN=HNRNPDL PE=1 SV=3	1	0.821351606	0.825595761	0.893741739	0.843639119	0.766833089	0.748579871	1	1.012884619	1.024416711	0.858035995	0.885545582	0.908016875	0.816399091	1	0.952785526	0.824128155	0.898239521	0.831261279	0.782346275	0.672901888	NA	NA	NA	NA	NA	NA	NA	0.010844972	0.212513053	0.00584186	1.02827278	21	0.300610998	0.008654299	0.699389002	0.004490051	2	92.2086296	63.91415163	142.6660863	99.9	118.5	0.171272953	0.828727047	0.005649141	0.994350859	0.893741739	0.843639119	0.027323198	UN	2.126645455
A0A087WUL4	A0A087WUL4;A0A087WX23;A0A087WXK2;Q86TG7;A0A087WZG9;Q86TG7-2	>tr|A0A087WUL4|A0A087WUL4_HUMAN Retrotransposon-derived protein PEG10 OS=Homo sapiens GN=PEG10 PE=4 SV=1;>tr|A0A087WX23|A0A087WX23_HUMAN Retrotransposon-derived protein PEG10 OS=Homo sapiens GN=PEG10 PE=4 SV=1;>tr|A0A087WXK2|A0A087WXK2_HUMAN Retrotransposo	1	0.922387076	0.656865951	0.575453129	0.3490276	0.194992997	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.110584249	0.173634454	0.047786753	0.074158378	6	0.993660835	0.016499095	0.006339165	0.003231904	1	9.042879165	6.268046197	10.29836317	4.8	9.6	0.700724281	0.299275719	0.391870938	0.608129062	0.575453129	0.3490276	0.02629536	ED	0.117194679
