gene	struc	chn	decay.class	qtype	unq	tot	species	
Eif5a	3cpf	A	U	mon	1	1	mouse
Tbca	1h7c	A	U	mon	1	1	mouse
Eif6	2x7n	B	U	het	3	3	mouse
Sfpq	4wii	A	U	hom	1	2	mouse
Atp5f1	4b2q	T	N	het	10	42	mouse
Ewsr1	2cpe	A	E	mon	1	1	mouse
Clip2	3rdv	A	E	het	2	2	mouse
Flnb	2w0p	A	U	het	2	3	mouse
Alcam	5a2f	A	U	mon	1	1	mouse
Dpy30	4riq	A	E	het	2	12	mouse
Khdrbs1	3qhe	B	N	het	2	2	mouse
Hspbp1	1xqs	A	U	het	2	2	mouse
Aup1	2ekf	A	U	mon	1	1	mouse
Arid1a	2eh9	A	N	mon	1	1	mouse
Ctsd	1lyb	A	N	het	3	6	mouse
Kirrel	4ofd	A	U	hom	1	2	mouse
Smad5	3kmp	A	E	hom	1	2	mouse
Mina	4bxf	A	U	het	2	4	mouse
Psip1	3u88	C	U	het	3	3	mouse
Sec24d	3efo	B	N	het	3	3	mouse
Dnajc1	2cqq	A	U	mon	1	1	mouse
Ppp1r2	2o8a	I	E	het	2	2	mouse
Camk2g	2ux0	A	E	hom	1	12	mouse
Atic	1p4r	A	U	hom	1	2	mouse
Creb1	2lxt	C	U	het	3	3	mouse
Dido1	4l7x	A	U	het	2	2	mouse
Atp5d	2xnd	H	N	het	6	17	mouse
Vprbp	4z8l	A	E	het	3	3	mouse
Trap1	4z1i	A	U	hom	1	2	mouse
Fancd2	3s4w	B	U	het	2	2	mouse
St13	4j8c	A	E	hom	1	2	mouse
Prpf8	3lru	A	N	hom	1	2	mouse
Atp2a2	2voy	L	N	het	12	12	mouse
Psmc2	3vlf	B	N	het	2	2	mouse
Rnf25	5d1k	B	U	het	2	2	mouse
Sarnp	2do1	A	U	mon	1	1	mouse
Rap2c	3rap	R	E	hom	1	2	mouse
Flrt2	4v2c	A	U	het	2	2	mouse
Psmb3	3unb	I	N	het	14	28	mouse
Eny2	4dhx	B	U	het	2	3	mouse
P4ha1	4bt9	A	U	het	2	3	mouse
Polr3c	5afq	A	U	het	2	2	mouse
Dpysl2	2vm8	A	U	hom	1	4	mouse
Cct3	3iyg	G	N	het	8	8	mouse
Suclg2	4xx0	B	N	het	2	2	mouse
Eef1a1	4c0s	A	U	hom	1	2	mouse
Fhl2	2d8z	A	U	mon	1	1	mouse
Mif	1mfi	A	E	hom	1	3	mouse
Etf1	5a8l	Q	E	het	5	5	mouse
Kdm2a	4qwn	B	U	het	3	3	mouse
Mapkap1	3voq	A	E	hom	1	2	mouse
Sh3glb1	1x43	A	N	mon	1	1	mouse
Nudt9	1qvj	A	E	mon	1	1	mouse
Ube2d3	2fuh	A	U	het	2	2	mouse
Ppic	2rmc	A	U	het	2	2	mouse
Per1	4dj2	A	U	hom	1	2	mouse
Akt3	3qkk	A	E	het	2	2	mouse
Hibadh	2gf2	A	N	hom	1	2	mouse
Epb4.1l1	2rq1	A	E	mon	1	1	mouse
Prim2	3l9q	A	N	hom	1	4	mouse
Copz1	5a1v	F	N	het	8	26	mouse
Bin1	1mv0	B	E	het	2	2	mouse
