gene	struc	chn	decay.class	qtype	unq	tot	species	
BCL2	2w3l	A	X	mon	1	1	human
GSTO1	1eem	A	E	hom	1	2	human
LGALS3	4lbm	A	E	mon	1	1	human
MMP8	1jan	A	X	het	2	2	human
PRPF3	1x4q	A	U	mon	1	1	human
CHCHD7	2lqt	A	X	mon	1	1	human
PTPRT	2ooq	A	X	mon	1	1	human
MTA3	4bkx	A	X	het	2	4	human
IFNB1	1au1	A	X	hom	1	2	human
CD48	2edo	A	X	mon	1	1	human
TOP3A	4cgy	A	X	het	2	2	human
IL22RA1	3dlq	R	X	het	2	2	human
ADGRL3	5afb	A	X	hom	1	4	human
KRT10	4f1z	Q	X	het	2	2	human
HNRNPCL3	2mxy	A	X	mon	1	1	human
KCNAB3	3eb4	A	X	hom	1	4	human
ZBED2	2djr	A	X	mon	1	1	human
CTDSP1	3pgl	A	X	mon	1	1	human
ARRDC2	4n7h	B	X	het	2	2	human
LAT2	3maz	B	X	het	2	2	human
CACNA1G	2v5f	X	X	het	2	2	human
CNN2	1wyn	A	E	mon	1	1	human
STRN	4n6j	A	X	hom	1	2	human
SQSTM1	3wdz	B	U	het	2	2	human
CD209	1sl4	A	X	mon	1	1	human
MYL10	2w4a	B	X	mon	1	1	human
PTPMT1	3rgo	A	X	mon	1	1	human
RNASEH1	2qk9	A	X	mon	1	1	human
GMFB	1v6f	A	U	mon	1	1	human
HYDIN	2ys4	A	X	mon	1	1	human
CDKN2D	1bd8	A	X	mon	1	1	human
ERC2	1zub	B	X	het	2	2	human
DYRK1B	4yu2	A	X	mon	1	1	human
CAMKK2	2zv2	A	X	mon	1	1	human
P2RX4	2bp5	P	X	het	2	2	human
MMP14	2mqs	A	U	het	2	4	human
TBC1D12	2qq8	A	X	mon	1	1	human
PIWIL2	3o7x	A	X	hom	1	2	human
UBD	2mbe	A	X	mon	1	1	human
GSN	3ffn	A	X	mon	1	1	human
COPS6	4d18	F	N	het	8	8	human
HIST1H4A	1eqz	D	X	het	4	8	human
NET1	3eo2	A	X	hom	1	2	human
RAB18	1x3s	A	E	mon	1	1	human
SETD2	4fmu	A	X	mon	1	1	human
TEAD4	2hzd	A	X	mon	1	1	human
TRAPPC3	1wc8	A	U	hom	1	2	human
PPFIBP2	3qh9	A	X	hom	1	2	human
CRY2	4i6e	A	X	mon	1	1	human
HIVEP3	1bbo	A	X	mon	1	1	human
POU3F2	2xsd	C	X	mon	1	1	human
EBF4	3muj	A	X	hom	1	2	human
MSL2	4b86	C	X	het	2	4	human
KRT8	3tnu	B	X	het	2	4	human
B4GALT1	4l41	C	E	het	2	3	human
RALYL	1wf1	A	X	mon	1	1	human
AMY2A	1b2y	A	X	mon	1	1	human
NPHS1	4zrt	B	X	het	2	2	human
HIST1H2BH	2xql	B	X	het	2	10	human
ZFP36L2	1rgo	A	X	mon	1	1	human
PPP1CA	3n5u	A	U	het	2	3	human
CCL17	1nr2	A	X	mon	1	1	human
FABP2	1kzx	A	X	mon	1	1	human
EZR	2jkg	P	E	het	2	2	human
ERI1	1zbu	A	X	mon	1	1	human
EXTL2	1on8	A	X	hom	1	2	human
LCAT	4x96	A	X	mon	1	1	human
GLS	3voy	A	U	hom	1	4	human
OGG1	2i5w	A	X	mon	1	1	human
COPG2	3tjz	B	U	het	3	3	human
DAXX	4h9p	C	X	het	3	3	human
SAT2	2q4v	A	X	hom	1	2	human
CDC42	1cee	A	E	het	2	2	human
TMUB2	1wia	A	X	mon	1	1	human
LTBR	1rf3	B	X	het	2	6	human
PA2G4	3j2i	A	N	mon	1	1	human
RAB31	2fg5	A	X	mon	1	1	human
NUP214	2oit	A	X	mon	1	1	human
