Gene	Class	PDB chain	Coexpression	Seqid	Unique subunits
Rps7	N	3jaj_SH	0.602025	100.00	83
Rps5	N	3jaj_SF	0.618637	100.00	83
Rps16	N	3jaj_SQ	-0.033913	100.00	83
Rpl26	N	3jaj_Y	0.602790	100.00	83
Rps17	N	3jaj_SR	0.608048	100.00	83
Rps15a	N	3jaj_SW	0.518931	100.00	83
Rps10	N	3jaj_SK	0.641156	100.00	83
Rps25	N	3jaj_SZ	0.553929	100.00	83
Rps28	N	3jaj_Sc	0.497563	100.00	83
Rpl10a	N	4v6x_Cz	0.590891	100.00	82
Rpl11	N	4v6x_CJ	0.612653	100.00	82
Rps20	N	4v6x_AU	0.567443	100.00	82
Rps3	N	3jag_DD	0.554241	100.00	80
Cox5a	N	2ybb_P	0.420067	100.00	37
Psma4	N	3unb_B	0.484433	100.00	14
Psma6	N	3une_G	0.480811	100.00	14
Psmb3	N	3unb_I	0.420400	100.00	14
Snrpd3	N	4pjo_A	0.341286	100.00	9
Copg1	N	5a1v_E	0.321043	100.00	8
Copz1	N	5a1v_F	0.271214	100.00	8
Ap2b1	N	2xa7_B	0.270900	100.00	5
H2-D1	N	3pqy_A	0.480500	100.00	5
Dync1h1	N	3j1t_A	0.112400	100.00	3
Rqcd1	N	4ct7_B	0.301000	100.00	2
Myo5a	N	2ix7_C	0.273400	100.00	2
Mkl1	N	2v52_M	0.048000	100.00	2
Fen1	N	1u7b_B	0.611700	100.00	2
Cd44	N	2zpy_B	0.079600	100.00	2
Kdm1a	N	2v1d_A	0.190100	99.86	3
Polr2b	N	5flm_B	0.232467	99.83	12
Hspa8	N	2qwo_A	0.068900	99.75	2
Snrnp200	N	4kit_B	0.490100	99.60	2
Psma2	N	3une_A	0.454267	99.57	14
Eif3m	N	5a5t_M	0.428543	99.47	8
Ilf2	N	4at7_A	0.323800	99.45	2
Rpl18a	N	4v6x_CS	0.627975	99.43	82
Ddb1	N	2hye_A	0.095500	99.39	4
Nckap1	N	4n78_B	0.167400	99.38	6
Hdac1	N	4bkx_B	0.154700	99.38	2
Prkag1	N	4rew_G	0.122300	99.34	3
Cwc22	N	4c9b_B	0.232600	99.31	2
Atp5b	N	1mab_B	0.599050	99.16	3
Uba3	N	3gzn_B	0.292500	99.14	3
Cyfip1	N	4n78_A	0.114650	99.04	6
Rpl5	N	3jag_D	0.197398	98.97	80
Rpl9	N	4v6x_CH	0.538442	98.96	82
Eif3k	N	5a5t_K	0.359971	98.62	8
Rbpj	N	4j2x_A	0.035800	98.59	2
Copb1	N	5a1v_G	0.274400	98.45	8
Eif3l	N	5a5t_L	0.424571	98.23	8
Polr2e	N	5flm_E	0.366656	98.10	12
Pdcd10	N	4geh_A	0.145200	98.07	2
Ncbp1	N	3fey_A	0.289700	97.97	3
Cct3	N	3iyg_G	0.472243	97.67	8
Ywhab	N	4gnt_A	0.058800	97.55	2
Prpf8	N	4kit_C	0.490100	97.48	2
Cct2	N	4b2t_B	0.506557	97.38	8
Anapc7	N	4ui9_X	0.188208	97.35	18
Cct7	N	3iyg_H	0.479900	97.28	8
Eif3h	N	5a5t_H	0.449057	97.16	8
Psmb6	N	4r3o_H	0.492577	97.03	14
Pcna	N	1ul1_A	0.611700	96.93	2
Eif3c	N	5a5t_C	0.452857	96.80	8
Scp2	N	2c0l_B	0.158700	96.72	2
Cyth2	N	1s9d_E	0.328000	96.55	2
Psmb5	N	4r3o_L	0.491662	96.52	14
Gtf2f1	N	1f3u_B	0.379700	96.49	2
Cops6	N	4wsn_F	0.346586	96.07	8
Cct5	N	4b2t_E	0.478900	95.56	8
Arpc1b	N	3rse_C	0.316817	95.43	8
Mrpl12	N	2ftc_E	0.434300	94.89	16
Epha2	N	3hei_A	0.110600	94.83	2
Ash2l	N	5f6k_A	0.129450	94.57	4
Khdrbs1	N	3qhe_B	0.226200	94.55	2
Exosc4	N	2nn6_B	0.298629	94.38	9
Suclg1	N	2fp4_A	0.363400	93.77	2
Cdk4	N	3g33_A	0.249000	93.18	2
Atp5d	N	2xnd_H	0.500900	93.13	6
Nup107	N	3cqg_A	0.451700	93.09	2
Ccnb1	N	2jgz_B	0.426500	93.08	2
Cks2	N	4y72_C	0.724950	92.86	3
Fn1	N	3ejh_A	0.431100	92.47	2
Etfb	N	1t9g_S	0.407800	92.16	3
Mrpl13	N	5aj4_BN	0.375281	92.13	83
Gnas	N	1u0h_C	0.169650	91.88	3
Cox6b1	N	2y69_H	0.482450	91.86	13
S100a10	N	4ftg_A	0.340500	91.67	3
Sec24d	N	3efo_B	0.225100	91.56	3
Itga5	N	4wk4_A	0.233500	91.56	3
Prim1	N	4rr2_A	0.595400	90.48	2
Mrps25	N	5aj4_Ac	0.357495	89.35	83
Wdr77	N	4gqb_B	0.437800	88.95	3
Msh6	N	2o8e_B	0.517600	88.65	2
Uqcrc1	N	2ybb_A	0.405733	87.67	37
Mrpl38	N	5aj4_Bb	0.324989	87.63	83
Mrps7	N	5aj4_AG	0.366803	87.02	83
Atp5f1	N	4b2q_T	0.543000	86.82	10
Mrps11	N	5aj4_AK	0.355618	86.76	83
Mrpl3	N	2ftc_C	0.314821	86.73	16
Pitrm1	N	4nge_A	-0.051400	86.69	3
Rpa1	N	1l1o_C	0.427700	86.19	3
Uqcrc2	N	1qcr_B	0.397863	85.11	11
Mrpl39	N	3j9m_7	0.314035	84.91	81
Pola1	N	4y97_B	0.424800	84.44	2
Atp5j	N	4b2q_V	0.441475	83.33	10
Ranbp2	N	3uin_D	0.168850	82.61	4
Uqcrq	N	4d6t_G	0.456186	81.71	9
Dap3	N	3j9m_AX	0.270011	80.65	81
Eif3f	N	5a5t_F	0.386657	76.10	8
Mcm3ap	N	4dhx_A	0.144500	73.33	2
Mcm2	N	5bnx_C	0.602300	71.43	4
Gnb2l1	U	3jaj_Sg	0.541742	100.00	83
Rpl15	U	3jaj_N	0.565815	100.00	83
Rps15	U	3jaj_SP	0.557088	100.00	83
Rpl37a	U	3jaj_p	0.583598	100.00	83
Rps23	U	4v6x_AX	0.614249	100.00	82
Rplp0	U	3jag_s	0.561229	100.00	80
Rps12	U	3jag_MM	0.472549	100.00	80
Dctn2	U	5afu_d	0.223583	100.00	22
Psma1	U	3unb_E	0.465778	100.00	14
Psma5	U	3unb_D	0.493411	100.00	14
Psmb1	U	3unf_L	0.436908	100.00	14
Psmb10	U	3unf_H	0.288215	100.00	14
Psmb2	U	3unb_J	0.399722	100.00	14
Polr2g	U	5flm_G	0.263167	100.00	12
Snrpd2	U	4pjo_D	0.450286	100.00	9
Snrpb	U	4pjo_B	0.408143	100.00	9
Eif3e	U	5a5t_E	0.402157	100.00	8
Copb2	U	5a1v_D	0.374429	100.00	8
Arcn1	U	5a1y_H	0.322843	100.00	8
Arpc4	U	3rse_F	0.281967	100.00	8
Ppp2r1a	U	3fga_A	0.208000	100.00	5
Tubb2b	U	4o4i_B	0.178167	100.00	4
Gnb1	U	3ah8_B	0.181300	100.00	4
Magoh	U	2hyi_A	0.318650	100.00	4
Sumo2	U	3uio_B	0.223150	100.00	4
Tuba1a	U	4x1i_A	0.244950	100.00	3
Anxa2	U	4hre_A	0.433400	100.00	3
Prkaca	U	3j4q_D	0.198550	100.00	3
Rela	U	1ikn_A	0.305500	100.00	3
Rnaseh2a	U	3p5j_A	0.363650	100.00	3
Cbfb	U	3wtx_B	0.180950	100.00	3
Nfyc	U	4awl_C	0.156350	100.00	3
Jun	U	1s9k_E	0.280950	100.00	3
Dync1i2	U	2pg1_I	0.108900	100.00	3
Ube2m	U	1tt5_E	0.052200	100.00	3
Plxna1	U	3ryt_A	0.172300	100.00	2
Rbbp4	U	4pc0_A	0.177400	100.00	2
Gphn	U	1t3e_A	0.096600	100.00	2
Gnaq	U	4gnk_A	0.090600	100.00	2
Flrt2	U	4v2c_A	0.098900	100.00	2
Tln1	U	4w8p_A	0.269900	100.00	2
Ccna2	U	4i3z_B	0.431100	100.00	2
Ctnna1	U	1dow_A	0.389900	100.00	2
Eif4e	U	1ej4_A	0.110600	100.00	2
Ist1	U	3jc1_Aa	0.249900	100.00	2
Rnd3	U	2v55_B	0.193000	100.00	2
Rab7	U	1vg9_B	0.192900	100.00	2
Arl1	U	1r4a_A	0.198300	100.00	2
Smc2	U	3l51_A	0.706500	100.00	2
Parva	U	2vzd_A	0.253800	100.00	2
Mtor	U	1fap_B	0.027500	100.00	2
Rnf2	U	2h0d_B	0.317300	100.00	2
Ep300	U	1l3e_B	0.246400	100.00	2
Rbm8a	U	1p27_B	0.447600	100.00	2
Sin3a	U	1s5r_B	0.196400	100.00	2
Eny2	U	4dhx_B	0.144500	100.00	2
Dynll1	U	1f96_A	-0.007700	100.00	2
Csk	U	1jeg_A	0.179900	100.00	2
Naca	U	3mcb_A	0.589100	100.00	2
Cask	U	1y74_B	0.073600	100.00	2
Sf3b1	U	2f9d_P	0.205200	100.00	2
Yap1	U	3jua_B	0.174100	100.00	2
Fblim1	U	2k9u_B	0.169000	100.00	2
Mta1	U	4pbz_B	0.177400	100.00	2
Slc9a3r1	U	2d10_E	0.073400	100.00	2
Marcks	U	1iwq_B	0.261900	100.00	2
Nek9	U	5de2_C	0.194000	100.00	2
Pogz	U	2n3a_A	0.330500	100.00	2
Rbm39	U	4oo6_B	0.410300	100.00	2
Polr2a	U	5flm_A	0.141000	99.90	12
Cltc	U	1xi4_A	0.396700	99.82	2
Sec61a1	U	3j7q_1	0.254537	99.79	45
Ppp2r2a	U	3dw8_B	0.257350	99.78	4
Tubb2a	U	4hna_B	0.182300	99.78	4
Actr3	U	4jd2_A	0.347586	99.76	8
Eif4a1	U	2zu6_A	0.043400	99.74	2
Arnt	U	4zpk_A	0.186000	99.74	2
Actr1a	U	5afu_A	0.276450	99.73	22
Hdac3	U	4a69_A	0.141000	99.73	2
Ap2a2	U	2jkr_A	0.308100	99.68	5
Ctnna2	U	4ons_A	-0.010100	99.60	2
Fanci	U	3s4w_A	0.462300	99.54	2
Stag2	U	4pjw_A	0.495500	99.49	2
Rab5a	U	4q9u_B	0.180650	99.42	3
Cdk13	U	5efq_A	0.074900	99.42	2
Vta1	U	2lxm_A	0.160000	99.40	2
Rpl12	U	3jaj_K	0.588231	99.39	83
Skp1a	U	4i6j_C	0.101700	99.39	3
Plxnb2	U	5e6p_A	0.281100	99.36	2
Rad21	U	4pjw_B	0.495500	99.29	2
Pik3r1	U	4ovu_B	0.280100	99.28	2
Sema3a	U	4gza_G	0.109850	99.26	3
Pspc1	U	3sde_A	0.232700	99.23	2
Tnpo1	U	4fdd_A	0.233600	99.18	2
H2afy	U	2f8n_G	0.072500	99.17	6
Gtf2f2	U	1f3u_A	0.379700	99.15	2
Rplp2	U	4v6x_Cu	0.614355	99.13	82
Enah	U	2iyb_A	0.072100	99.12	2
Cops2	U	4d18_B	0.242314	99.11	8
Tead1	U	3kys_A	0.373800	99.09	2
Eef2	U	4v6x_Az	0.422045	99.07	82
Nfkb2	U	3jv6_B	0.668800	99.07	2
Vps25	U	2zme_C	0.282400	99.02	3
Cbl	U	4a4c_A	0.253900	98.98	3
Srp68	U	4ue5_C	0.090867	98.97	6
Chp1	U	2e30_A	0.030400	98.97	2
Dctn1	U	1txq_A	0.131800	98.92	2
Atp5a1	U	2f43_A	0.591000	98.82	3
Sf3a1	U	2dt7_B	0.349300	98.82	2
Ap1b1	U	4hmy_B	0.148525	98.81	5
Myo1c	U	4r8g_E	0.167800	98.81	2
Psmc4	U	2dvw_B	0.264900	98.80	2
Capzb	U	3aa0_B	0.149550	98.77	3
Stub1	U	2c2v_S	0.312500	98.72	3
Ints3	U	4owt_A	0.203600	98.71	3
Napa	U	3j96_G	0.152875	98.65	5
Cops3	U	4d18_C	0.345371	98.59	8
Rplp1	U	2lbf_A	0.778800	98.55	2
Cops4	U	4d18_D	0.382157	98.54	8
Cfap36	U	4zi2_C	0.210000	98.52	2
Wasl	U	2lnh_A	0.119200	98.46	3
Fzr1	U	4ui9_R	0.186038	98.38	18
Snrnp70	U	4pjo_K	0.275171	98.33	9
Prkaa1	U	4qfg_A	0.097050	98.21	3
Gnai3	U	4g5r_A	0.190500	98.18	2
Cdc16	U	3hym_B	0.210600	98.18	2
Cops5	U	4d18_E	0.349114	98.17	8
Nkx2-5	U	4s0h_B	0.372400	98.11	2
Capn2	U	1df0_A	0.308100	97.86	2
Arpc3	U	3rse_E	0.304117	97.75	8
Gatad2a	U	2l2l_A	0.243700	97.67	2
Egfr	U	4zjv_A	0.331000	97.58	2
Vps26a	U	4p2a_A	0.143800	97.55	2
Mcl1	U	2jm6_B	0.227700	97.53	2
Ptpn23	U	5crv_A	0.071900	97.51	2
Pik3cb	U	2y3a_A	-0.048300	97.44	2
Sf3a3	U	2dt7_A	0.349300	97.37	2
Atp1a1	U	3wgu_A	0.261200	97.24	3
Sbds	U	5anb_J	0.118300	97.20	11
Copa	U	3mkr_B	0.219500	97.19	2
Gps1	U	4d18_A	0.305700	97.08	8
Ccnt1	U	3tni_B	0.173600	96.91	2
Cdc27	U	5a31_F	0.159008	96.84	18
Stk3	U	5brm_G	0.511600	96.77	2
Actr10	U	5afu_J	0.202400	96.57	22
Smc1a	U	2wd5_A	0.432600	96.57	2
Nfrkb	U	4wlp_B	0.051500	96.49	2
Myo1b	U	4l79_A	0.161600	96.24	2
2210018M11Rik	U	2fmm_E	0.179900	96.24	2
Vps33a	U	4bx9_A	0.168600	96.20	2
Ppme1	U	3c5w_P	0.255800	96.13	3
Ube2c	U	4yii_U	0.076100	96.13	2
Snrpa	U	3pgw_A	0.365033	96.10	9
Snx27	U	4p2a_B	0.143800	96.04	2
Tcp1	U	3iyg_A	0.512657	96.03	8
Cenpc1	U	4x23_U	0.046800	96.00	5
Sun2	U	4fi9_A	0.140700	95.90	2
Cct8	U	4b2t_Q	0.466157	95.62	8
Tnk2	U	1cf4_B	0.057200	95.45	2
Dld	U	1zy8_A	0.400900	95.36	2
Atp5c1	U	2f43_G	0.472350	95.24	3
Smc4	U	3l51_B	0.706500	95.18	2
Cul4a	U	2hye_C	0.095500	95.13	4
Atp2b1	U	1cff_B	0.250000	95.00	2
Pex19	U	3mk4_B	0.332700	95.00	2
Nup155	U	5a9q_A	0.416525	94.90	10
Cpsf6	U	3q2s_C	0.366700	94.76	2
Hspbp1	U	1xqs_A	-0.022400	94.64	2
Pcid2	U	3t5x_A	0.106300	94.09	2
Anapc2	U	4ui9_N	0.184223	93.92	18
Rabep1	U	1x79_B	-0.008300	93.75	2
Aurka	U	3ha6_A	0.792700	93.66	2
Mad2l1	U	1go4_A	0.180000	93.66	2
Ppib	U	3ici_A	-0.097900	93.62	2
Hnrnpm	U	2ot8_C	0.274200	93.33	2
Rnf25	U	5d1k_B	0.156300	93.23	2
Srpr	U	2go5_1	0.112700	92.97	7
Keap1	U	3wn7_A	0.052600	92.93	2
Vps16	U	4bx9_C	0.168600	92.93	2
Itgav	U	3ije_A	0.179800	92.76	2
Hspd1	U	4pj1_A	0.576500	92.65	2
Plec	U	4q57_B	0.150000	92.62	2
Itgb1	U	4wk4_B	0.233500	92.58	3
Farsa	U	3l4g_A	0.305300	92.52	2
Msh2	U	3thw_A	0.333300	92.51	2
Esrra	U	3d24_A	0.173400	92.49	2
Nfkbia	U	1ikn_D	0.334900	92.37	3
Myh9	U	2lnk_C	0.218000	92.31	2
Mrpl11	U	5aj4_BK	0.379487	92.19	83
Mcm6	U	2le8_A	0.629900	92.11	2
Anapc1	U	4ui9_A	0.236308	92.08	18
Anapc5	U	4ui9_O	0.303169	92.06	18
Ube4b	U	3l1z_B	0.325300	92.00	2
Xiap	U	1nw9_A	0.211300	91.84	2
Nup85	U	5a9q_8	0.426525	91.62	10
Nup37	U	5a9q_2	0.444150	91.10	10
Uqcr11	U	1sqp_K	0.505263	91.07	11
Stx7	U	1gl2_B	0.141567	90.77	4
Gemin2	U	3s6n_2	0.271820	90.71	7
Lman1	U	3lcp_A	0.309800	90.69	2
Suclg2	U	4xx0_B	0.363400	90.63	2
Nup160	U	5a9q_1	0.373438	90.53	10
Shc1	U	2l1c_A	0.173200	90.52	2
Apbb2	U	2roz_B	0.259900	90.44	2
Glyr1	U	4gur_B	0.124700	90.32	3
Bcor	U	4hpl_A	0.029600	89.92	2
Obsl1	U	3knb_B	0.311600	89.72	2
Rars	U	4r3z_B	0.369550	89.48	3
Prim2	U	4rr2_B	0.595400	89.39	2
Exosc2	U	2nn6_H	0.353986	89.29	9
Ap1s1	U	4p6z_S	0.171933	89.24	6
Arhgdib	U	1ds6_B	0.600900	88.89	2
Psmd4	U	1p9d_S	0.437600	88.89	2
Arhgef1	U	1shz_C	-0.052200	88.84	2
Ephb4	U	2hle_A	0.213800	88.83	2
Exosc5	U	2nn6_D	0.303486	88.61	9
Mrpl24	U	3iy9_N	0.282471	88.54	19
Sptan1	U	2fot_C	0.254000	88.10	2
Gstm5	U	3gtu_B	0.161400	87.95	2
Mrpl14	U	5aj4_BO	0.292913	87.59	83
S100a4	U	4cfr_A	0.218000	87.50	2
Mrpl4	U	3iy9_D	0.334529	87.43	19
Atp7a	U	2k1r_A	0.146200	86.30	2
Mrpl27	U	5aj4_B0	0.351535	85.81	83
Tnfaip3	U	3oj4_C	0.023000	85.71	3
Ltn1	U	3j92_0	0.147385	85.45	47
Lrpap1	U	2fyl_A	0.168800	85.19	2
Hexa	U	2gjx_A	0.394200	84.62	2
Eprs	U	5a34_A	0.267200	84.57	2
Casp3	U	1i3o_B	0.309200	84.55	3
Gcc2	U	3bbp_D	0.169100	84.51	2
Cul2	U	4wqo_D	0.121900	84.41	4
Aimp2	U	5a34_B	0.267200	84.17	2
Mrps5	U	5aj4_AE	0.337768	84.15	83
Pola2	U	4y97_A	0.424800	83.28	2
B4galt1	U	1nf5_B	0.016300	83.22	2
Mrpl49	U	3j9m_g	0.358783	83.13	81
Incenp	U	4af3_D	0.740600	83.10	2
Exosc3	U	2nn6_G	0.358914	83.04	9
Kif23	U	3vhx_B	0.223400	82.50	2
Emd	U	2odg_C	0.238300	80.85	2
Mrps9	U	5aj4_AI	0.286173	80.71	83
Pdhx	U	2f5z_K	0.400900	79.69	2
Trappc5	U	2j3r_B	0.157800	79.62	2
Tpx2	U	4c3p_B	0.792700	79.07	2
Lig3	U	3qvg_A	0.153600	78.65	2
Drap1	U	1jfi_A	0.044300	78.57	3
Mrps22	U	3j9m_AR	0.340349	78.06	81
Mina	U	4bxf_A	0.134100	77.15	2
Vps4b	U	2jqk_A	0.330300	74.16	2
Mad1l1	U	1go4_E	0.180000	73.00	2
Osbp	U	2rr3_B	0.123900	72.34	2
Abce1	E	3jag_jj	0.231496	100.00	80
Psma3	E	3unb_F	0.409800	100.00	14
Psma7	E	3une_C	0.486122	100.00	14
Psmb8	E	3unf_K	0.243992	100.00	14
Snrpe	E	4pjo_E	0.382886	100.00	9
Snrpc	E	4pjo_L	0.392414	100.00	9
Actr2	E	4jd2_B	0.313486	100.00	8
Etf1	E	5a8l_Q	0.282350	100.00	5
Ap2m1	E	2jkr_M	0.264700	100.00	5
Cul1	E	1ldk_B	0.203000	100.00	5
Tuba1b	E	4i4t_A	0.113667	100.00	4
Sec22b	E	3egd_C	0.224750	100.00	4
Tceb2	E	4jgh_B	0.117600	100.00	4
Sumo1	E	3uip_B	0.183050	100.00	4
Casc3	E	2hyi_D	0.227950	100.00	4
Prkar2a	E	3j4q_B	0.185700	100.00	3
Uchl5	E	4wlr_A	0.146000	100.00	3
Kif2c	E	3edl_D	0.065300	100.00	3
Ppp2ca	E	2ie3_C	0.342300	100.00	3
Rap1b	E	4hdq_B	0.146200	100.00	3
Arf6	E	4fme_C	0.279800	100.00	3
Ube2n	E	3von_C	0.342500	100.00	3
Tpm1	E	4a7f_B	0.492500	100.00	3
Runx1	E	1io4_C	0.190600	100.00	3
Mtpn	E	2kxp_C	0.404950	100.00	3
Rnaseh2c	E	3p5j_C	0.364100	100.00	3
Adrm1	E	4wlr_B	0.146000	100.00	3
Psip1	E	3u88_C	0.141300	100.00	3
Nedd8	E	1r4m_I	0.136200	100.00	3
Kdm2a	E	4qwn_B	0.139100	100.00	3
Creb1	E	2lxt_C	0.297250	100.00	3
Cd2ap	E	3aa6_C	0.149150	100.00	3
Wasf2	E	2a40_C	0.008800	100.00	3
Lrrc16a	E	3aa0_C	0.051800	100.00	3
Pqbp1	E	4bws_B	0.250150	100.00	3
Kpnb1	E	1ukl_A	0.303600	100.00	2
Vcp	E	5c1b_A	0.249800	100.00	2
Eed	E	2qxv_A	0.330400	100.00	2
Actb	E	3b63_L	0.489300	100.00	2
Diap1	E	1z2c_B	0.168500	100.00	2
Mapk1	E	3o71_A	0.096300	100.00	2
Kcnab2	E	3lut_A	0.264400	100.00	2
Mlkl	E	4m69_B	0.296800	100.00	2
Upf2	E	1uw4_B	0.318300	100.00	2
Vcl	E	4dj9_A	0.255700	100.00	2
Plk1	E	5dmv_C	-0.022800	100.00	2
Cnot1	E	4ct6_A	0.301000	100.00	2
Plcg1	E	3gqi_B	0.155300	100.00	2
Nudt21	E	3q2s_A	0.366700	100.00	2
Smad2	E	1u7v_A	0.160600	100.00	2
Smad3	E	1u7f_A	0.207000	100.00	2
Smc3	E	2wd5_B	0.432600	100.00	2
Arf1	E	1r8q_A	0.328000	100.00	2
Cdc42	E	3eg5_A	0.243600	100.00	2
Rac1	E	1foe_B	0.108500	100.00	2
Ilk	E	2kbx_A	0.233400	100.00	2
Clint1	E	2v8s_E	0.134900	100.00	2
Prkar2b	E	3idb_B	0.197200	100.00	2
Xpo1	E	2l1l_B	0.132900	100.00	2
Gabpa	E	1awc_A	0.310500	100.00	2
Nsfl1c	E	1s3s_G	0.388100	100.00	2
U2af2	E	2m0g_B	0.262700	100.00	2
Srsf1	E	4c0o_C	0.345000	100.00	2
Ikbkg	E	4owf_A	0.075200	100.00	2
Nploc4	E	2pjh_A	0.270700	100.00	2
Pak1	E	1f3m_A	0.157000	100.00	2
Lims1	E	2kbx_B	0.233400	100.00	2
Btf3	E	3lkx_A	0.589100	100.00	2
Nup62	E	3t97_A	0.295500	100.00	2
Meis1	E	4xrs_A	0.082600	100.00	2
Gga1	E	1j2j_B	0.091800	100.00	2
Ezh2	E	2qxv_B	0.330400	100.00	2
Bax	E	2xa0_C	0.064200	100.00	2
Baiap2	E	4js0_B	0.110300	100.00	2
Actn1	E	1ydi_B	0.364300	100.00	2
Ppp3ca	E	2jzi_B	0.300300	100.00	2
Gpsm2	E	4g5r_E	0.190500	100.00	2
Fus	E	4fdd_B	0.233600	100.00	2
Ncor1	E	3n00_B	0.038300	100.00	2
Gspt1	E	2rqh_A	0.304900	100.00	2
Kmt2a	E	2msr_A	0.219600	100.00	2
Chmp4b	E	3c3q_B	0.228800	100.00	2
Pex5	E	2w84_B	0.259200	100.00	2
Sart1	E	4pyu_C	0.128900	100.00	2
Ncor2	E	1kkq_E	0.027100	100.00	2
Hcfc1	E	4n3c_B	0.292400	100.00	2
Rps6ka1	E	3tei_B	0.014500	100.00	2
Errfi1	E	2rfd_C	0.331000	100.00	2
Itch	E	2p4r_T	0.032200	100.00	2
Syne2	E	4fi9_B	0.140700	100.00	2
Ncoa5	E	2j7x_B	-0.083300	100.00	2
Prdx4	E	3wgx_C	0.266400	100.00	2
Rnh1	E	3tsr_E	0.005800	99.78	2
Kif5b	E	4atx_C	0.132250	99.71	3
Gna13	E	3cx7_A	0.057500	99.70	2
Msn	E	1sgh_A	0.122400	99.66	2
Ccnk	E	5efq_B	0.074900	99.63	2
Ywhaz	E	1ib1_A	-0.112400	99.59	2
Smad4	E	1u7v_B	0.160600	99.58	2
Pafah1b2	E	1vyh_A	0.262000	99.56	2
Mob1a	E	5brk_A	0.341800	99.54	2
Gtf2b	E	1c9b_A	0.210500	99.52	2
Fmnl3	E	4eah_A	0.012600	99.50	2
Mat2a	E	4ndn_A	0.150200	99.49	2
Ilf3	E	4at7_B	0.323800	99.48	2
Rhoc	E	1z2c_A	0.168500	99.48	2
Rhoa	E	1cc0_A	0.257000	99.47	2
Rab6a	E	3cwz_A	0.254800	99.47	2
Gsk3b	E	3zrm_A	0.040000	99.46	2
Cand1	E	1u6g_C	0.337900	99.43	3
