gene	struc	chn	decay.class	qtype	unq	tot	species	
Krt5	3tnu	B	X	het	2	4	mouse
Trim41	2egm	A	X	mon	1	1	mouse
Gucy1a2	4ni2	A	X	het	2	2	mouse
Rbm8a	2hyi	B	U	het	4	4	mouse
Tsc22d3	1dip	A	X	hom	1	2	mouse
Eno1b	2psn	A	N	hom	1	2	mouse
Magi1	2i04	A	X	het	2	4	mouse
Jun	1s9k	E	U	het	3	3	mouse
Ficd	4u0u	A	X	hom	1	2	mouse
Acot3	3hlk	A	X	mon	1	1	mouse
Ighv1-50	1jhl	H	X	het	3	3	mouse
Hgd	1ey2	A	X	hom	1	6	mouse
Cst7	2ch9	A	X	hom	1	2	mouse
Lmo4	1rut	X	X	mon	1	1	mouse
Fndc3a	1wk0	A	X	mon	1	1	mouse
Sox11	3u2b	C	X	mon	1	1	mouse
Snrpd1	3cw1	B	X	het	9	9	mouse
Nde1	2v66	B	X	hom	1	4	mouse
Ighv5-6	1qle	H	X	het	6	6	mouse
Sox3	1gt0	D	X	het	2	2	mouse
Arcn1	5a1y	H	U	het	8	21	mouse
Galns	4fdi	A	X	hom	1	2	mouse
Parvb	4edn	A	N	het	2	2	mouse
Card11	4jup	A	X	hom	1	2	mouse
Cabp4	2m28	A	X	mon	1	1	mouse
Mylpf	2w4g	B	X	het	3	3	mouse
Hk1	4foe	A	X	hom	1	2	mouse
Igkv3-1	1qnz	L	X	het	3	3	mouse
Hdac2	4bkx	B	E	het	2	4	mouse
Klra9	1ja3	A	X	hom	1	2	mouse
Smarca4	2dat	A	N	mon	1	1	mouse
Inip	4oww	C	X	het	3	3	mouse
Rpl27-ps3	3jaj	Z	X	het	83	83	mouse
Snrnp70	4pjo	K	U	het	9	9	mouse
Arfip2	1i4d	A	X	het	2	3	mouse
Serpina3k	1yxa	A	X	mon	1	1	mouse
Krt8	3tnu	B	X	het	2	4	mouse
Synj2bp	2eno	A	X	mon	1	1	mouse
Pabpc4	2rqg	B	E	het	2	2	mouse
Sds	1p5j	A	X	mon	1	1	mouse
Igkv4-63	3ab0	C	X	het	3	3	mouse
Gsc	2dmu	A	X	mon	1	1	mouse
Cpd	1qmu	A	E	hom	1	3	mouse
Sec61a2	3j7r	1	X	het	79	79	mouse
Trim32	2ct2	A	U	mon	1	1	mouse
Crybg3	4fd9	A	X	mon	1	1	mouse
2610002M06Rik	3eab	G	X	het	2	2	mouse
Adk	4o1l	A	U	hom	1	2	mouse
Gata1	2l6z	A	X	het	3	3	mouse
Arg1	1hqf	A	X	hom	1	3	mouse
Crygc	1elp	A	X	hom	1	2	mouse
Syn3	2p0a	A	X	hom	1	4	mouse
Dxo	4j7n	A	X	mon	1	1	mouse
Pkp2	3tt9	A	X	mon	1	1	mouse
Mrpl35	5aj4	B8	X	het	83	83	mouse
