struc	unq	tot	sym	p1	p1score	p1cls	p2	p2score	p2cls	int
1f66	4	8	C2	P62806	0.9367234	N	Q6ZWY9	0.264898	U	948.6
1f66	4	8	C2	P84228	0.02762913	E	Q3THW5	0.7709873	U	1245.4
1f66	4	8	C2	Q3THW5	0.7709873	U	Q3THW5	0.7709873	U	350.7
1f66	4	8	C2	Q6ZWY9	0.264898	U	Q6ZWY9	0.264898	U	15.2
1f66	4	8	C2	Q3THW5	0.7709873	U	Q6ZWY9	0.264898	U	5093.4
1f66	4	8	C2	P84228	0.02762913	E	P62806	0.9367234	N	5046.8
1f66	4	8	C2	P84228	0.02762913	E	P84228	0.02762913	E	1218.5
1f66	4	8	C2	P62806	0.9367234	N	Q3THW5	0.7709873	U	712.4
1f66	4	8	C2	P62806	0.9367234	N	P62806	0.9367234	N	0.0
1f66	4	8	C2	P84228	0.02762913	E	Q6ZWY9	0.264898	U	0.1
1qcr	10	10	M	Q9CZ13	0.983059	N	Q9CPX8	0.900398	N	14.3
1qcr	10	10	M	Q9CZ13	0.983059	N	Q9CR68	0.9685437	N	189.7
1qcr	10	10	M	Q9CQ69	0.9998613	N	P99028	0.08907581	E	0.0
1qcr	10	10	M	Q9CQ69	0.9998613	N	Q8R1I1	0.4265128	U	0.0
1qcr	10	10	M	Q9D0M3	0.9670172	N	Q8R1I1	0.4265128	U	8.6
1qcr	10	10	M	Q9CR68	0.9685437	N	Q9CPX8	0.900398	N	0.0
1qcr	10	10	M	Q9CZ13	0.983059	N	Q8R1I1	0.4265128	U	8.6
1qcr	10	10	M	Q9CR68	0.9685437	N	Q9CQ69	0.9998613	N	93.8
1qcr	10	10	M	Q9CZ13	0.983059	N	Q9DB77	0.9958289	N	410.2
1qcr	10	10	M	Q9D0M3	0.9670172	N	P99028	0.08907581	E	0.0
1qcr	10	10	M	Q9CZ13	0.983059	N	Q9D0M3	0.9670172	N	0.0
1qcr	10	10	M	P99028	0.08907581	E	Q8R1I1	0.4265128	U	26.6
1qcr	10	10	M	Q9D0M3	0.9670172	N	Q9CR68	0.9685437	N	7.3
1qcr	10	10	M	Q9CZ13	0.983059	N	Q9CQ69	0.9998613	N	308.7
1qcr	10	10	M	Q9D0M3	0.9670172	N	Q9CQ69	0.9998613	N	272.3
1qcr	10	10	M	Q9CR68	0.9685437	N	Q8R1I1	0.4265128	U	148.6
1qcr	10	10	M	Q8R1I1	0.4265128	U	Q9CPX8	0.900398	N	49.9
1t2k	3	4	A	P70671	0.005910676	E	P70671	0.005910676	E	0.1
1t2k	3	4	A	P70671	0.005910676	E	P05627	0.5758856	U	64.9
1t2k	3	4	A	P70671	0.005910676	E	Q3TZR9	0.8494194	U	334.5
1t2k	3	4	A	P05627	0.5758856	U	Q3TZR9	0.8494194	U	1919.8
1t9g	3	6	A	Q99LC5	0.4891803	U	Q9DCW4	0.9905775	N	3906.5
1t9g	3	6	A	P45952	0.700104	U	Q9DCW4	0.9905775	N	1377.8
1t9g	3	6	A	P45952	0.700104	U	Q99LC5	0.4891803	U	0.0
1t9g	3	6	A	P45952	0.700104	U	P45952	0.700104	U	4727.0
1w63	4	4	M	P35585	0.02035983	E	P61967	0.09146523	E	816.0
1w63	4	4	M	Q9DBG3	0.9999999	N	P35585	0.02035983	E	6136.5
1w63	4	4	M	Q9DBG3	0.9999999	N	P61967	0.09146523	E	1200.6
1w63	4	4	M	P22892	0.1818659	U	Q9DBG3	0.9999999	N	2949.6
1w63	4	4	M	P22892	0.1818659	U	P61967	0.09146523	E	6152.7
1w63	4	4	M	P22892	0.1818659	U	P35585	0.02035983	E	1101.9
1y8r	3	3	M	Q9Z1F9	0.5042732	U	P63166	0.1458069	U	2196.8
1y8r	3	3	M	Q9R1T2	0.9919579	N	P63166	0.1458069	U	16.5
1y8r	3	3	M	Q9R1T2	0.9919579	N	Q9Z1F9	0.5042732	U	4835.6
2ast	3	3	M	Q9WTX5	0.5044863	U	A0A087WQ11	0.0769602	E	2966.4
2ast	3	3	M	A0A087WQ11	0.0769602	E	P61025	0.01863796	E	1864.3
2cly	3	3	M	Q9CQQ7	0.9156653	N	G3X9L6	0.9255733	N	5531.7
2cly	3	3	M	Q9CQQ7	0.9156653	N	P97450	0.997681	N	2933.8
2cly	3	3	M	G3X9L6	0.9255733	N	P97450	0.997681	N	993.0
2f8n	6	8	-	P62806	0.9367234	N	Q6ZWY9	0.264898	U	1013.2
2f8n	6	8	-	P62806	0.9367234	N	Q8CGP6	0.913338	N	804.4
2f8n	6	8	-	P84228	0.02762913	E	Q8CGP6	0.913338	N	1310.7
2f8n	6	8	-	P62806	0.9367234	N	Q9QZQ8	0.6701912	U	754.2
2f8n	6	8	-	P84228	0.02762913	E	Q9QZQ8	0.6701912	U	1299.2
2f8n	6	8	-	Q6ZWY9	0.264898	U	Q8CGP6	0.913338	N	5133.4
2f8n	6	8	-	Q6ZWY9	0.264898	U	Q9QZQ8	0.6701912	U	107.3
2f8n	6	8	-	P84228	0.02762913	E	Q6ZWY9	0.264898	U	0.0
2f8n	6	8	-	P62806	0.9367234	N	P62806	0.9367234	N	0.0
2f8n	6	8	-	P84228	0.02762913	E	P84228	0.02762913	E	1140.8
2f8n	6	8	-	P84228	0.02762913	E	P62806	0.9367234	N	5029.8
2f8n	6	8	-	Q9QZQ8	0.6701912	U	Q8CGP6	0.913338	N	358.9
2nym	3	3	M	Q76MZ3	0.9999657	N	Q91V89	0.1350125	U	1805.7
2nym	3	3	M	Q76MZ3	0.9999657	N	P63330	0.09582701	E	2063.0
2nym	3	3	M	Q91V89	0.1350125	U	P63330	0.09582701	E	1476.9
2pbd	3	3	M	P62737	0.4594713	U	P62962	0.3468106	U	2217.3
2vgl	4	4	M	P17427	0.9685622	N	P62743	8.3e-05	E	4620.5
2vgl	4	4	M	Q9DBG3	0.9999999	N	P62743	8.3e-05	E	1243.1
2vgl	4	4	M	Q9DBG3	0.9999999	N	Q3TWV4	0.8684387	U	6538.6
2vgl	4	4	M	P17427	0.9685622	N	Q9DBG3	0.9999999	N	3534.2
2vgl	4	4	M	Q3TWV4	0.8684387	U	P62743	8.3e-05	E	1123.5
2vgl	4	4	M	P17427	0.9685622	N	Q3TWV4	0.8684387	U	2247.5
2w6h	5	9	A	P56480	1.0	N	Q8C2Q8	0.9350241	N	1427.0
2w6h	5	9	A	Q03265	0.7869257	U	P56480	1.0	N	5761.7
2w6h	5	9	A	Q8C2Q8	0.9350241	N	Q9D3D9	0.9956645	N	1960.4
2w6h	5	9	A	P56480	1.0	N	P56480	1.0	N	218.0
2w6h	5	9	A	Q03265	0.7869257	U	Q03265	0.7869257	U	0.0
2w6h	5	9	A	Q03265	0.7869257	U	Q8C2Q8	0.9350241	N	1333.2
2wss	9	13	A	Q9CQQ7	0.9156653	N	P97450	0.997681	N	3138.9
2wss	9	13	A	Q03265	0.7869257	U	Q9DB20	0.9719645	N	1711.0
2wss	9	13	A	Q03265	0.7869257	U	P97450	0.997681	N	0.0
2wss	9	13	A	Q03265	0.7869257	U	P56480	1.0	N	5444.7
2wss	9	13	A	Q8C2Q8	0.9350241	N	Q9D3D9	0.9956645	N	2005.6
2wss	9	13	A	P56480	1.0	N	P97450	0.997681	N	667.1
2wss	9	13	A	P56480	1.0	N	P56480	1.0	N	143.7
2wss	9	13	A	Q03265	0.7869257	U	Q8C2Q8	0.9350241	N	1171.2
2wss	9	13	A	Q9DB20	0.9719645	N	Q9CQQ7	0.9156653	N	1218.2
2wss	9	13	A	P56480	1.0	N	Q8C2Q8	0.9350241	N	1133.8
2wss	9	13	A	P56480	1.0	N	Q9CQQ7	0.9156653	N	0.0
2wss	9	13	A	Q03265	0.7869257	U	Q9CQQ7	0.9156653	N	12.3
2wss	9	13	A	Q03265	0.7869257	U	Q03265	0.7869257	U	0.0
2wss	9	13	A	Q9DB20	0.9719645	N	P97450	0.997681	N	526.9
2wss	9	13	A	P56480	1.0	N	Q9DB20	0.9719645	N	446.2
2wss	9	13	A	Q8C2Q8	0.9350241	N	Q9DB20	0.9719645	N	0.0
2xb2	5	5	M	Q91VC3	0.9991278	N	Q8K3W3	0.1699122	U	4229.4
2xb2	5	5	M	Q91VC3	0.9991278	N	P61327	0.9918861	N	3170.6
2xb2	5	5	M	P61327	0.9918861	N	Q8K3W3	0.1699122	U	584.4
2xrp	3	9	A	Q9CWF2	0.3979377	U	Q9JLM8	0.06441611	E	798.0
2xrp	3	9	A	Q9CWF2	0.3979377	U	P68369	0.8670816	U	3285.0
2xrp	3	9	A	P68369	0.8670816	U	P68369	0.8670816	U	420.2
2xrp	3	9	A	P68369	0.8670816	U	Q9JLM8	0.06441611	E	442.5
