Gene	Class	PDB chain	Normalised assembly order	Seqid
Cox5a	N	2ybb_P	0.166667	100.00
Psma4	N	3unb_B	0.500000	100.00
Psma6	N	3une_G	0.076923	100.00
Psmb3	N	3unb_I	0.307692	100.00
Copg1	N	5a1v_E	0.357143	100.00
Copz1	N	5a1v_F	0.714286	100.00
Psma2	N	3une_A	0.000000	99.57
Eif3m	N	5a5t_M	0.857143	99.47
Nckap1	N	4n78_B	0.100000	99.38
Cyfip1	N	4n78_A	0.100000	99.04
Eif3k	N	5a5t_K	0.071429	98.62
Copb1	N	5a1v_G	0.357143	98.45
Eif3l	N	5a5t_L	0.071429	98.23
Cct3	N	4b2t_G	0.142857	97.43
Cct2	N	4b2t_B	1.000000	97.38
Anapc7	N	4ui9_X	0.000000	97.35
Eif3h	N	5a5t_H	0.357143	97.16
Psmb6	N	4r3o_H	0.423077	97.03
Eif3c	N	5a5t_C	0.714286	96.80
Psmb5	N	4r3o_L	1.000000	96.52
Cct7	N	4b2t_H	0.571429	96.32
Cops6	N	4wsn_F	0.071429	96.07
Cct5	N	4b2t_E	0.857143	95.56
Arpc1b	N	3rse_C	0.714286	95.43
Exosc4	N	2nn6_B	0.625000	94.38
Atp5d	N	2xnd_H	0.300000	93.13
Cox6b1	N	2y69_H	0.916667	91.86
Nup107	N	5a9q_4	0.000000	91.35
Uqcrc1	N	2ybb_A	0.708333	87.67
Mrpl38	N	4v1a_b	0.357143	87.63
Atp5f1	N	4b2q_T	0.166667	86.82
Uqcrc2	N	1sqb_B	0.050000	84.77
Mrpl39	N	4v1a_c	0.261905	84.73
Atp5j	N	4b2q_V	0.333333	83.33
Uqcrq	N	4d6t_G	0.250000	81.71
Eif3f	N	5a5t_F	0.357143	76.10
Psmc5	N	5a5b_J	0.338235	73.58
Dctn2	U	5afu_d	0.850000	100.00
Psma1	U	3unb_E	0.692308	100.00
Psma5	U	3unb_D	0.807692	100.00
Psmb1	U	3unf_L	0.461538	100.00
Psmb10	U	3unf_H	0.153846	100.00
Psmb2	U	3unb_J	0.961538	100.00
Eif3e	U	5a5t_E	1.000000	100.00
Copb2	U	5a1v_D	0.071429	100.00
Arcn1	U	5a1y_H	0.571429	100.00
Arpc4	U	3rse_F	0.071429	100.00
Snrpd2	U	4v98_AB	0.285714	100.00
Polr2a	U	4gwq_H	1.000000	100.00
Actr3	U	4jd2_A	0.285714	99.76
Actr1a	U	5afu_A	0.650000	99.73
Cops2	U	4d18_B	0.428571	99.11
Mtor	U	5flc_B	0.100000	98.97
Cops3	U	4d18_C	0.714286	98.59
Cops4	U	4d18_D	0.285714	98.54
Fzr1	U	4ui9_R	0.352941	98.38
Cops5	U	4d18_E	0.071429	98.17
Arpc3	U	3rse_E	0.857143	97.75
Gps1	U	4d18_A	0.571429	97.08
Copa	U	5a1y_C	0.071429	96.99
Cdc27	U	5a31_F	0.058824	96.84
Actr10	U	5afu_J	0.525000	96.57
Cct8	U	4b2t_Q	0.571429	95.62
Tcp1	U	4b2t_A	0.000000	95.50
Cdc16	U	4ui9_K	0.117647	95.00
Nup155	U	5a9q_A	0.666667	94.90
Anapc2	U	4ui9_N	0.705882	93.92
Anapc1	U	4ui9_A	0.205882	92.08
Anapc5	U	4ui9_O	0.205882	92.06
Nup85	U	5a9q_8	0.833333	91.62
Nup37	U	5a9q_2	0.555556	91.10
Uqcr11	U	1sqp_K	0.900000	91.07
Gemin2	U	3s6n_2	0.083333	90.71
Nup160	U	5a9q_1	0.444444	90.53
Exosc2	U	2nn6_H	0.750000	89.29
Ap1s1	U	4p6z_S	0.100000	89.24
Exosc5	U	2nn6_D	0.312500	88.61
Ube2c	U	5a31_Q	0.882353	87.65
Exosc3	U	2nn6_G	0.875000	83.04
Mrpl49	U	4v1a_l	0.738095	80.72
Atp5o	U	5ara_S	1.000000	80.53
Atp6v1b2	U	3j9t_B	0.500000	73.89
Actb	E	5afu_H	0.525000	100.00
Psma3	E	3unb_F	0.500000	100.00
Psma7	E	3une_C	0.692308	100.00
Psmb8	E	3unf_K	0.923077	100.00
Actr2	E	4jd2_B	0.428571	100.00
Snrpe	E	4v98_AC	0.571429	100.00
Arpc5	E	4jd2_G	0.571429	99.34
Arpc2	E	4jd2_D	0.071429	99.00
Cops7a	E	4d18_G	0.857143	97.30
Sec13	E	5a9q_6	0.277778	96.89
Capza1	E	5afu_K	0.425000	96.73
Seh1l	E	5a9q_7	0.833333	96.11
Cct4	E	4b2t_D	0.571429	95.94
Nup43	E	5a9q_0	1.000000	93.68
Cops8	E	4d18_H	1.000000	93.43
Anapc4	E	4ui9_I	0.470588	93.32
Eif3a	E	5a5t_A	0.571429	92.80
Dctn6	E	5afu_U	0.900000	87.50
Nup133	E	5a9q_3	0.111111	83.22
