comp	usubs	uniprot	avgcoex	def	species
1	2	Q6NZM9	NA	ED	mouse_homologs
100	4	Q60973	0.34665	UN	mouse_homologs
100	4	Q91ZW3	0.36015	NED	mouse_homologs
100	4	Q60972	0.3652	UN	mouse_homologs
1000	2	Q9ER41	NA	UN	mouse_homologs
1001	12	Q04750	0.143925	UN	mouse_homologs
1001	12	Q01320	0.5284875	UN	mouse_homologs
1001	12	P20664	0.5475125	NED	mouse_homologs
1001	12	P33609	0.504525	NED	mouse_homologs
1001	12	P33610	0.4832625	NED	mouse_homologs
1001	12	P52431	0.4653	NED	mouse_homologs
1001	12	P37913	0.54205	UN	mouse_homologs
1001	12	P17918	0.4833625	NED	mouse_homologs
1001	12	P33611	0.440175	NED	mouse_homologs
1002	2	H7BWY4	NA	UN	mouse_homologs
1003	9	Q99J62	0.5203625	UN	mouse_homologs
1003	9	P33609	0.4889875	NED	mouse_homologs
1003	9	Q9D0F6	0.5280625	NED	mouse_homologs
1003	9	P35601-2	0.368125	UN	mouse_homologs
1003	9	Q9WUK4	0.4245875	UN	mouse_homologs
1003	9	Q8R323	0.469775	UN	mouse_homologs
1003	9	P51943	0.4928375	ED	mouse_homologs
1003	9	P33611	0.4401	NED	mouse_homologs
1003	9	P97377-2	0.3937875	ED	mouse_homologs
1004	13	Q04750	0.13422	UN	mouse_homologs
1004	13	Q9WVF7	0.46388	UN	mouse_homologs
1004	13	P33609	0.44656	NED	mouse_homologs
1004	13	P52431	0.44717	NED	mouse_homologs
1004	13	P35601-2	0.36077	UN	mouse_homologs
1004	13	P37913	0.47605	UN	mouse_homologs
1004	13	P51943	0.44325	ED	mouse_homologs
1004	13	Q8VEE4	0.38836	NED	mouse_homologs
1004	13	P97377-2	0.35006	ED	mouse_homologs
1004	13	Q921K2	0.35094	UN	mouse_homologs
1004	13	Q9WUK4	0.38586	UN	mouse_homologs
1005	13	Q04750	0.13671	UN	mouse_homologs
1005	13	P11440	0.49953	UN	mouse_homologs
1005	13	P24860	0.4922	UN	mouse_homologs
1005	13	P33609	0.46436	NED	mouse_homologs
1005	13	P52431	0.44365	NED	mouse_homologs
1005	13	P35601-2	0.35996	UN	mouse_homologs
1005	13	Q9WUK4	0.3851	UN	mouse_homologs
1005	13	P51943	0.50495	ED	mouse_homologs
1005	13	Q8VEE4	0.38321	NED	mouse_homologs
1005	13	Q921K2	0.34574	UN	mouse_homologs
1005	13	Q9WVF7	0.47963	UN	mouse_homologs
1006	6	P63260	0.1712	UN	mouse_homologs
1006	6	Q9DCN2-2	0.21195	UN	mouse_homologs
1006	6	Q60634-3	0.22245	ED	mouse_homologs
1006	6	P60710	NA	UN	mouse_homologs
101	2	Q91ZW3	NA	NED	mouse_homologs
1010	3	Q61458	0.2911	ED	mouse_homologs
1010	3	Q03147	0.2983	ED	mouse_homologs
1010	3	P51949	0.322	UN	mouse_homologs
