struc	unq	tot	sym	prot	s	ab	dcls
1f66	4	8	C2	P84228	0.02762913	0.1564886	E
1f66	4	8	C2	P62806	0.9367234	10.27271	N
1f66	4	8	C2	Q3THW5	0.7709873	0.6758571	U
1f66	4	8	C2	Q6ZWY9	0.264898	7.713498	U
1qcr	10	10	M	Q9CZ13	0.983059	0.1164888	N
1qcr	10	10	M	Q9DB77	0.9958289	0.1157239	N
1qcr	10	10	M	Q9D0M3	0.9670172	0.1219802	N
1qcr	10	10	M	Q9CR68	0.9685437	0.03697938	N
1qcr	10	10	M	Q9CQ69	0.9998613	0.2176387	N
1qcr	10	10	M	P99028	0.08907581	0.05455128	E
1qcr	10	10	M	Q8R1I1	0.4265128	0.1395268	U
1qcr	10	10	M	Q9CPX8	0.900398	0.3186634	N
1t2k	3	4	A	P70671	0.005910676	0.003733915	E
1t2k	3	4	A	P05627	0.5758856	0.1962508	U
1t2k	3	4	A	Q3TZR9	0.8494194	0.02401904	U
1t9g	3	6	A	P45952	0.700104	0.03520462	U
1t9g	3	6	A	Q99LC5	0.4891803	0.1558663	U
1t9g	3	6	A	Q9DCW4	0.9905775	0.1248154	N
1w63	4	4	M	P22892	0.1818659	0.01975598	U
1w63	4	4	M	Q9DBG3	0.9999999	0.06370341	N
1w63	4	4	M	P35585	0.02035983	0.01171441	E
1w63	4	4	M	P61967	0.09146523	0.02390881	E
1y8r	3	3	M	Q9R1T2	0.9919579	0.120057	N
1y8r	3	3	M	Q9Z1F9	0.5042732	0.1742142	U
1y8r	3	3	M	P63166	0.1458069	0.3050342	U
2ast	3	3	M	Q9WTX5	0.5044863	0.1889426	U
2ast	3	3	M	A0A087WQ11	0.0769602	0.02361456	E
2ast	3	3	M	P61025	0.01863796	0.2096758	E
2ast	3	3	M	P46414	0.994978	0.01551099	N
2cly	3	3	M	Q9CQQ7	0.9156653	0.04409237	N
2cly	3	3	M	G3X9L6	0.9255733	0.1095496	N
2cly	3	3	M	P97450	0.997681	0.3114924	N
2f8n	6	8	-	P84228	0.02762913	0.1564886	E
2f8n	6	8	-	P62806	0.9367234	10.27271	N
2f8n	6	8	-	Q6ZWY9	0.264898	7.713498	U
2f8n	6	8	-	Q9QZQ8	0.6701912	0.04867001	U
2f8n	6	8	-	Q8CGP6	0.913338	11.45788	N
2nym	3	3	M	Q76MZ3	0.9999657	0.2737624	N
2nym	3	3	M	Q91V89	0.1350125	0.01661747	U
2nym	3	3	M	P63330	0.09582701	0.09750181	E
2pbd	3	3	M	P62737	0.4594713	0.7980109	U
2pbd	3	3	M	P62962	0.3468106	5.325965	U
2pbd	3	3	M	P70460	0.06057411	0.01636644	E
2vgl	4	4	M	P17427	0.9685622	0.02920788	N
2vgl	4	4	M	Q9DBG3	0.9999999	0.06370341	N
2vgl	4	4	M	Q3TWV4	0.8684387	0.01613813	U
2vgl	4	4	M	P62743	8.3e-05	0.01870323	E
2w6h	5	9	A	Q03265	0.7869257	0.712768	U
2w6h	5	9	A	P56480	1.0	0.9552752	N
2w6h	5	9	A	Q8C2Q8	0.9350241	0.2199666	N
2w6h	5	9	A	Q9D3D9	0.9956645	0.1196918	N
2wss	9	13	A	Q03265	0.7869257	0.712768	U
2wss	9	13	A	P56480	1.0	0.9552752	N
2wss	9	13	A	Q8C2Q8	0.9350241	0.2199666	N
2wss	9	13	A	Q9D3D9	0.9956645	0.1196918	N
2wss	9	13	A	Q9DB20	0.9719645	0.1610035	N
2wss	9	13	A	Q9CQQ7	0.9156653	0.04409237	N
2wss	9	13	A	G3X9L6	0.9255733	0.1095496	N
2wss	9	13	A	P97450	0.997681	0.3114924	N
2xb2	5	5	M	Q91VC3	0.9991278	0.1416385	N
2xb2	5	5	M	P61327	0.9918861	0.08886307	N
2xb2	5	5	M	Q3ULL6	0.01070585	0.02688951	E
2xb2	5	5	M	Q8K3W3	0.1699122	0.005905934	U
2xrp	3	9	A	Q9CWF2	0.3979377	0.02209016	U
2xrp	3	9	A	P68369	0.8670816	0.188383	U
2xrp	3	9	A	Q9JLM8	0.06441611	0.03352848	E
3c5w	3	3	M	Q76MZ3	0.9999657	0.2737624	N
3c5w	3	3	M	P63330	0.09582701	0.09750181	E
3c5w	3	3	M	Q8BVQ5	0.9994973	0.05280201	N
3dw8	3	3	M	Q76MZ3	0.9999657	0.2737624	N
3dw8	3	3	M	Q6P1F6	0.6582302	0.01921574	U
3dw8	3	3	M	P63330	0.09582701	0.09750181	E
3egx	3	3	M	Q9D662	0.8545014	0.1186047	U
3egx	3	3	M	Q3U2P1	0.08702686	0.005787545	E
3egx	3	3	M	O08547	0.5646262	0.06148984	U
3iyg	8	8	M	P11983	0.9996511	0.3652854	N
3iyg	8	8	M	P80314	0.9999976	0.8470715	N
3iyg	8	8	M	P80315	0.7611855	1.727124	U
3iyg	8	8	M	P80316	1.0	1.280131	N
3iyg	8	8	M	P80318	1.0	0.8954321	N
3iyg	8	8	M	P80313	0.9999998	0.490332	N
3iyg	8	8	M	P42932	0.9781719	2.192128	N
3j04	3	6	A	Q61879	0.6123228	0.02327277	U
3j04	3	6	A	Q9CQ19	0.4484861	0.0603461	U
3j04	3	6	A	Q8CI43	1.41e-05	0.1236951	E
3j1u	3	3	M	Q9JHU4	0.9999956	0.06946136	N
3j1u	3	3	M	P68369	0.8670816	0.188383	U
3j1u	3	3	M	Q9CWF2	0.3979377	0.02209016	U
3j8y	3	3	M	P05213	0.5803372	3.86031	U
3j8y	3	3	M	Q9CWF2	0.3979377	0.02209016	U
3j8y	3	3	M	Q61768	0.4979435	0.02072663	U
3jar	3	14	H	P05213	0.5803372	3.86031	U
3jar	3	14	H	Q9CWF2	0.3979377	0.02209016	U
3jar	3	14	H	Q6PER3	0.000872977	0.01423003	E
3jw0	3	3	M	P61079	0.3327464	0.2411972	U
3jw0	3	3	M	P46935	0.9972888	1.124353	N
3jw0	3	3	M	P62983	0.9926568	15.23064	N
3oj4	3	3	M	P61079	0.3327464	0.2411972	U
3oj4	3	3	M	P62983	0.9926568	15.23064	N
3oj4	3	3	M	Q60769	0.1525106	0.0650202	U
3tjz	3	3	M	P84078	0.4778762	0.8059535	U
3tjz	3	3	M	Q9QZE5	1.0	0.2227188	N
3tjz	3	3	M	P61924	0.9958646	0.06792331	N
3uip	4	4	M	P63280	0.09031576	0.3279979	E
3uip	4	4	M	P63166	0.1458069	0.3050342	U
3uip	4	4	M	P46061	0.139116	0.4523636	U
3uip	4	4	M	Q9ERU9	0.7344469	0.004058625	U
3une	14	28	C2	O55234	0.9999154	0.08569437	N
3une	14	28	C2	O09061	0.9838939	0.3595694	N
3une	14	28	C2	P99026	0.9949651	0.08824364	N
3une	14	28	C2	Q60692	0.9997103	0.1311428	N
3une	14	28	C2	P49722	0.9999986	0.1902446	N
3une	14	28	C2	Q9R1P0	0.9999998	0.4853379	N
3une	14	28	C2	Q9Z2U0	0.9172035	0.3962906	N
3une	14	28	C2	Q9Z2U1	0.9999695	0.3509663	N
3une	14	28	C2	Q9R1P4	0.9999413	0.536943	N
3une	14	28	C2	O70435	0.6000463	0.8911887	U
3une	14	28	C2	Q9QUM9	0.9999999	0.3559389	N
3une	14	28	C2	P70195	0.177019	0.1061098	U
3une	14	28	C2	Q9R1P1	0.9999887	0.2976882	N
3une	14	28	C2	Q9R1P3	0.989288	0.2042128	N
3wtp	5	8	A	P62806	0.9367234	10.27271	N
3wtp	5	8	A	Q8CGP6	0.913338	11.45788	N
3wtp	5	8	A	Q6ZWY9	0.264898	7.713498	U
3wtp	5	8	A	P84244	0.8277982	6.590408	U
3zjy	3	3	M	P62827	0.3160383	1.673951	U
3zjy	3	3	M	Q8K0C1	0.06993309	0.002470393	E
3zjy	3	3	M	Q8BMJ3	0.6237165	0.1676981	U
3zni	3	3	M	P22682	5.08e-06	0.002173569	E
3zni	3	3	M	P61079	0.3327464	0.2411972	U
3zni	3	3	M	P62983	0.9926568	15.23064	N
4atx	3	3	M	Q9CWF2	0.3979377	0.02209016	U
4atx	3	3	M	P68369	0.8670816	0.188383	U
4atx	3	3	M	Q61768	0.4979435	0.02072663	U
4ck7	3	3	M	P68369	0.8670816	0.188383	U
4ck7	3	3	M	Q9CWF2	0.3979377	0.02209016	U
4ck7	3	3	M	Q6P9P6	0.6574469	0.006847055	U
4d10	8	8	M	G3UXW9	0.9831658	0.05767501	N
4d10	8	8	M	P61202	0.9901496	0.05232553	N
4d10	8	8	M	O88543	0.9999943	0.06670679	N
4d10	8	8	M	O88544	0.9999883	0.08187103	N
4d10	8	8	M	O35864	0.9861414	0.05471178	N
4d10	8	8	M	Q9CZ04	0.5798172	0.01658962	U
4d10	8	8	M	Q8VBV7	0.03979981	0.04875847	E
4hmy	5	5	M	P22892	0.1818659	0.01975598	U
4hmy	5	5	M	Q9DBG3	0.9999999	0.06370341	N
4hmy	5	5	M	P84078	0.4778762	0.8059535	U
4hmy	5	5	M	P35585	0.02035983	0.01171441	E
4imy	3	3	M	Q99J95	0.8455226	0.03071661	U
4imy	3	3	M	Q9QWV9	0.4985286	0.01970123	U
4imy	3	3	M	Q9ESC8	0.000600726	0.04184321	E
4jd2	8	8	M	Q99JY9	0.999932	0.2327264	N
4jd2	8	8	M	P61161	0.76424	0.1646351	U
4jd2	8	8	M	Q9WV32	0.9988518	0.2079435	N
4jd2	8	8	M	Q9CVB6	0.4675481	0.2766062	U
4jd2	8	8	M	Q9JM76	0.9989048	0.1291767	N
4jd2	8	8	M	P59999	0.9998913	0.5265958	N
4jd2	8	8	M	Q9CPW4	0.03049294	0.09254499	E
4jd2	8	8	M	Q9CQI3	0.03697174	0.02030507	E
4lac	3	3	M	Q76MZ3	0.9999657	0.2737624	N
4lac	3	3	M	P58389	0.558237	0.07806697	U
4lac	3	3	M	P63330	0.09582701	0.09750181	E
4pjo	9	9	M	P62320	1.0	1.348215	N
4pjo	9	9	M	P27048	0.9950891	0.7347834	N
4pjo	9	9	M	P62317	0.9982405	0.189241	N
4pjo	9	9	M	P62305	5.66e-06	0.0460044	E
4pjo	9	9	M	P62307	0.05715172	0.1584291	E
4pjo	9	9	M	P62309	0.721795	0.479991	U
4pjo	9	9	M	Q62376	0.9999269	0.289276	N
4pjo	9	9	M	Q62241	0.6391788	0.1975208	U
4qfs	3	3	M	Q5EG47	0.6482516	0.02731549	U
4qfs	3	3	M	Q9R078	0.01874925	0.01767851	E
4qfs	3	3	M	O54950	0.9999484	0.02447643	N
4ue5	5	5	M	P16254	0.9946577	0.03642844	N
4ue5	5	5	M	Q8BMA6	0.9915592	0.01176495	N
4ue5	5	5	M	P14576	0.9918973	0.04542123	N
4ue5	5	5	M	P49962	0.8707642	0.1644794	U
4ue5	5	5	M	Q9D104	0.2278827	0.03132673	U
4y72	3	3	M	P11440	0.3271984	0.5567145	U
4y72	3	3	M	P24860	0.1468824	0.07890257	U
4y72	3	3	M	P56390	0.9999017	0.3414636	N
