Gene	Class	PDB chain	Normalised assembly order	Seqid
RPS27A	N	5a5b_9	0.014706	100.00
PSMA1	N	4r3o_F	0.730769	100.00
PSMA5	N	3unb_D	0.807692	100.00
PSMB4	N	4r3o_2	0.423077	100.00
PSMB1	N	4r3o_1	0.192308	100.00
NUP85	N	5a9q_8	0.833333	100.00
POLR2A	N	4gwq_H	1.000000	100.00
NCKAP1	N	4n78_B	0.100000	100.00
AP1M1	N	4p6z_M	0.500000	99.29
ANAPC5	N	4ui9_O	0.205882	98.94
ATP5B	N	2xnd_D	0.800000	98.93
COPS6	N	4wsn_F	0.071429	98.79
CCT3	N	4b2t_G	0.142857	98.53
EIF3C	N	5a5t_C	0.714286	98.34
CCT7	N	4b2t_H	0.571429	98.16
ARPC5	N	4jd2_G	0.571429	98.01
CCT5	N	4b2t_E	0.857143	97.41
CCT6A	N	4b2t_Z	0.285714	97.18
ATP5D	N	2xnd_H	0.300000	94.66
UQCRC1	N	2ybb_A	0.708333	90.36
UQCRC2	N	1sqb_B	0.050000	89.40
ATP5H	N	2wss_U	1.000000	88.14
MRPL49	N	4v1a_l	0.738095	86.75
COX5B	N	2ybb_Q	0.083333	85.71
COX6B1	N	2y69_H	0.916667	84.88
EXOSC9	N	2nn6_A	0.312500	84.36
EIF3F	N	5a5t_F	0.357143	81.04
MRPL37	N	4v1a_a	0.023810	79.67
ATP5J	N	4b2q_V	0.333333	75.76
PSMC5	N	5a5b_J	0.338235	73.58
DCTN2	U	5afu_d	0.850000	100.00
PSMA4	U	4r3o_C	0.538462	100.00
PSMA3	U	1iru_G	0.615385	100.00
PSMA7	U	4r3o_D	0.730769	100.00
PSMB2	U	1iru_K	0.923077	100.00
PSMB5	U	1iru_L	1.000000	100.00
PSMB6	U	1iru_H	0.500000	100.00
NUP155	U	5a9q_A	0.666667	100.00
NUP160	U	5a9q_1	0.444444	100.00
NUP107	U	5a9q_4	0.000000	100.00
NUP98	U	5a9q_5	0.277778	100.00
NUP37	U	5a9q_2	0.555556	100.00
SEC13	U	5a9q_6	0.277778	100.00
EIF3E	U	5a5t_E	1.000000	100.00
ACTR3	U	4jd2_A	0.285714	100.00
EIF3M	U	5a5t_M	0.857143	100.00
ARPC3	U	3rse_E	0.857143	100.00
SNRPD2	U	4v98_AB	0.285714	100.00
SNRPE	U	4v98_AC	0.571429	100.00
COPZ1	U	5a1v_F	0.714286	100.00
PVR	U	3j9f_9	1.000000	100.00
CYFIP1	U	4n78_A	0.100000	100.00
MTOR	U	5flc_B	0.100000	100.00
ACTR1A	U	5afu_A	0.650000	99.73
ARPC2	U	4jd2_D	0.071429	99.67
ANAPC1	U	4ui9_A	0.205882	99.64
PSMA6	U	4r3o_A	0.038462	99.59
ARPC4	U	3rse_F	0.071429	99.40
ANAPC7	U	5a31_X	0.000000	99.17
SEH1L	U	5a9q_7	0.833333	99.17
GPS1	U	4d18_A	0.571429	99.17
COPS2	U	4d18_B	0.428571	99.11
EIF3L	U	5a5t_L	0.071429	99.11
EIF3K	U	5a5t_K	0.071429	99.08
COPS3	U	4d18_C	0.714286	99.06
ATP5A1	U	2xnd_A	0.600000	98.78
COPB2	U	5a1v_D	0.071429	98.34
COPS7A	U	4d18_G	0.857143	98.20
CCT2	U	4b2t_B	1.000000	98.13
COPS8	U	4d18_H	1.000000	98.12
EIF3H	U	5a5t_H	0.357143	98.01
COPB1	U	5a1v_G	0.357143	97.73
CCT4	U	4b2t_D	0.571429	96.86
EIF3A	U	5a5t_A	0.571429	95.52
COPA	U	5a1y_C	0.071429	95.48
EXOSC2	U	2nn6_H	0.750000	95.13
CYC1	U	2ybb_D	0.777778	93.36
UQCRFS1	U	2ybb_E	0.805556	92.35
ATP5F1	U	2wss_T	0.062500	91.38
CYCS	U	2ybb_Y	1.000000	90.38
COPE	U	5a1v_Q	1.000000	90.26
MRPL44	U	4v1a_h	0.833333	88.25
MRPL38	U	4v1a_b	0.357143	88.16
MRPL46	U	4v1a_j	0.452381	85.30
COX4I1	U	2y69_D	0.250000	82.84
MRPL41	U	4v1a_e	0.095238	77.04
MRPL50	U	4v1a_m	0.952381	76.10
ATP6V1B2	U	3j9t_B	0.500000	73.69
ACTB	E	5afu_H	0.525000	100.00
PSMB7	E	4r3o_I	0.192308	100.00
NUP133	E	5a9q_3	0.111111	100.00
NUP43	E	5a9q_0	1.000000	100.00
ACTR2	E	4jd2_B	0.428571	100.00
SNRPD1	E	4v98_AA	0.428571	100.00
CDC16	E	4ui9_K	0.117647	99.52
COPS4	E	4d18_D	0.285714	99.02
ARCN1	E	5a1y_H	0.571429	98.83
COPS5	E	4d18_E	0.071429	98.78
CAPZA1	E	5afu_K	0.425000	98.18
CCT8	E	4b2t_Q	0.571429	97.63
TCP1	E	4b2t_A	0.000000	97.12
ARPC1B	E	3rse_C	0.714286	95.70
MRPL43	E	4v1a_g	0.833333	90.57
UBE2C	E	5a31_Q	0.882353	89.51
SNRPG	E	4v98_A4	1.000000	82.89
EXOSC4	E	2nn6_B	0.625000	73.90
