struc	unq	tot	sym	p1	p1score	p1cls	p2	p2score	p2cls	int
1a9n	2	2	M	P57784	0.5047717	U	Q62189	0.9259812	N	1799.8
1am4	2	2	M	Q5FWK3	0.4351013	U	P60766	0.09315526	E	1792.2
1bkd	2	8	C	Q9D091	0.01734254	E	Q62245	0.01723944	E	3195.5
1bkd	2	8	C	Q62245	0.01723944	E	Q62245	0.01723944	E	245.1
1bkd	2	8	C	Q9D091	0.01734254	E	Q9D091	0.01734254	E	27.6
1br4	2	2	M	Q8VDD5	0.9468465	N	Q8CI43	1.41e-05	E	3887.9
1d3b	2	2	M	P62320	1.0	N	P27048	0.9950891	N	1494.7
1doa	2	2	M	P60766	0.09315526	E	Q99PT1	0.7091233	U	3179.9
1dow	2	2	M	P26231	0.8216004	U	Q02248	0.9995434	N	2608.2
1ds6	2	2	M	Q3TLP8	0.5221864	U	Q61599	0.8109972	U	2449.7
1e0a	2	2	M	P60766	0.09315526	E	G5E884	0.7837948	U	2634.9
1ef1	2	4	C2	P26041	0.6963146	U	P26041	0.6963146	U	383.5
1ef1	2	4	C2	P26041	0.6963146	U	P26043	0.3234719	U	4920.7
1ef1	2	4	C2	P26043	0.3234719	U	P26043	0.3234719	U	713.6
1f3m	2	4	A	G5E884	0.7837948	U	G5E884	0.7837948	U	2031.9
1f3m	2	4	A	G5E884	0.7837948	U	Q8CIN4	0.5333689	U	2688.5
1f3m	2	4	A	Q8CIN4	0.5333689	U	Q8CIN4	0.5333689	U	0.1
1f3u	2	2	M	Q8R0A0	0.9829802	N	Q3THK3	0.9346414	N	4592.6
1f66	4	8	C2	P62806	0.9367234	N	Q6ZWY9	0.264898	U	948.6
1f66	4	8	C2	P84228	0.02762913	E	Q3THW5	0.7709873	U	1245.4
1f66	4	8	C2	Q3THW5	0.7709873	U	Q3THW5	0.7709873	U	350.7
1f66	4	8	C2	Q6ZWY9	0.264898	U	Q6ZWY9	0.264898	U	15.2
1f66	4	8	C2	Q3THW5	0.7709873	U	Q6ZWY9	0.264898	U	5093.4
1f66	4	8	C2	P84228	0.02762913	E	P62806	0.9367234	N	5046.8
1f66	4	8	C2	P84228	0.02762913	E	P84228	0.02762913	E	1218.5
1f66	4	8	C2	P62806	0.9367234	N	Q3THW5	0.7709873	U	712.4
1f66	4	8	C2	P62806	0.9367234	N	P62806	0.9367234	N	0.0
1f66	4	8	C2	P84228	0.02762913	E	Q6ZWY9	0.264898	U	0.1
1fbv	2	2	M	P22682	5.08e-06	E	P68037	0.120376	U	1763.8
1fos	2	2	M	P01101	1.92e-06	E	P05627	0.5758856	U	2377.2
1fxw	2	2	M	Q61205	0.0857917	E	Q61206	0.9398851	N	2292.4
1go4	2	8	A	Q9WTX8	0.05435231	E	Q9WTX8	0.05435231	E	3006.1
1go4	2	8	A	Q9Z1B5	0.07654323	E	Q9WTX8	0.05435231	E	3013.4
1go4	2	8	A	Q9Z1B5	0.07654323	E	Q9Z1B5	0.07654323	E	715.0
1hh4	2	2	M	Q3TLP8	0.5221864	U	Q99PT1	0.7091233	U	3055.0
1i2m	2	2	M	P62827	0.3160383	U	Q8VE37	0.3391598	U	2800.7
1ibr	2	2	M	P62827	0.3160383	U	P70168	0.7096403	U	3333.9
1j2j	2	2	M	P84078	0.4778762	U	Q8R0H9	0.1143596	U	1205.8
1kps	2	2	M	P63280	0.09031576	E	P46061	0.139116	U	1190.8
1ldp	2	2	M	P01899	0.9996666	N	P01887	0.00923897	E	2374.9
1mfq	2	2	M	Q9D104	0.2278827	U	P14576	0.9918973	N	262.8
1ni4	2	4	C2	P35486	0.988134	N	Q9D051	0.9589304	N	3681.1
1ni4	2	4	C2	Q9D051	0.9589304	N	Q9D051	0.9589304	N	4825.5
1ni4	2	4	C2	P35486	0.988134	N	P35486	0.988134	N	1388.8
1ow3	2	2	M	Q5FWK3	0.4351013	U	Q9QUI0	0.3306354	U	2348.2
1q5w	2	2	M	P60670	0.2936233	U	P62983	0.9926568	N	793.0
1qcr	10	10	M	Q9CZ13	0.983059	N	Q9CPX8	0.900398	N	14.3
1qcr	10	10	M	Q9CZ13	0.983059	N	Q9CR68	0.9685437	N	189.7
1qcr	10	10	M	Q9CQ69	0.9998613	N	P99028	0.08907581	E	0.0
1qcr	10	10	M	Q9CQ69	0.9998613	N	Q8R1I1	0.4265128	U	0.0
1qcr	10	10	M	Q9D0M3	0.9670172	N	Q8R1I1	0.4265128	U	8.6
1qcr	10	10	M	Q9CR68	0.9685437	N	Q9CPX8	0.900398	N	0.0
1qcr	10	10	M	Q9CZ13	0.983059	N	Q8R1I1	0.4265128	U	8.6
1qcr	10	10	M	Q9CR68	0.9685437	N	Q9CQ69	0.9998613	N	93.8
1qcr	10	10	M	Q9CZ13	0.983059	N	Q9DB77	0.9958289	N	410.2
1qcr	10	10	M	Q9D0M3	0.9670172	N	P99028	0.08907581	E	0.0
1qcr	10	10	M	Q9CZ13	0.983059	N	Q9D0M3	0.9670172	N	0.0
1qcr	10	10	M	P99028	0.08907581	E	Q8R1I1	0.4265128	U	26.6
1qcr	10	10	M	Q9D0M3	0.9670172	N	Q9CR68	0.9685437	N	7.3
1qcr	10	10	M	Q9CZ13	0.983059	N	Q9CQ69	0.9998613	N	308.7
1qcr	10	10	M	Q9D0M3	0.9670172	N	Q9CQ69	0.9998613	N	272.3
1qcr	10	10	M	Q9CR68	0.9685437	N	Q8R1I1	0.4265128	U	148.6
1qcr	10	10	M	Q8R1I1	0.4265128	U	Q9CPX8	0.900398	N	49.9
1qgk	2	2	M	P70168	0.7096403	U	P52293	0.998789	N	3674.6
1rrp	2	2	M	P62827	0.3160383	U	Q9ERU9	0.7344469	U	4669.9
1s1q	2	2	M	Q61187	0.7848919	U	P62983	0.9926568	N	1300.2
1s3s	2	9	A	Q01853	0.8849729	U	Q9CZ44	0.184521	U	1759.7
1s3s	2	9	A	Q01853	0.8849729	U	Q01853	0.8849729	U	3118.4
1s70	2	2	M	P62141	0.4238505	U	Q9DBR7	0.4510949	U	4984.9
1sgh	2	2	M	P26041	0.6963146	U	P70441	0.05373923	E	981.1
1t2k	3	4	A	P70671	0.005910676	E	P70671	0.005910676	E	0.1
1t2k	3	4	A	P70671	0.005910676	E	P05627	0.5758856	U	64.9
1t2k	3	4	A	P70671	0.005910676	E	Q3TZR9	0.8494194	U	334.5
1t2k	3	4	A	P05627	0.5758856	U	Q3TZR9	0.8494194	U	1919.8
1t61	2	6	C2	P02463	0.02253148	E	P08122	4.95e-06	E	4342.3
1t61	2	6	C2	P08122	4.95e-06	E	P08122	4.95e-06	E	971.3
1t61	2	6	C2	P02463	0.02253148	E	P02463	0.02253148	E	4227.7
1t9g	3	6	A	Q99LC5	0.4891803	U	Q9DCW4	0.9905775	N	3906.5
1t9g	3	6	A	P45952	0.700104	U	Q9DCW4	0.9905775	N	1377.8
1t9g	3	6	A	P45952	0.700104	U	Q99LC5	0.4891803	U	0.0
1t9g	3	6	A	P45952	0.700104	U	P45952	0.700104	U	4727.0
1u7f	2	3	-	Q8BUN5	0.00423644	E	P97471	0.1691864	U	2468.5
1u7f	2	3	-	Q8BUN5	0.00423644	E	Q8BUN5	0.00423644	E	2414.7
1uad	2	2	M	Q9JIW9	0.1336248	U	Q9D4H1	0.7604654	U	1043.5
1uel	2	2	M	P54728	0.09901974	E	O35226	0.01889827	E	1437.5
1ul1	2	6	A	P17918	0.999971	N	Q91Z50	0.9998296	N	3511.4
1ul1	2	6	A	Q91Z50	0.9998296	N	Q91Z50	0.9998296	N	0.0
