Gene	Class	PDB chain	Interface size	Seqid	Unique subunits
Rps6	N	4kzy_G	5716.2	100.00	35
Rps3	N	4kzy_D	4396.5	100.00	35
Rps7	N	4kzy_H	2630.5	100.00	35
Rps11	N	4kzy_L	4332.7	100.00	35
Rps13	N	4kzy_N	4355.8	100.00	35
Rps16	N	4kzy_Q	4173	100.00	35
Rps23	N	4kzy_X	4354.3	100.00	35
Rps15a	N	4kzy_W	4634.7	100.00	35
Rps17	N	4kzy_R	3181.4	100.00	35
Rps14	N	4kzy_O	4736.8	100.00	35
Rps20	N	4kzy_U	2743.5	100.00	35
Rps27rt	N	4kzy_b	2696.2	100.00	35
Rps25	N	4kzy_Z	1431.1	100.00	35
Rps28	N	4kzy_c	1761.7	100.00	35
Rps8	N	4d5l_I	5191.4	100.00	33
Rps15	N	4d5l_P	2388.9	100.00	33
Rps26-ps1	N	4d5l_a	4021.3	100.00	33
Gm9843	N	4d5l_e	2515.7	100.00	33
Psma4	N	3unb_B	4299.5	100.00	14
Psma6	N	3une_G	3778	100.00	14
Psma5	N	3unb_D	3840.1	100.00	14
Psmb4	N	3unf_M	4340.1	100.00	14
Psmb3	N	3unb_I	4735.8	100.00	14
Cox5a	N	1occ_E	2405.7	100.00	13
Polr2g	N	5flm_G	2483.6	100.00	12
Atp2a2	N	2voy_L	819.6	100.00	12
Snrpd3	N	4pjo_A	3167	100.00	9
Arpc4	N	3rse_F	5380.3	100.00	8
Hist1h4j	N	4r8p_B	4325.7	100.00	6
H2-D1	N	3pqy_A	2403.3	100.00	5
H2-K1	N	1kj2_H	2582.5	100.00	5
Rps27a	N	3mhs_D	1922.6	100.00	5
Ctnnb1	N	1t08_A	1481.5	100.00	3
Prkaca	N	3j4r_D	1648.1	100.00	3
Dync1h1	N	3j1t_A	919.5	100.00	3
Sap18	N	4a8x_C	917.9	100.00	3
Hspa8	N	3c7n_B	3389.9	100.00	2
Rqcd1	N	4ct7_B	1888.8	100.00	2
Rpl11	N	4xxb_A	1124.7	100.00	2
Plau	N	3laq_A	1451.7	100.00	2
Ptbp1	N	3zzz_A	490.3	100.00	2
Asap1	N	2rqu_A	660.1	100.00	2
Myo5a	N	2ix7_C	3115.2	100.00	2
Tcerg1	N	2jup_W	301.8	100.00	2
Mkl1	N	2v52_M	1109.8	100.00	2
Numa1	N	3ro2_B	1707.9	100.00	2
Fen1	N	1u7b_B	785.9	100.00	2
Cd44	N	2zpy_B	572.5	100.00	2
Aifm1	N	3gd4_A	1521.6	100.00	1
Tyms	N	4eb4_A	3096.8	100.00	1
Rrm2	N	1h0n_A	1760.9	100.00	1
Pitpna	N	1kcm_A	1493.2	100.00	1
Ftl1	N	1h96_A	3930.1	100.00	1
Sod1	N	3gtt_A	719.4	100.00	1
Ptrf	N	4qkv_A	3044.1	100.00	1
Prkcd	N	1ptq_A	321.7	100.00	1
Kdm1a	N	2v1d_A	4029.9	99.86	3
Polr2b	N	5flm_B	16321.4	99.83	12
Alad	N	2z1b_A	1549.3	99.70	1
Stub1	N	2c2l_A	727.9	99.64	2
Gpi1	N	2cvp_A	6739	99.64	1
Psma2	N	3une_A	4093.2	99.57	14
Mkln1	N	4oyu_A	1312.7	99.49	1
Ogt	N	1w3b_A	535.9	99.48	1
