Gene	Class	PDB chain	Normalised assembly order	Seqid
Cox5a	N	2ybb_P	0.166667	100.00
Rps27a	N	5a5b_9	0.014706	100.00
Psma4	N	3unb_B	0.500000	100.00
Psma6	N	3une_G	0.076923	100.00
Psma5	N	3unb_D	0.807692	100.00
Psmb4	N	3unf_M	0.346154	100.00
Psmb3	N	3unb_I	0.307692	100.00
Atp2a2	N	2voy_L	0.909091	100.00
Copg1	N	5a1v_E	0.357143	100.00
Arpc4	N	3rse_F	0.071429	100.00
Copz1	N	5a1v_F	0.714286	100.00
H2-D1	N	3pqy_A	0.625000	100.00
H2-K1	N	1kj2_H	0.625000	100.00
Hist1h4j	N	5bnx_B	0.166667	100.00
Psma2	N	3une_A	0.000000	99.57
Eif3m	N	5a5t_M	0.857143	99.47
Ddb1	N	2hye_A	0.666667	99.39
Nckap1	N	4n78_B	0.100000	99.38
Cops2	N	4d18_B	0.428571	99.11
Cyfip1	N	4n78_A	0.100000	99.04
Eif3k	N	5a5t_K	0.071429	98.62
Copb1	N	5a1v_G	0.357143	98.45
Vamp8	N	4wy4_A	0.166667	98.44
Eif3l	N	5a5t_L	0.071429	98.23
Cct3	N	4b2t_G	0.142857	97.43
Cyc1	N	4d6t_D	0.062500	97.36
Anapc7	N	4ui9_X	0.000000	97.35
Eif3h	N	5a5t_H	0.357143	97.16
Cycs	N	2ybb_Y	1.000000	97.12
Psmb6	N	4r3o_H	0.423077	97.03
Eif3c	N	5a5t_C	0.714286	96.80
Sdha	N	1zoy_A	0.166667	96.78
Psmb5	N	4r3o_L	1.000000	96.52
Cct7	N	4b2t_H	0.571429	96.32
Cops6	N	4wsn_F	0.071429	96.07
Cct5	N	4b2t_E	0.857143	95.56
Arpc1b	N	3rse_C	0.714286	95.43
Cdc16	N	4ui9_K	0.117647	95.00
Exosc4	N	2nn6_B	0.625000	94.38
Atp5d	N	2xnd_H	0.300000	93.13
Anapc1	N	4ui9_A	0.205882	92.08
Cox6b1	N	2y69_H	0.916667	91.86
Nup85	N	5a9q_8	0.833333	91.62
Actr1b	N	5afu_A	0.650000	91.08
Exosc2	N	2nn6_H	0.750000	89.29
Uqcrc1	N	2ybb_A	0.708333	87.67
Mrpl38	N	4v1a_b	0.357143	87.63
Atp5f1	N	4b2q_T	0.166667	86.82
