human_entrez	mouse_entrez	mouse_uniprot
4508	17705	P00848
4537	17718	P03899
51503	66070	Q9JHS9
4535	17716	P03888
3593	16160	P43432
4536	17717	P03893
83464	68318	Q9DCZ9
83464	68318	
3053	15160	P49182
4513	17709	P00405
9342	67474	Q9ERB0
84991	76938	Q8JZX4
84991	76938	
7517	74335	
7517	74335	Q9CXE6
578	12018	O08734
578	12018	
4758	18010	O35657
162	11764	
162	11764	O35643
5265	20700	
5265	20703	
5265	20700	P07758
5265	20703	P07758
8563	107829	
80063	75329	Q3UL97
57511	67542	
2247	14173	P15655
2247	14173	
55166	83815	Q9CPQ5
59345	14696	P29387
59345	14696	
7454	22376	P70315
7223	22066	Q9QUQ5
7223	22066	
3551	16150	
5134	18567	
2554	14394	P62812
2554	14394	
7919	53817	Q9Z1N5
7919	53817	
4798	235134	Q6PIJ4
4798	235134	
815	12322	P11798
815	12322	
9443	66213	
9443	66213	Q9CZB6
64965	69527	Q9D7N3
64965	69527	
6642	56440	
84447	74126	
9589	60532	
9589	60532	Q9ER69
3696	320910	
2130	14030	Q61545
2130	14030	
8451	99375	Q3TCH7
8451	99375	
9150	67655	Q7TSG2
9150	67655	
3643	16337	P15208
9768	68026	Q9CQX4
79760	69731	Q9CWY4
79760	69731	
10426	259279	
10426	259279	P58854
5337	18805	
12	238395	
28514	13388	Q61483
5265	20704	Q00898
2935	14852	Q8R050
2935	14852	
2983	54195	O54865
2983	54195	
6879	24074	Q9R1C0
5771	19255	
5771	19255	Q06180
3364	15574	Q8BQY8
84894	235402	Q9D1T0
84894	235402	
3799	16573	Q61768
3799	16573	
167227	70640	
167227	70640	Q9CYC6
29924	13854	Q80VP1
29924	13854	
8697	52563	
6908	21374	
6908	21374	P29037
10557	227522	
5422	18968	P33609
9099	53376	O88623
9099	53376	
91754	217718	Q8K1R7
65080	69163	Q9CY73
5297	224020	
5977	19708	Q61103
5977	19708	
857	12389	P49817
857	12389	
9329	269252	Q8BMQ2
9329	269252	
3303	193740	Q61696
2114	23872	P15037
2114	23872	
8932	17191	Q9Z2E1
8932	17191	
6217	20055	P14131
961	16423	Q61735
961	16423	
4856	18133	Q64299
10907	27366	P83877
10907	27366	
5329	18793	P35456
5329	18793	
54880	71458	Q8CGN4
54880	71458	
7507	22590	
7507	22590	Q64267
5617	19109	
8850	18519	Q9JHD1
8850	18519	
9013	21341	Q6PDZ2
9013	21341	
953	12495	
953	12495	P55772
5692	19172	P99026
5356	53317	Q922V4
5356	53317	
11102	67053	Q9CQH8
11102	67053	
5576	19087	
6944	21427	Q62481
4163	328949	
9112	116870	Q8K4B0
9112	116870	
8837	12633	O35732
8837	12633	
64975	107733	Q9CQN7
64975	107733	
8464	109115	
2146	14056	
2146	14056	Q61188
79622	78372	Q8VIK1
79622	78372	
80335	77305	Q8BFQ4
80335	77305	
354	13647	P36369
354	16618	P36369
354	16622	P15945
1956	13649	Q01279
1956	13649	
12	74069	Q6P4P1
12	74069	
12	271047	Q8BYY9
92105	101861	Q8CIM8
92105	101861	
931	12482	P19437
5265	20701	P22599
5265	20701	
5265	20702	
5265	20703	Q00897
8820	15209	Q61658
5189	71382	Q5BL07
5189	71382	
8065	75717	
10013	15185	Q9Z2V5
10013	15185	
6222	20084	
6222	20084	P62270
8733	14731	Q9WTK3
8733	14731	
7528	22632	Q00899
2319	14252	Q60634
2319	14252	
4091	17130	O35182
4091	17130	
6189	20091	P97351
54921	214987	P0CG15
54921	214987	P0CG14
54921	214987	
7187	22031	
7187	22031	Q60803
4323	17387	P53690
4323	17387	
2034	13819	P97481
7045	21810	P82198
6257	20182	
6257	20182	P28704
2648	14534	
2648	14534	Q9JHD2
8725	19777	Q3TLD5
8725	19777	
140809	76650	
65057	497652	Q5EE38
5440	17749	Q63871
5440	100862456	Q63871
5440	102641086	Q63871
5440	17749	
5440	100862456	
5440	102641086	
64949	99045	Q80ZS3
3913	16779	
3913	16779	Q61292
58517	67039	
58517	67039	B2RY56
55272	102462	Q921Y2
25942	20466	
25942	20466	Q60520
740	18120	Q9CQ40
4627	17886	Q8VDD5
4627	17886	
842	12371	
842	12371	Q8C3Q9
80145	66231	Q7TMY4
55143	52276	Q8BHX3
55143	52276	
9689	66882	Q9CQC6
9689	66882	
1019	12567	P30285
1019	12567	
8723	69150	Q91YJ2
7531	22627	P62259
7531	22627	
7058	21826	Q03350
10256	194231	
51147	28019	Q8C0D7
64983	75398	Q9DCI9
1653	104721	Q91VR5
28998	68537	
28998	68537	Q9D1P0
9862	23989	Q99K74
9862	23989	
51690	NA	Q9CQQ8
10054	50995	Q9Z1F9
10054	50995	
5893	19365	P43352
5893	19365	
8233	22183	Q64707
3309	14828	P20029
3309	14828	
55588	67224	Q9DB91
84661	66310	Q99LT0
8289	93760	
8289	93760	A2BH40
203068	22154	P99024
203068	22154	
2071	13872	P49135
4694	54405	O35683
1400	12933	
1400	12933	P97427
10092	67771	Q9CPW4
10092	67771	
23595	50793	Q9JK30
23595	50793	
6810	20909	P70452
6810	20909	
6147	268449	P62751
6147	666790	P62751
51021	66242	Q9CPX7
283899	233875	
4686	433702	Q3UYV9
84164	75452	Q91WR3
3007	14957	P43277
2002	13712	P41969
8907	11767	P35585
8907	11767	
4712	230075	Q3UIU2
4712	230075	
11284	59047	
6497	20481	
57630	59009	
2309	56484	Q9WVH4
2309	56484	
5810	19355	Q9QWZ1
5810	19355	
4893	18176	
10370	17684	O35740
80155	74838	
9459	73341	
51652	66700	Q9CQ10
51652	66700	
4683	27354	Q9R207
4683	27354	
7040	21803	P04202
7040	21803	
22906	67095	Q6PD31
10629	67706	
10629	225895	
10629	67706	Q8R2K4
10629	225895	Q8R2K4
10629	67706	Q9CY24
10629	225895	Q9CY24
29950	55942	Q9JL10
29950	55942	
26610	77766	Q9ER73
26610	77766	
57510	72322	Q924C1
57492	239985	
4318	17395	
4318	17395	P41245
80012	241915	Q8CHP6
80012	241915	
10189	100043224	
10189	100043239	
10714	67967	
545	245000	
150684	17846	Q8K4M5
150684	17846	
10048	56705	
5295	18708	P26450
5295	18708	
3430	70110	Q9D8C4
3430	70110	
2324	14257	P35917
6426	110809	Q6PDM2
6426	110809	
10067	24045	O35609
10067	24045	
51773	233532	
10421	70233	Q9CWK3
10421	70233	
1991	50701	Q3UP87
7248	64930	
7248	64930	Q9EP53
2626	14463	Q08369
2626	14463	
140836	403171	Q8BVR0
10524	81601	Q8CHK4
5617	18811	P04095
80204	225055	
80204	225055	Q7TPD1
8239	22284	
10379	16391	
10379	16391	Q61179
5687	26443	
5687	26443	Q9QUM9
902	66671	Q61458
902	66671	
6499	108077	
10471	14976	Q03958
10471	14976	
5431	231329	Q8CFI7
6183	24030	O35680
6183	24030	
26168	80886	Q9EP97
26168	80886	
7412	22329	
7412	22329	P29533
8826	29875	Q9JKF1
8826	29875	
4092	17131	O35253
4092	17131	
84231	224619	
7284	233870	Q8BFR5
7284	233870	
12	238393	Q80X76
4298	64144	
9939	60365	Q9CWZ3
9939	60365	
6635	20643	P62305
6635	20643	
4853	18129	
8668	54709	Q9QZD9
8668	54709	
23524	75956	
23524	75956	Q8BTI8
4170	17210	P97287
5202	18637	O70591
5202	18637	
57187	100042165	
57187	331401	
57187	331401	B1AZI6
56984	107047	Q9EST4
10240	57312	Q61733
4908	18205	
4908	18205	P20181
373	81003	Q8BGX0
373	81003	
7283	103733	P83887
2339	14272	Q61239
3084	211323	
22796	76332	Q921L5
22796	76332	
4050	16994	P41155
4050	16994	
5433	69241	Q9D7M8
84321	73666	Q8VE80
26156	66409	Q8BVY0
10980	26893	O88545
10980	26893	
6907	21372	Q9QXE7
5478	268373	P17742
1605	13138	Q62165
1605	13138	
112950	80509	
112950	80509	Q9D7W5
90665	21372	Q9QXE7
9440	234959	Q8VCD5
9844	140580	Q8BPU7
5558	19076	P33610
3678	16402	P11688
400569	66172	
400569	66172	Q9D8C6
3550	24010	Q9Z1M8
79661	72774	Q8K4Q6
3672	109700	Q3V3R4
6193	20103	
4176	17220	Q61881
4176	17220	
9076	12737	O88551
54891	227195	
143187	53611	O89116
93973	56249	Q8R2S9
163732	56222	Q9WUL8
6124	67891	Q9D8E6
10480	98221	Q99JX4
10480	98221	
6159	545683	
6159	102634941	
80010	74386	Q9D4G9
6133	20005	
6133	20005	P51410
64425	64424	Q8K202
64425	64424	
7156	21975	O70157
7156	21975	
354	16623	P00755
80152	320394	Q3TJM4
53358	20418	Q61120
10363	66867	Q9DC33
9564	12927	Q61140
55174	70885	Q8K2A7
55174	70885	
1903	13610	Q9Z0U9
6603	83796	Q99JR8
6603	83796	
79023	69736	Q9CWU9
3619	16319	Q9WU62
3679	16404	
79658	78514	Q6Y5D8
329	11797	Q62210
329	11797	
6845	20955	P70280
5689	19170	O09061
4704	66108	
4704	66108	Q9DC69
22794	192160	Q8K3W3
8666	53356	Q9Z1D1
10189	100861901	
10189	100043235	
10189	637578	
10189	100043231	
6231	27370	P62855
6231	102642963	P62855
29780	170736	Q9ES46
29780	170736	
27044	56463	
27044	56463	Q78PY7
3312	15481	P63017
3312	15481	
7037	22042	Q62351
7037	22042	
6628	20638	P27048
6628	20638	
55737	65114	Q9EQH3
10992	319322	
11154	11782	Q9WVL1
10274	20842	
10274	20842	Q9D3E6
84062	94245	Q91WZ8
84062	94245	
219927	353242	Q9D1N9
219927	353242	
8208	110749	Q9D0N7
8208	110749	
3175	15379	O08755
5607	23938	Q9WVS7
51362	71713	Q9DC48
55120	67030	Q9CR14
55120	67030	
6885	26409	
6885	26409	Q62073
1511	13035	P28293
27257	67207	Q8VC85
51295	26940	
55851	66340	Q9CQR7
3483	16005	
64969	77721	Q99N87
64969	77721	
8928	14106	O88621
26354	30877	Q8CI11
22827	67959	Q3UEB3
7290	15260	Q61666
7290	15260	
27250	18569	Q61823
10956	216440	Q8K2C7
29978	54609	Q9QZM0
282991	73689	Q9CWG9
6396	110379	Q9D1M0
7013	21749	P70371
7013	21749	
1017	12566	P97377
9221	70769	
324	11789	
3621	26356	Q9QXV3
4735	18000	P42208
4735	18000	
8189	68188	
4671	17940	Q9QWK5
10844	74237	Q921G8
10445	51812	Q99L90
10445	51812	
3728	16480	Q02257
9412	108098	Q9CQ39
9412	108098	
164	11765	
164	11765	P22892
6654	20662	Q62245
6844	22318	P63044
6844	22318	
8815	23825	O54962
10454	66513	Q8CF89
55250	58523	Q91WG4
10713	28035	Q3TIX9
10713	28035	
6147	666790	
3350	15550	Q64264
10268	56089	Q9WUP1
5426	18973	Q9WVF7
5426	18973	
7091	21888	Q62441
7091	21888	
10036	27221	Q9QWF0
5562	105787	Q5EG47
55048	107305	Q8R105
1501	18163	
5435	69833	P61219
3276	15469	Q9JIF0
4225	17288	Q61847
1022	12572	Q03147
7402	22288	
6809	20908	
6809	20908	Q64704
8766	53869	P62492
8766	53869	
604	12053	P41183
10393	68999	Q8K2H6
5566	18747	P05132
64785	78833	Q9CY94
6416	26398	P47809
6416	26398	
2956	17688	P54276
7862	78783	
79595	269003	
79002	68544	Q9D735
51676	65256	Q8K0L0
5499	19045	P62137
5617	18812	P04768
5617	26421	P04768
57819	27756	O35900
57819	27756	
8669	78655	Q3UGC7
4780	18024	Q60795
9367	56382	Q9R0M6
9367	56382	
6873	319944	
6122	27367	P27659
6122	27367	
10467	70103	
10467	70103	Q8R331
3187	59013	O35737
3187	59013	
5394	50912	P56960
5394	50912	
54623	54624	Q8K2T8
6923	67673	P62869
989	235072	
25913	72836	
1656	13209	P54823
25978	68942	Q8BJF9
7403	22289	O70546
1495	12385	P26231
1459	13000	O54833
84305	78428	Q8CHP5
51103	69702	
29079	67381	Q9CQA5
84545	94067	
81929	72124	Q8R2U0
2188	100040608	
23107	218506	Q8BK72
5425	18972	O35654
5425	18972	
8829	18186	P97333
4999	18393	Q60862
4999	18393	
7965	231872	Q8R010
7965	231872	
6617	75627	Q8K0S9
115557	52666	
10403	67052	Q9D0F1
990	23834	O89033
990	23834	
