Gene	Class	PDB chain	Coexpression	Seqid	Unique subunits
Rps4x	N	3jaj_SE	0.514039	100.00	83
Rpl8	N	3jaj_A	0.585561	100.00	83
Rpl15	N	3jaj_N	0.568692	100.00	83
Rps8	N	3jaj_SI	0.586476	100.00	83
Rps7	N	3jaj_SH	0.601080	100.00	83
Rps5	N	3jaj_SF	0.618700	100.00	83
Rps11	N	3jaj_SL	0.545380	100.00	83
Rps16	N	3jaj_SQ	-0.033969	100.00	83
Rpl26	N	3jaj_Y	0.602347	100.00	83
Rps17	N	3jaj_SR	0.605814	100.00	83
Rps15a	N	3jaj_SW	0.515445	100.00	83
Rpl36al	N	3jaj_o	0.531798	100.00	83
Rpl36	N	3jaj_i	0.505273	100.00	83
Rps10	N	3jaj_SK	0.636710	100.00	83
Rps15	N	3jaj_SP	0.551398	100.00	83
Rpl37a	N	3jaj_p	0.578361	100.00	83
Rps27rt	N	3jaj_Sb	0.320888	100.00	83
Rps25	N	3jaj_SZ	0.552861	100.00	83
Rps28	N	3jaj_Sc	0.493516	100.00	83
Rpl10a	N	4v6x_Cz	0.592078	100.00	82
Rpl11	N	4v6x_CJ	0.611308	100.00	82
Rps23	N	4v6x_AX	0.613562	100.00	82
Rps20	N	4v6x_AU	0.564430	100.00	82
Rps3	N	3jag_DD	0.557350	100.00	80
Cox5a	N	2ybb_P	0.420067	100.00	37
Psma4	N	3unb_B	0.484433	100.00	14
Psma6	N	3une_G	0.480811	100.00	14
Psma5	N	3unb_D	0.493411	100.00	14
Psmb4	N	3unf_M	0.439862	100.00	14
Psmb3	N	3unb_I	0.420400	100.00	14
Polr2g	N	5flm_G	0.263167	100.00	12
Snrpd3	N	4pjo_A	0.341286	100.00	9
Copg1	N	5a1v_E	0.321043	100.00	8
Arpc4	N	3rse_F	0.281967	100.00	8
Copz1	N	5a1v_F	0.271214	100.00	8
H2-D1	N	3pqy_A	0.480500	100.00	5
H2-K1	N	1kj2_H	0.519500	100.00	5
Ctnnb1	N	1t08_A	0.202500	100.00	3
Prkaca	N	3j4q_D	0.198550	100.00	3
Dync1h1	N	3j1t_A	0.129400	100.00	3
Rqcd1	N	4ct7_B	0.301000	100.00	2
Plau	N	3laq_A	0.189800	100.00	2
Myo5a	N	2ix7_C	0.221600	100.00	2
Mkl1	N	2v52_M	0.048000	100.00	2
Numa1	N	3ro2_B	0.071100	100.00	2
Fen1	N	1u7b_B	0.611700	100.00	2
Cd44	N	2zpy_B	0.079600	100.00	2
Kdm1a	N	2v1d_A	0.190100	99.86	3
Polr2b	N	5flm_B	0.232467	99.83	12
Hspa8	N	2qwo_A	0.068900	99.75	2
Psma2	N	3une_A	0.454267	99.57	14
Eif3m	N	5a5t_M	0.428543	99.47	8
Ilf2	N	4at7_A	0.323800	99.45	2
Rpl18a	N	4v6x_CS	0.627350	99.43	82
Ddb1	N	2hye_A	0.095500	99.39	4
Nckap1	N	4n78_B	0.167400	99.38	6
Prkag1	N	4rew_G	0.122300	99.34	3
Rpl27a	N	3jag_a	0.582700	99.32	80
Cwc22	N	4c9b_B	0.232600	99.31	2
Eif4a3	N	2j0s_A	0.381900	99.27	4
Pspc1	N	3sde_A	0.232700	99.23	2
Atp5b	N	1mab_B	0.599050	99.16	3
Gtf2f2	N	1f3u_A	0.379700	99.15	2
Uba3	N	3gzn_B	0.292500	99.14	3
Cops2	N	4d18_B	0.242314	99.11	8
Cyfip1	N	4n78_A	0.114650	99.04	6
Rpl5	N	3jag_D	0.200652	98.97	80
Srp68	N	4ue5_C	0.090867	98.97	6
Rpl9	N	4v6x_CH	0.539578	98.96	82
Ogt	N	4n3a_A	0.292400	98.89	2
Stub1	N	2c2v_S	0.312500	98.72	3
Ints3	N	4owt_A	0.203600	98.71	3
Eif3k	N	5a5t_K	0.359971	98.62	8
Col1a1	N	3hqv_A	0.802900	98.58	2
Rpl28	N	4v6x_Cr	0.565026	98.54	82
Rpl3	N	4v6x_CB	0.542152	98.51	82
Copb1	N	5a1v_G	0.274400	98.45	8
Vamp8	N	4wy4_A	0.148950	98.44	4
Eif3l	N	5a5t_L	0.424571	98.23	8
Gnai3	N	4g5r_A	0.190500	98.18	2
Cdc16	N	3hym_B	0.210600	98.18	2
Polr2e	N	5flm_E	0.366656	98.10	12
Pdcd10	N	4geh_A	0.145200	98.07	2
Ncbp1	N	3fey_A	0.289700	97.97	3
Pdha1	N	1ni4_A	0.370900	97.81	2
Cct3	N	3iyg_G	0.472243	97.67	8
Ywhab	N	4gnt_A	0.058800	97.55	2
Mcl1	N	2jm6_B	0.227700	97.53	2
Prpf8	N	4kit_C	0.490100	97.48	2
Cyc1	N	4d6t_D	0.413429	97.36	9
Anapc7	N	4ui9_X	0.188208	97.35	18
Cct7	N	3iyg_H	0.479900	97.28	8
Mrpl22	N	3iy9_M	0.352171	97.27	19
Atp1a1	N	3wgu_A	0.261200	97.24	3
Sbds	N	5anb_J	0.118300	97.20	11
Eif3h	N	5a5t_H	0.449057	97.16	8
Cycs	N	2ybb_Y	0.407100	97.12	37
Psmb6	N	4r3o_H	0.492577	97.03	14
Pcna	N	1ul1_A	0.611700	96.93	2
Eif3c	N	5a5t_C	0.452857	96.80	8
Sdha	N	1zoy_A	0.397167	96.78	4
Cyth2	N	1s9d_E	0.328000	96.55	2
Psmb5	N	4r3o_L	0.491662	96.52	14
