proID	wholeProIDlist	geneName	t.0	t.1	t.2	t.4	t.8	t.16	t.32	t.0.1	t.1.1	t.2.1	t.4.1	t.8.1	t.16.1	t.32.1	t.0.2	t.1.2	t.2.2	t.4.2	t.8.2	t.16.2	t.32.2	t.0.3	t.1.3	t.2.3	t.4.3	t.8.3	t.16.3	t.32.3	c1_k10	c2_k10	c2_k20	c2_k12	X.dataPts	c1_AICp	c1_RSS	c2_AICp	c2_RSS	AIC.recommendation	c1_aveLife	c1_thalf	c2_aveLife	c2_thalf.pulse.	c2_thalf.ss.	X.deg.fr.comp1.2comp.	X.deg.fr.comp2.2comp.	ss..comp1.2comp.	ss..comp2.2comp.	med4	med8	deltascore	def	rel.abun
A0A067XG53	A0A067XG53;O70589-3;O70589-4;O70589-5;O70589;O70589-2	Cask	1	0.958159885	0.915322826	0.65765282	0.731777483	0.884188612	0.69804911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.013089008	0.15494722	0.000505912	0.369049449	7	0.980741905	0.027615763	0.019258095	0.010636771	1	76.39998663	52.95643532	1394.043016	812.6	1355.8	0.295702682	0.704297318	0.001368974	0.998631026	0.65765282	0.731777483	0.262938718	UN	0.025138901
A0A087WNL7	A0A087WNL7;A0A087WQ44;A0A087WP63;A0A087WNX7;A0A087WQY5		1	0.894566063	0.696335616	0.822241851	0.55989467	0.674415315	0.401428952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.030599214	0.341991245	0.019348782	0.718083486	7	0.982105374	0.032611577	0.017894626	0.013109695	1	32.68057812	22.65245058	35.95274325	23.1	35.4	0.322610505	0.677389495	0.026238046	0.973761954	0.822241851	0.55989467	-0.094282597	ED	0.004227809
A0A087WNV1	A0A087WNV1;Q8K2K6-3;A0A087WSR7;Q8K2K6-1;Q8K2K6;A0A087WR52;Q8K2K6-2;A0A087WRL1	Agfg1	1	1.192795085	1.191007683	1.113102285	1.154842665	0.978991868	0.940239879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000151718	1.03E-07	0.010464342	0.010432715	7	0.996147078	0.014008625	0.003852922	0.013653487	1	6591.166938	4568.64878	191.413061	160.1	109.7	9.87E-06	0.999990128	0.500756726	0.499243274	1.113102285	1.154842665	-0.035168911	ED	0.056648367
A0A087WNZ7	A0A087WNZ7		1	0.970437049	0.873403878	0.653107247	0.477970867	0.301335376	0.287858299	1	0.956134012	0.795718954	0.621280569	0.451159247	0.272288709	0.179442003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.055499096	0.116138493	1.30E-05	0.030031788	14	0.032719115	0.063161931	0.967280885	0.010089096	2	18.01831165	12.48934192	15847.46749	7	4000	0.79454245	0.20545755	0.000431699	0.999568301	0.637193908	0.464565057	0.067354425	UN	0.043266671
A0A087WPF8	A0A087WPF8;A0A087WQN8;A0A087WSR2;Q8VCR7;E9QN99;A0A087WRJ2;A0A087WP24	Abhd14b	1	1.111004925	0.63608038	1.344333639	0.859858634	1.112962237	0.861641411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00284021	0.102137697	0.001652291	1.7498869	7	0.996281591	0.049820944	0.003718409	0.04955785	1	352.0866748	244.047886	572.3829272	403.9	382.9	0.055149212	0.944850788	0.000943336	0.999056664	1.344333639	0.859858634	-0.371392096	UN	0.051784501
A0A087WQ11	A0A087WQ11;Q9Z0Z3;Q9Z0Z3-2	Skp2	1	0.683845946	1.172473923	NA	NA	NA	NA	1	0.821362772	0.629798407	NA	NA	NA	NA	1	0.872882363	0.598678792	0.446094828	0.199544493	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.194399424	0.144231757	0.266084873	0.19820375	11	0.967179205	0.033000422	0.032820795	0.031720965	1	5.144048163	3.565582481	5.09552652	3.8	3.3	0.42119393	0.57880607	0.573102291	0.426897709	0.446094828	0.199544493	0.001364708	ED	0.074219758
A0A087WQE6	A0A087WQE6;P83940;A0A087WNT1;A0A087WPE4	Tceb1	1	NA	NA	0.941647856	0.932618748	0.960409485	0.870309582	1	0.906679598	0.919124685	0.872834176	1.07531151	0.864205444	0.964968076	1	0.905520495	1.108409079	0.934833289	1.014317706	0.889225129	0.998448647	NA	NA	NA	NA	NA	NA	NA	0.002829669	1.320416247	0.000559751	4.443623013	19	0.841292086	0.005193903	0.158707914	0.004195073	1	353.3982481	244.9569993	1377.431406	1148.8	122.5	0.229078288	0.770921712	0.000125951	0.999874049	0.934833289	1.014317706	0.074495154	ED	0.380624117
A0A087WQN7	A0A087WQN7;F8VQ87;P97789-3;P97789-2;P97789;A0A087WNV6	Xrn1	1	0.962053782	0.811820133	0.955433542	0.911140673	0.62198028	0.410363477	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.027459916	0.187726469	0.027140162	4.727755136	7	0.996294751	0.00646713	0.003705249	0.006446073	1	36.41671682	25.24214459	35.64203119	25.3	25.5	0.03819086	0.96180914	0.005707836	0.994292164	0.955433542	0.911140673	-0.000938918	ED	0.008155553
A0A087WQQ5	A0A087WQQ5;A0A087WNW3;A0A087WQI3;F8VQC7;A0A087WQ25;Q61595-5;A0A087WRS1;Q61595-6;Q61595-9;Q61595;Q61595-15	Ktn1	1	NA	NA	0.887339571	1.110228265	0.798905819	0.812273417	1	NA	NA	NA	NA	0.987296754	0.699507292	1	0.781970622	0.773556142	0.657090777	0.742559511	0.73309455	0.608742183	NA	NA	NA	NA	NA	NA	NA	0.01178513	4.970853097	0.004248761	3.16718276	15	0.794394644	0.028307318	0.205605356	0.018547519	1	84.85268968	58.81540262	91.72197957	121.6	86.8	0.610817301	0.389182699	0.001339698	0.998660302	0.772215174	0.926393888	0.22026416	UN	0.032141797
A0A087WR75	A0A087WR75;Q7TT18	Atf7ip	1	1.121924326	1.079563558	0.519584245	0.324640245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.133541728	1.11E-06	0.208489789	0.419494664	5	0.999997385	0.039526818	2.61E-06	0.026944122	1	7.488296115	5.190491339	7.180199575	5.5	4.2	2.64E-06	0.999997363	0.331998329	0.668001671	0.519584245	0.324640245	0.092207492	ED	0.011059421
