id	Rep1_t=0	Rep1_t=1	Rep1_t=2	Rep1_t=4	Rep1_t=8	Rep1_t=16	Rep1_t=32	Rep2_t=0	Rep2_t=1	Rep2_t=2	Rep2_t=4	Rep2_t=8	Rep2_t=16	Rep2_t=32	Median_4	Median_8	c1_k10	c2_k10	c2_k20	c2_k12	#dataPts	c1_AICp	c1_RSS	c2_AICp	c2_RSS	AIC.recommendation	c1_aveLife	c1_thalf	c2_aveLife	c2_thalf.pulse.	c2_thalf.ss.	X.deg.fr.comp1.2comp.	X.deg.fr.comp2.2comp.	ss..comp1.2comp.	ss..comp2.2comp.	Median_deltascore	Rel. abund	def	proID	geneName
-1	1	0.8613394	0.9833857	0.9794223	1.211213	0.8934805	0.809285	1	1.215636	1.348678	1.303438	1.253996	1.223963	1.199401	1.14143	1.232604	9.92E-07	6.47E-05	7.92E-07	3.979143	14	0.9540597	0.005929776	0.04594036	0.005929859	1	1007712	1453821	1262793	4000	177.6	1.63E-05	0.9999837	1.99E-07	0.9999998	-0.02771741	0.06468061	ED	Q9UJ70	NAGK
-1	1	NaN	NaN	0.8789146	1.184557	1.148714	1.283834	1	0.9291213	1.073489	1.320704	1.214522	1.182077	1.115792	1.099809	1.19954	1.47E-06	2.54E-06	1.07E-08	3.704158	12	0.9644084	0.004599235	0.03559161	0.004598323	1	678840.7	979360.1	9.36693E+07	NaN	190.9	6.86E-07	0.9999993	2.88E-09	1	-0.004167879	0.1218112	ED	P32119	PRDX2
-1	1	1.011405	0.9667209	0.948102	1.177222	1.04245	1.289471	1	1.083556	1.089173	NaN	NaN	NaN	NaN	0.948102	1.177222	2.91E-06	0.000511074	2.11E-06	3.570127	10	0.9770359	0.002091555	0.02296406	0.002092051	1	343961.2	496231.2	473961	4000	198	0.000143133	0.9998569	5.91E-07	0.9999994	0.1348721	0.01226059	ED	Q96G03	PGM2
-1	1	NaN	NaN	NaN	NaN	1.264395	1.775212	1	NaN	NaN	1.062812	1.172518	1.178737	1.882167	1.062812	1.172518	2.01E-06	3.86E-05	1.14E-07	3.591849	8	0.9906804	0.01981951	0.009319604	0.0198156	1	496964.3	716967.9	8758456	4000	196.8	1.07E-05	0.9999893	3.18E-08	0.9999999	0.01865886	0.001864524	ED	Q8NBF2	NHLRC2
-1	1	0.918903	1.202983	0.9909257	1.317806	1.213139	1.935342	1	1.01668	0.9681258	1.047687	0.9982854	1.134995	1.211913	1.019306	1.158046	5.77E-06	4.36E-05	1.53E-07	3.669033	14	0.9539666	0.008726361	0.04603336	0.0087212	1	173322.2	250051.1	6543760	4000	192.7	1.19E-05	0.9999881	4.17E-08	0.9999999	0.05424445	4.697284	ED	P06703	S100A6
-1	1	0.8341935	0.9782889	1.089296	1.219369	0.917131	1.100922	1	0.8325647	1.011035	1.100093	1.081515	0.9667142	1.16822	1.094694	1.150442	3.09E-06	0.001373808	2.43E-06	3.778089	14	0.9540846	0.002304312	0.04591541	0.002304719	1	323259.9	466365.5	411753.7	4000	187	0.000363493	0.9996365	6.43E-07	0.9999993	-0.02040214	0.1247081	ED	Q14019	COTL1
-1	1	0.8043327	0.6563448	0.778537	0.5913249	0.7110423	0.4912777	1	1.656486	1.386515	1.736339	1.707977	1.976778	1.754826	1.257438	1.149651	5.15E-08	0.000418734	1.03E-05	3.673262	14	0.9540619	0.03931289	0.0459381	0.03931402	1	1.942856E+07	2.802948E+07	97213.21	4000	192.4	0.000113982	0.999886	2.8E-06	0.9999972	-0.1593472	0.6093209	ED	P62314	SNRPD1
-1	1	0.9327763	1.030174	1.036937	1.12889	0.7674645	0.9174289	1	0.8877754	0.9796247	1.032558	1.109316	0.9171811	1.019626	1.034747	1.119103	0.002143191	0.1342792	0.001895623	4.878573	14	0.9538355	0.001628906	0.04616453	0.001626556	1	466.594	673.1528	513.5997	362.8	141	0.02678699	0.973213	0.00038841	0.9996116	0.02210664	0.03797523	ED	P00568	AK1
-1	1	1.006117	1.452699	1.01893	1.116012	0.7815191	0.7166397	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.01893	1.116012	0.009450654	8.46E-07	0.0165587	0.09060743	7	0.9955549	0.005436027	0.004445087	0.004880924	1	105.8128	152.6556	71.42717	53.4	43.8	9.34E-06	0.9999906	0.1545143	0.8454857	0.03612774	0.009651899	ED	P42330	AKR1C3
-1	1	NaN	NaN	0.9811798	1.092005	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.9811798	1.092005	9.37E-08	0.000863999	6.79E-06	3.705637	3	1	0.000509744	NaN	0.000510802	1	1.067714E+07	1.540386E+07	147332.6	4000	190.7	0.000233104	0.9997669	1.83E-06	0.9999982	0.06300735	0.02663856	ED	Q9P1F3	ABRACL
-1	1	1.119275	0.9301111	1.130217	1.083225	1.091694	0.9840381	1	1.138648	1.032202	NaN	NaN	NaN	NaN	1.130217	1.083225	2.84E-08	0.000257186	1E-05	2.203782	10	0.9770953	0.001228624	0.02290472	0.001230218	1	3.522362E+07	5.081694E+07	99648.22	4000	321.3	0.000116689	0.9998833	4.55E-06	0.9999955	-0.08243778	0.1910118	ED	P62312	LSM6
-1	1	NaN	NaN	0.7426553	1.012541	0.9852022	0.888872	1	1.033243	1.09558	1.017373	1.145939	1.552112	0.9552438	0.8800142	1.07924	5.82E-07	0.001215579	1.14E-05	3.777237	12	0.9644547	0.005130115	0.03554533	0.005131404	1	1717245	2477461	88052.92	4000	187.1	0.000321713	0.9996783	3.01E-06	0.999997	0.1659458	0.02274132	ED	Q53FA7	TP53I3
-1	1	NaN	NaN	1.031196	1.078923	0.5174893	0.7007467	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.031196	1.078923	0.01558031	0.000111188	0.01613463	0.8692428	5	0.9999984	0.008940647	1.62E-06	0.008925806	1	64.18358	92.59733	63.12086	43.7	43	0.000127897	0.9998721	0.01822344	0.9817765	0.007261997	0.003185185	ED	F5GYC4	RPS6KA3
-1	1	NaN	NaN	1.150364	1.077664	0.8941806	0.6735958	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.150364	1.077664	0.009761022	8.65E-05	0.03474794	0.03465393	5	0.9999967	0.002424587	3.36E-06	0.001353256	1	102.4483	147.8016	57.49189	47.7	33	0.002490762	0.9975092	0.5006773	0.4993227	-0.102681	0.007766739	ED	C9JDU5	PRPSAP2
-1	1	0.9101034	0.8449978	1.050841	1.114853	0.8844999	0.9182551	1	0.8799319	1.020803	1.027592	1.027231	0.9591029	0.996949	1.039216	1.071042	0.001679271	0.6203018	0.000372508	4.150179	14	0.9409974	0.00116073	0.0590026	0.001076406	1	595.4966	859.12	2335.654	1778.7	148.1	0.1300292	0.8699708	8.97E-05	0.9999102	-0.004150885	0.4925214	ED	P04080	CSTB
-1	1	0.971424	1.059512	1.034576	1.127964	1.054691	1.219488	1	0.9611644	0.9556258	0.9959869	0.9945267	1.088394	1.13229	1.015281	1.061246	3.51E-06	6.29E-06	1.55E-08	3.544201	14	0.9538941	0.001191337	0.04610587	0.001190071	1	285200.8	411457.7	6.434796E+07	3999.5	199.5	1.77E-06	0.9999982	4.38E-09	1	0.01455599	0.5308523	ED	P30086	PEBP1
-1	1	0.9807712	0.8636701	1.137405	1.066797	0.8207753	0.890792	1	0.9249869	1.131827	0.988659	1.036914	0.8920211	0.860067	1.063032	1.051855	0.004534529	4.05E-06	0.005594716	0.2170728	14	0.9495571	0.00131362	0.05044289	0.001277283	1	220.5301	318.1576	183.3434	128.1	124	1.86E-05	0.9999813	0.02512588	0.9748741	-0.03584727	0.3289611	ED	P07108	DBI
-1	1	0.9397764	0.884635	0.9676256	0.9815759	1.008673	1.098959	1	0.9473304	0.9801821	1.027295	1.109162	0.8944961	1.066928	0.9974603	1.045369	1.81E-08	0.1629469	8.42E-07	3.830119	14	0.9508273	0.000817867	0.04917271	0.000801365	1	5.524597E+07	7.970309E+07	1139231	4000	177	0.04080747	0.9591925	2.2E-07	0.9999998	0.02472796	1.085334	ED	P62942	FKBP1A
-1	1	0.9865237	1.038996	0.8987081	1.036288	0.6846414	0.9236996	1	0.8778014	0.9951701	0.9732283	1.046666	0.7958326	0.8874968	0.9359682	1.041477	0.00587457	1.119397	0.00416451	4.903559	14	0.944713	0.002103955	0.05528698	0.001989946	1	170.2252	245.5831	195.662	157.5	117.3	0.1858551	0.8141448	0.000848562	0.9991514	0.08649379	0.08065603	ED	P30043	BLVRB
-1	1	0.9500213	1.024664	0.8995737	1.031213	0.954521	1.192115	1	0.9274669	0.9648877	0.9753029	1.049065	0.9809614	1.004488	0.9374383	1.040139	1.34E-06	0.07830109	4.29E-06	3.401223	14	0.9530018	0.000790611	0.04699818	0.000785248	1	746791.8	1077393	227910.8	4000	203.2	0.02250339	0.9774966	1.26E-06	0.9999987	0.08428135	0.2321446	ED	P15121	AKR1B1
-1	1	0.9167548	0.8816454	0.9488245	1.066586	0.7976016	0.844007	1	NaN	NaN	1.187445	1.012434	1.123805	1.084174	1.068135	1.03951	0.001408757	0.2328735	0.0009884021	4.847105	12	0.9641733	0.002430853	0.03582668	0.002424846	1	709.8458	1024.091	965.5518	691.9	139.1	0.04584143	0.9541585	0.000203874	0.9997962	-0.04653929	0.004579704	ED	P21266	GSTM3
-1	1	NaN	NaN	0.8286473	1.023409	0.9338023	0.9940846	1	0.8359435	0.728799	0.9342977	1.029453	NaN	NaN	0.8814725	1.026431	0.001871266	2.177115	2.32E-05	3.664639	10	0.9218107	0.003266467	0.0781893	0.001955394	1	534.3975	770.9725	27057.7	4000	120.9	0.3726817	0.6273183	6.33E-06	0.9999937	0.1392054	0.02114905	ED	O43813	LANCL1
-1	1	0.5799811	0.7620492	NaN	NaN	0.8891662	0.7158536	1	NaN	NaN	0.9898531	1.016093	NaN	NaN	0.9898531	1.016093	0.009947187	4.982108	0.000465554	2.804454	8	0.9774532	0.0085217	0.02254681	0.005440989	1	100.5309	145.0355	773.7573	1047.5	90.7	0.6398341	0.3601659	0.000165978	0.999834	0.01818142	0.06112312	ED	E9PL57	NEDD8-MDP1
-1	1	1.019221	1.030554	0.9781259	1.036936	1.007242	1.082206	1	0.9242229	1.039642	0.9963196	0.9929041	0.9510577	1.02389	0.9872227	1.01492	3.8E-07	0.000757302	1.51E-06	3.589462	14	0.9541697	0.000272537	0.04583029	0.000272736	1	2630002	3794291	662188.6	4000	196.9	0.000210935	0.9997891	4.21E-07	0.9999996	0.02026459	0.01811426	ED	P43490	NAMPT
-1	1	0.8052803	1.179112	0.7788255	0.9638523	1.316504	2.596253	1	0.9474789	0.8341355	0.9767719	1.065243	1.364139	1.497105	0.8777987	1.014548	1.56E-06	6.98E-06	2.04E-08	3.440284	14	0.9540405	0.01917807	0.04595947	0.01917594	1	640829.6	924521.6	4.903684E+07	4000	205.5	2.03E-06	0.999998	5.93E-09	1	0.1375595	0.1192657	ED	Q5TC12-3	ATPAF1
-1	1	1.050647	1.103396	0.882689	1.008505	1.016808	0.8364163	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.882689	1.008505	0.004128201	2.63E-06	0.02070136	0.0206944	7	0.9953349	0.000988626	0.004665061	0.000863398	1	242.2363	349.4731	96.61599	80.6	55.4	0.00012706	0.9998729	0.5000841	0.4999159	0.1290169	0.08488755	ED	Q6GMV3	PTRHD1
-1	1	0.9667731	0.9211531	0.9950021	0.982964	0.9014996	0.8992475	1	0.9288832	1.001227	1.016818	1.029101	0.9299283	0.9519792	1.00591	1.006032	0.002903243	0.5773431	0.001923111	4.888433	14	0.9275104	0.000289318	0.07248958	0.000251933	1	344.4424	496.9254	465.2479	349.4	129.3	0.1056288	0.8943713	0.000393246	0.9996067	-0.00288565	1.448303	ED	P00558	PGK1
-1	1	0.8384956	1.042841	0.9449162	1.004564	0.465792	0.4594624	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.9449162	1.004564	0.02739417	0.01059575	0.02854467	0.5506203	7	0.99628	0.005394327	0.003720067	0.005364468	1	36.50411	52.6643	36.15323	25.2	24.3	0.01887999	0.98112	0.04928592	0.9507141	0.058936	0.02691246	ED	Q8IYB5-3	SMAP1
-1	1	0.9272277	0.8424797	1.035723	0.9433035	0.8722087	0.9167991	1	0.9347558	1.083806	0.99612	1.054796	0.9403258	0.9899535	1.015921	0.9990497	0.002386497	0.9670968	0.000875674	4.919688	14	0.9356534	0.000918767	0.06434652	0.000829823	1	419.0241	604.524	954.5407	754.2	120	0.1642827	0.8357173	0.000177962	0.999822	-0.01627143	0.2207308	ED	Q9BRA2	TXNDC17
-1	1	NaN	NaN	0.9833037	0.9960039	0.9558317	0.8920672	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.9833037	0.9960039	0.003292345	0.000787279	0.006045838	0.05483172	5	65535	2.44E-05	5.12E-06	9.72E-06	1	303.7348	438.1967	181.0413	130.9	116.4	0.01415486	0.9858451	0.09931143	0.9006886	0.01483524	0.003100025	ED	Q9HB90	RRAGC
-1	1	0.9246961	0.8940381	0.9793225	1.004766	0.9485377	0.917519	1	0.9009244	0.8999141	1.036922	0.9803705	0.8735871	0.8339761	1.008122	0.9925684	0.004486763	1.531579	0.002319957	4.925158	14	0.8704308	0.000664449	0.1295692	0.00048131	1	222.8778	321.5447	328.9513	278.5	109.4	0.2372063	0.7627937	0.000470821	0.9995292	-0.01181916	0.08317409	ED	P14618-2	PKM
-1	1	NaN	NaN	0.896871	0.9912662	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.896871	0.9912662	0.006319494	0.5217349	2.09E-05	2.622158	3	1	0.0005488	NaN	0.00031533	1	158.2405	228.2928	39853.29	4000	225	0.1659519	0.8340482	7.98E-06	0.999992	0.1044572	0.01847873	ED	Q53H82	LACTB2
-1	1	1.065781	0.9311641	1.14961	0.991021	1.013997	0.9910136	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.14961	0.991021	4.65E-06	0.000460771	1.21E-05	3.684059	7	0.9963188	0.000779862	0.003681256	0.000780224	1	215030	310222.7	82300.74	4000	191.9	0.000125056	0.9998749	3.3E-06	0.9999967	-0.1439327	0.01403084	ED	Q9NRX4-2	PHPT1
-1	1	NaN	NaN	0.9552133	1.199615	1.077665	1.493549	1	NaN	NaN	0.9735205	0.780467	0.9760415	1.004099	0.9643669	0.990041	3.95E-06	0.001365923	1.64E-06	4.710689	10	0.9770181	0.004990802	0.02298189	0.004990401	1	253133.7	365194.7	610936.3	4000	149.9	0.000289878	0.9997101	3.47E-07	0.9999996	0.03127898	0.03390904	ED	P04406-2	GAPDH
