Gene	Class	PDB chain	Coexpression	Seqid	Unique subunits
RPS4X	N	3jaj_SE	0.561290	100.00	83
RPS6	N	3jaj_SG	0.601762	100.00	83
RPL8	N	3jaj_A	0.512499	100.00	83
RPS3	N	3jaj_SD	0.569062	100.00	83
RPL15	N	3jaj_N	0.597518	100.00	83
RPS2	N	3jaj_SC	0.545160	100.00	83
RPS8	N	3jaj_SI	0.591962	100.00	83
RPS7	N	3jaj_SH	0.600905	100.00	83
RPL9	N	3jaj_H	0.561492	100.00	83
RPS5	N	3jaj_SF	0.569214	100.00	83
RPL19	N	3jaj_R	0.553856	100.00	83
RPL21	N	3jaj_T	0.552714	100.00	83
RPL17	N	3jaj_P	0.611973	100.00	83
RPS11	N	3jaj_SL	0.556799	100.00	83
RPS13	N	3jaj_SN	0.601936	100.00	83
RPL26	N	3jaj_Y	0.521195	100.00	83
RPS19	N	3jaj_ST	0.575383	100.00	83
RPL32	N	3jaj_e	0.607359	100.00	83
RPS15A	N	3jaj_SW	0.598865	100.00	83
RPS24	N	3jaj_SY	0.556622	100.00	83
RPS14	N	3jaj_SO	0.594071	100.00	83
RPL23	N	3jaj_V	0.472904	100.00	83
RPL35A	N	3jaj_f	0.600591	100.00	83
RPL36	N	3jaj_i	0.533697	100.00	83
RPS10	N	3jaj_SK	0.625004	100.00	83
RPL30	N	3jaj_c	0.565756	100.00	83
RPL37A	N	3jaj_p	0.541667	100.00	83
RPL29	N	3jaj_b	0.561449	100.00	83
RPS25	N	3jaj_SZ	0.574203	100.00	83
RPS27A	N	3jaj_Sf	0.588296	100.00	83
RPL24	N	3jaj_W	0.625047	100.00	83
RPS28	N	3jaj_Sc	0.524994	100.00	83
RPL39	N	3jaj_l	0.494992	100.00	83
RPL3	N	4v6x_CB	0.595983	100.00	82
RPL4	N	4v6x_CC	0.611018	100.00	82
RPL5	N	4v6x_CD	0.620492	100.00	82
RPL6	N	4v6x_CE	0.610294	100.00	82
RPL7A	N	4v6x_CG	0.618553	100.00	82
RPS3A	N	4v6x_AB	0.592799	100.00	82
RPL10A	N	4v6x_Cz	0.650860	100.00	82
RPL13	N	4v6x_CL	0.590113	100.00	82
RPL11	N	4v6x_CJ	0.620127	100.00	82
RPL27A	N	4v6x_Ca	0.626012	100.00	82
RPL14	N	4v6x_CM	0.621736	100.00	82
RPL35	N	4v6x_Ch	0.614894	100.00	82
DAP3	N	3j9m_AX	0.351868	100.00	81
MRPL3	N	3j9m_E	0.405519	100.00	81
MRPL19	N	3j9m_Q	0.371818	100.00	81
MRPS2	N	3j9m_AB	0.363972	100.00	81
MRPL24	N	3j9m_V	0.364593	100.00	81
MRPL13	N	3j9m_K	0.421535	100.00	81
MRPL17	N	3j9m_O	0.416306	100.00	81
GADD45GIP1	N	3j9m_q	0.413594	100.00	81
MRPL49	N	3j9m_g	0.285946	100.00	81
MRPL14	N	3j9m_L	0.405465	100.00	81
MRPS14	N	3j9m_AK	0.392174	100.00	81
PSMA1	N	4r3o_F	0.506846	100.00	14
PSMA5	N	3unb_D	0.562333	100.00	14
